Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Abarth 500 595 1.4 T-Jet 16v Turismo MTA,125000,PLN,Prywatne,Abarth,500,595 1.4 T-Jet 16v Turismo MTA,2023,5 578 km,1 368 cm3,Benzyna,165 KM,Auta małe,Automatyczna,3,4,Szary,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/abarth-500-abarth-595-pierwszy-wlasciciel-salon-polska-gwarancja-przedluzona-ID6Grht7.html
Abarth 500 695 1.4 T-Jet 16v MTA,132900,PLN,Firma,Abarth,500,695 1.4 T-Jet 16v MTA,2023,14 500 km,1 368 cm3,Benzyna,180 KM,Auta małe,Automatyczna,3,4,Czarny,Używane,,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/abarth-500-695-competizione-automat-carbon-navi-brembo-gwar-s-pl-fv23-ID6Gwjn5.html
Abarth 695,138647,PLN,Prywatne,Abarth,695,,2022,8 000 km,1 368 cm3,Benzyna,180 KM,Auta małe,Manualna,3,,Szary,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/abarth-695-fv-esseesse-695-szt-ID6G4Cin.html
Abarth Grande Punto,29000,PLN,Prywatne,Abarth,Grande Punto,,2010,209 000 km,1 368 cm3,Benzyna+LPG,155 KM,Auta małe,Manualna,3,4,Biały,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/abarth-grande-punto-abarth-grande-punto-2010-ID6GxGKS.html
Abarth 500 595 1.4 T-Jet 16v Pista,35900,PLN,Prywatne,Abarth,500,595 1.4 T-Jet 16v Pista,2013,173 000 km,1 368 cm3,Benzyna,160 KM,Auta małe,Manualna,3,4,Czarny,Używane,Tak,Na przednie koła,7 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/abarth-500-fiat-abarth-ID6GhlvB.html
Abarth 500,78720,PLN,Prywatne,Abarth,500,,2019,56 000 km,1 368 cm3,Benzyna,165 KM,Auta małe,Manualna,3,4,Biały,Używane,Tak,Na przednie koła,,Tak,Tak,Tak,https://www.otomoto.pl/osobowe/oferta/abarth-500-abarth-500-bezwypadkowy-krajowy-zadbany-fv23-ID6GkVvk.html
Abarth 500,27000,PLN,Firma,Abarth,500,,2013,146 463 km,1 368 cm3,Benzyna,180 KM,Auta małe,Manualna,3,4,Czerwony,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/abarth-500-2013-fiat-500-abarth-benzyna-manual-ID6Gyc1L.html
Abarth 500,148900,PLN,Firma,Abarth,500,,2024,1 km,,Elektryczny,155 KM,Auta małe,Automatyczna,3,,Czarny,Nowe,,Na przednie koła,7 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/abarth-500-elektryczny-155km-dostepny-ID6GmUjN.html
Abarth 500 595 1.4 T-Jet 16v Elaborabile,62900,PLN,Prywatne,Abarth,500,595 1.4 T-Jet 16v Elaborabile,2017,86 000 km,1 368 cm3,Benzyna,145 KM,Auta miejskie,Manualna,3,4,Biały,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/abarth-500-abarth-595-elaborabile-ID6Gk1dX.html
Abarth 695,124900,PLN,Firma,Abarth,695,,2023,15 100 km,1 368 cm3,Benzyna,180 KM,Auta małe,Automatyczna,3,4,Biały,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/abarth-695-abarth-695-competizione-mta-salon-pl-faktura-vat-23-automat-ID6GnhlS.html
Abarth 595,65999,PLN,Prywatne,Abarth,595,,2017,82 000 km,1 400 cm3,Benzyna,190 KM,Auta małe,Manualna,3,4,Biały,Używane,Tak,Na przednie koła,,Tak,,Tak,https://www.otomoto.pl/osobowe/oferta/abarth-595-abarth-595-ID6GpTnj.html
Abarth 500 595 1.4 T-Jet 16v,56900,PLN,Firma,Abarth,500,595 1.4 T-Jet 16v,2016,63 800 km,1 368 cm3,Benzyna,145 KM,Auta małe,Manualna,3,4,Czarny,Używane,,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/abarth-500-lift-fiat-500-abarth-595-xenon-panorama-alu-okazja-gwarancja-ID6GvhBI.html
Abarth 124 1.4 MultiAir,101900,PLN,Prywatne,Abarth,124,1.4 MultiAir,2018,38 500 km,1 368 cm3,Benzyna,170 KM,Kabriolet,Manualna,2,,Biały,Używane,Tak,,8 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/abarth-124-abarth-124-spider-ID6GpvEL.html
Abarth 500,33500,PLN,Prywatne,Abarth,500,,2012,128 000 km,1 368 cm3,Benzyna,160 KM,Auta małe,Manualna,3,4,Czarny,Używane,Tak,Na przednie koła,7 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/abarth-500-bose-panorama-manual-faktura-vat-ID6Gk06T.html
Abarth 500 595 1.4 T-Jet 16v,63300,PLN,Firma,Abarth,500,595 1.4 T-Jet 16v,2017,73 000 km,1 368 cm3,Benzyna,145 KM,Auta małe,Manualna,3,4,Biały,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/abarth-500-abarth-595-1-4t-jet-150km-2017-ID6Ghkop.html
