Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Aixam Crossover,32000,PLN,Prywatne,Aixam,Crossover,,2019,19 000 km,479 cm3,Diesel,8 KM,Auta małe,Automatyczna,2,,Czerwony,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/aixam-crossover-ID6GxPZa.html
Aixam Coupe,26999,PLN,Prywatne,Aixam,Coupe,,2013,69 999 km,400 cm3,Diesel,5 KM,Auta małe,Automatyczna,3,2,Żółty,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/aixam-coupe-microcar-od-14-lat-kategoria-am-ID6GxvnW.html
Aixam GTO,44900,PLN,Firma,Aixam,GTO,,2023,6 241 km,479 cm3,Diesel,8 KM,Auta małe,Automatyczna,2,2,Czerwony,Używane,,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/aixam-gto-czterololowiec-lekki-l6e-bpkamera-wspomaganie-zarejestrowany-transport-ID6Gv6pu.html
Aixam Inny,25500,PLN,Prywatne,Aixam,Inny,,2016,24 112 km,400 cm3,Diesel,5 KM,Auta małe,Automatyczna,2,2,Biały,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/aixam-aixam-2016-ID6Gxjry.html
Aixam City,27900,PLN,Firma,Aixam,City,,2016,30 000 km,400 cm3,Diesel,5 KM,Auta małe,Automatyczna,3,2,Biały,Używane,Tak,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/aixam-city-belier-aixam-microcar-liegier-l6e-bez-praw-jazdy-kat-am-czterokolowiec-ID6Gx6N8.html
Aixam City,71000,PLN,Firma,Aixam,City,,2024,1 km,479 cm3,Diesel,8 KM,Auta małe,Automatyczna,3,2,Inny kolor,Nowe,,,,,Tak,,https://www.otomoto.pl/osobowe/oferta/aixam-city-ambition-l6e-od-14-16-roku-zycia-klimatyzacja-wroclaw-ID6GdnI8.html
Aixam Roadline,19600,PLN,Firma,Aixam,Roadline,,2010,68 000 km,400 cm3,Diesel,5 KM,Auta małe,Automatyczna,3,2,Bordowy,Używane,,Na przednie koła,8 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/aixam-roadline-pojemnosc-400-moc-5km-kat-am-l6e-bez-prawa-jazdy-kat-b-ID6Gr6UG.html
Aixam Crossline,19600,PLN,Firma,Aixam,Crossline,,2010,63 000 km,400 cm3,Diesel,5 KM,Auta małe,Automatyczna,3,2,Srebrny,Używane,,Na przednie koła,8 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/aixam-crossline-pojemnosc-400-moc-5km-kat-am-l6e-bez-prawa-jazdy-kat-b-ID6Gr8Dt.html
Aixam City,44500,PLN,Firma,Aixam,City,,2023,6 128 km,479 cm3,Diesel,8 KM,Auta małe,Automatyczna,3,,Czerwony,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/aixam-city-kat-l6e-od-14-lat-duzy-wybor-transport-pod-dom-ligier-microcar-ID6Gvq2K.html
Aixam Inny,39900,PLN,Firma,Aixam,Inny,,2021,26 000 km,479 cm3,Diesel,8 KM,Auta miejskie,Automatyczna,2,2,Biały,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/aixam-ID6G65At.html
