Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Alfa Romeo Mito 1.4 16V,16950,PLN,Prywatne,Alfa Romeo,Mito,1.4 16V,2009,185 000 km,1 368 cm3,Benzyna,78 KM,Auta małe,Manualna,3,4,Inny kolor,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/alfa-romeo-mito-1-4-benzyna-2009r-ladny-zadbany-bez-korozji-ID6Gor5I.html
Alfa Romeo 159,13500,PLN,Prywatne,Alfa Romeo,159,,2008,220 000 km,1 900 cm3,Diesel,150 KM,Kombi,Manualna,5,5,Czarny,Używane,,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-alfa-romeo-159-1-9-jtd-150-km-bezwypadkowy-mozliwa-zam-na-tansze-ID6GpPAk.html
Alfa Romeo Stelvio 2.0 Turbo Veloce Q4,169000,PLN,Prywatne,Alfa Romeo,Stelvio,2.0 Turbo Veloce Q4,2020,69 500 km,1 995 cm3,Benzyna,280 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/alfa-romeo-stelvio-veloce-polska-1-wlasciciel-aso-100-bezkolizyjny-aso-all-black-ID6GoHSF.html
Alfa Romeo Giulietta 1.4 TB Distinctive,26900,PLN,Prywatne,Alfa Romeo,Giulietta,1.4 TB Distinctive,2010,188 449 km,1 368 cm3,Benzyna,120 KM,Kompakt,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,8 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/alfa-romeo-giulietta-ID6Gp30J.html
Alfa Romeo Stelvio 2.0 Turbo First Edition Q4,123000,PLN,Prywatne,Alfa Romeo,Stelvio,2.0 Turbo First Edition Q4,2017,102 000 km,1 995 cm3,Benzyna,280 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),"8,90 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/alfa-romeo-stelvio-alfa-romeo-stelvio-polski-salon-fv-vat-ID6Gk0IO.html
Alfa Romeo 159 2.4JTDM 4x4 ti,28500,PLN,Prywatne,Alfa Romeo,159,2.4JTDM 4x4 ti,2009,230 000 km,2 387 cm3,Diesel,210 KM,Kombi,Manualna,4,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),10 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-ID6GpkZo.html
Alfa Romeo Mito,25500,PLN,Prywatne,Alfa Romeo,Mito,,2015,70 000 km,875 cm3,Benzyna,85 KM,Auta małe,Manualna,3,5,Brązowy,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/alfa-romeo-mito-2015-model-bezwypadek-aso-fv-23-ID6FRabX.html
Alfa Romeo 159,7500,PLN,Prywatne,Alfa Romeo,159,,2006,286 000 km,1 910 cm3,Diesel,150 KM,Sedan,Manualna,4,,Czarny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-alfa-romeo-159-1-9jtdm-ID6GpMGR.html
Alfa Romeo Giulietta 1750 TBi QV TCT,65000,PLN,Prywatne,Alfa Romeo,Giulietta,1750 TBi QV TCT,2014,85 800 km,1 742 cm3,Benzyna,240 KM,Kompakt,Automatyczna,5,5,Szary,Używane,Tak,Na przednie koła,10 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/alfa-romeo-giulietta-giulietta-quadrifoglio-verde-salon-polska-pierwszy-wlasciciel-ID6GjSmr.html
Alfa Romeo Giulietta 1.6 JTDM Distinctive,26800,PLN,Prywatne,Alfa Romeo,Giulietta,1.6 JTDM Distinctive,2014,257 000 km,1 598 cm3,Diesel,105 KM,Kompakt,Manualna,5,5,Inny kolor,Używane,Tak,,5 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/alfa-romeo-giulietta-alfa-giulietta-polecam-ID6GpMab.html
