Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Baic 7,166800,PLN,Firma,Baic,7,,2024,1 km,1 498 cm3,Benzyna,177 KM,SUV,Automatyczna,5,5,Niebieski,Nowe,,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/baic-7-beijing-7-polski-salon-dach-panoramiczny-bogate-wyposazenie-ID6Gv3Y5.html
Baic 7,166800,PLN,Firma,Baic,7,,2024,1 km,1 498 cm3,Benzyna,177 KM,SUV,Automatyczna,5,5,Szary,Nowe,,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/baic-7-beijing-7-polski-salon-dach-panoramiczny-bogate-wyposazenie-ID6Gv2Ea.html
Baic 7,166800,PLN,Firma,Baic,7,,2024,1 km,1 498 cm3,Benzyna,177 KM,SUV,Automatyczna,5,5,Biały,Nowe,,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/baic-7-beijing-7-polski-salon-dach-panoramiczny-bogate-wyposazenie-ID6Gv1NL.html
Baic 7,162900,PLN,Firma,Baic,7,,2024,1 km,1 498 cm3,Benzyna,177 KM,SUV,Automatyczna,5,5,Czarny,Nowe,,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/baic-7-beijing-7-polski-salon-dach-panoramiczny-bogate-wyposazenie-ID6GwZuJ.html
Baic 3,81800,PLN,Firma,Baic,3,,2023,1 km,1 499 cm3,Benzyna,136 KM,SUV,Manualna,5,,Czerwony,Nowe,,,,,Tak,,https://www.otomoto.pl/osobowe/oferta/baic-3-beijing-3-5-lat-gwarancji-ID6G76mu.html
Baic 5,130800,PLN,Firma,Baic,5,,2024,1 km,1 498 cm3,Benzyna,177 KM,SUV,Automatyczna,5,5,Szary,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/baic-5-automat-panorama-wentylowane-fotele-acc-kamery-360-ID6Gg7vl.html
Baic 5,127900,PLN,Firma,Baic,5,,2024,5 km,1 498 cm3,Benzyna,177 KM,SUV,Automatyczna,5,5,Szary,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/baic-5-1-5t-177km-7dct-ID6GnSEz.html
Baic 5,127900,PLN,Firma,Baic,5,,2024,2 km,1 500 cm3,Benzyna,177 KM,SUV,Automatyczna,5,,Żółty,Nowe,,,,,Tak,,https://www.otomoto.pl/osobowe/oferta/baic-5-baic-beijing-5-luxury-automat-7-stopniowy-ID6GosOH.html
Baic 7,162900,PLN,Firma,Baic,7,,2024,5 km,1 498 cm3,Benzyna,177 KM,SUV,Automatyczna,5,5,Szary,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/baic-7-1-5t-177km-7dct-ID6GxVPS.html
Baic 5,127900,PLN,Firma,Baic,5,,2024,1 km,1 499 cm3,Benzyna,177 KM,SUV,Automatyczna,5,5,Żółty,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/baic-5-5-lat-gwarancji-panorama-wentylowane-fotele-acc-ID6GelYY.html
