Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Bentley Continental GT V8 Convertible,499380,PLN,Prywatne,Bentley,Continental GT,V8 Convertible,2015,28 000 km,3 993 cm3,Benzyna,507 KM,Kabriolet,Automatyczna,2,4,Czarny,Używane,Tak,4x4 (stały),"21,70 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/bentley-continental-gt-sprzedam-bentley-continental-gtc-ID6GybE9.html
Bentley Bentayga Diesel,769000,PLN,Firma,Bentley,Bentayga,Diesel,2018,56 500 km,3 996 cm3,Diesel,435 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),9 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/bentley-bentayga-f-vat-23-v8-mulliner-first-edition-breitling-cristal-ID6FNZkt.html
Bentley Bentayga W12,215000,PLN,Prywatne,Bentley,Bentayga,W12,2017,36 000 km,5 950 cm3,Benzyna,608 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),19 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/bentley-bentayga-ID6G4nDO.html
Bentley Continental Flying Spur,599000,PLN,Prywatne,Bentley,Continental Flying Spur,,2020,51 000 km,5 998 cm3,Benzyna,635 KM,Sedan,Automatyczna,5,5,Srebrny,Używane,Tak,4x4 (stały),22 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/bentley-continental-flying-spur-bentley-continental-flying-spur-bezwypadkowy-first-edition-ID6G5Q1J.html
Bentley Continental GT W12,343000,PLN,Prywatne,Bentley,Continental GT,W12,2011,96 000 km,5 998 cm3,Benzyna,575 KM,Coupe,Automatyczna,2,4,Błękitny,Używane,Tak,4x4 (stały),22 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/bentley-continental-gt-bentley-continental-gt-w12-ID6GvREY.html
Bentley Continental Flying Spur W12,397000,PLN,Prywatne,Bentley,Continental Flying Spur,W12,2015,239 965 km,5 998 cm3,Benzyna,625 KM,Auta miejskie,Automatyczna,4,5,Złoty,Używane,Tak,4x4 (stały),22 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/bentley-continental-flying-spur-w12-zloty-a-skromny-1-rej-2016-rok-f-vat-23-ID6GtcHt.html
Bentley Arnage,99999,PLN,Firma,Bentley,Arnage,,1999,98 950 km,4 398 cm3,Benzyna,354 KM,Sedan,Automatyczna,4,5,Niebieski,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/bentley-arnage-bezwypadkowy-stan-kolekcjonerski-pierwszy-wlasciciel-pl-fv-marza-ID6FRoAg.html
Bentley Continental GT,308000,PLN,Prywatne,Bentley,Continental GT,,2010,116 000 km,5 998 cm3,Benzyna,635 KM,Coupe,Automatyczna,2,4,Czarny,Używane,Tak,4x4 (stały),,Tak,,,https://www.otomoto.pl/osobowe/oferta/bentley-continental-gt-bentley-continental-gt-supersports-w12-635km-ID6FBNBD.html
Bentley Continental GT W12,590400,PLN,Prywatne,Bentley,Continental GT,W12,2012,62 919 km,5 998 cm3,Benzyna,575 KM,Coupe,Automatyczna,2,4,Inny kolor,Używane,Tak,4x4 (stały),22 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/bentley-continental-gt-bentley-continental-gt-w12-mulliner-edition-ID6Gxp3W.html
Bentley Bentayga Hybrid,999000,PLN,Firma,Bentley,Bentayga,Hybrid,2021,58 000 km,2 995 cm3,Hybryda Plug-in,340 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/bentley-bentayga-f-vat-23-first-edition-mulliner-naim-carbon-swarovski-ID6GwSWb.html
Bentley Continental GT W12,285000,PLN,Prywatne,Bentley,Continental GT,W12,2014,46 000 km,5 998 cm3,Benzyna,575 KM,Coupe,Automatyczna,2,,Srebrny,Używane,,,22 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/bentley-continental-gt-4x4-w12-ID6GxjBf.html
Bentley Continental GT Standard,69999,PLN,Prywatne,Bentley,Continental GT,Standard,2007,78 000 km,5 998 cm3,Benzyna,560 KM,Coupe,Automatyczna,2,4,Czarny,Używane,Tak,4x4 (stały),25 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/bentley-continental-gt-gt-w12-ID6Gxi2J.html
Bentley Continental Flying Spur New V8 Mulliner,1199000,PLN,Prywatne,Bentley,Continental Flying Spur,New V8 Mulliner,2021,28 000 km,3 996 cm3,Benzyna,550 KM,Sedan,Automatyczna,4,4,Czerwony,Używane,Tak,4x4 (stały),15 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/bentley-continental-flying-spur-flying-spur-4-0-v8-mulliner-carbon-ID6Gxdgz.html
Bentley Continental GT Standard,56999,PLN,Prywatne,Bentley,Continental GT,Standard,2007,209 404 km,5 998 cm3,Benzyna,560 KM,Coupe,Automatyczna,2,4,Czarny,Używane,Tak,4x4 (stały),25 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/bentley-continental-gt-ID6Gxajt.html
