Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
BMW Seria 4,85000,PLN,Prywatne,BMW,Seria 4,,2015,197 000 km,1 997 cm3,Benzyna,245 KM,Coupe,Automatyczna,3,4,Czarny,Używane,,4x4 (dołączany automatycznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/bmw-seria-4-bmw-428i-xdrive-msport-ID6GoUOX.html
BMW Seria 3 330i xDrive,92900,PLN,Prywatne,BMW,Seria 3,330i xDrive,2018,69 900 km,1 998 cm3,Benzyna,252 KM,Sedan,Automatyczna,4,5,Biały,Używane,,4x4 (dołączany automatycznie),7 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-bmw-330i-xdrive-ID6GoUOR.html
BMW Seria 5 530d,22800,PLN,Prywatne,BMW,Seria 5,530d,2003,336 270 km,2 993 cm3,Diesel,218 KM,Sedan,Manualna,5,5,Srebrny,Używane,Tak,Na tylne koła,9 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/bmw-seria-5-sprzedam-bmw-5-sedan-e60-3-0d-manual-218-srebrny-ID6Gmx25.html
BMW Seria 5 520d Touring,44900,PLN,Prywatne,BMW,Seria 5,520d Touring,2013,290 000 km,1 995 cm3,Diesel,184 KM,Kombi,Automatyczna,5,5,Szary,Używane,Tak,Na tylne koła,"5,70 l/100km",Tak,Tak,Tak,https://www.otomoto.pl/osobowe/oferta/bmw-seria-5-prywatne-ID6GmXss.html
BMW Seria 3 330i M Sport sport,147000,PLN,Prywatne,BMW,Seria 3,330i M Sport sport,2019,78 420 km,1 998 cm3,Benzyna,258 KM,Sedan,Automatyczna,5,5,Czarny,Używane,Tak,Na tylne koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-m-pakiet-piekne-wnetrze-navi-led-driving-assistant-carplay-19-maxton-ID6GoUM3.html
BMW Seria 5 520i,17500,PLN,Prywatne,BMW,Seria 5,520i,1996,313 179 km,1 991 cm3,Benzyna,150 KM,Kombi,Manualna,5,5,Fioletowy,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/bmw-seria-5-bme-e34-touring-technofiolet-ID6GoULx.html
BMW Seria 3 318d Touring,60000,PLN,Prywatne,BMW,Seria 3,318d Touring,2018,205 816 km,1 995 cm3,Diesel,143 KM,Kombi,Automatyczna,5,5,Szary,Używane,,Na tylne koła,"5,70 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-bmw-seria-3-ID6GoULM.html
BMW X3,62000,PLN,Prywatne,BMW,X3,,2013,150 000 km,1 995 cm3,Diesel,184 KM,SUV,Automatyczna,5,5,Bordowy,Używane,Tak,4x4 (dołączany automatycznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/bmw-x3-bmw-x3-xdrive-2-0d-f25-polski-salon-fv-wroclaw-ID6GoBb8.html
BMW Seria 3,66000,PLN,Firma,BMW,Seria 3,,2015,125 553 km,1 499 cm3,Benzyna,136 KM,Sedan,Automatyczna,4,5,Biały,Używane,,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-318-i-sport-line-salon-polska-serwis-aso-automat-vat-23-navi-ID6GmXtv.html
BMW Seria 3 318i GPF Sport Line Shadow,81000,PLN,Prywatne,BMW,Seria 3,318i GPF Sport Line Shadow,2018,111 600 km,1 499 cm3,Benzyna,136 KM,Sedan,Automatyczna,4,5,Czarny,Używane,Tak,Na tylne koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-bmw-318i-sport-line-shadow-vat23-ID6FzXZK.html
BMW Seria 5 535i xDrive,94900,PLN,Prywatne,BMW,Seria 5,535i xDrive,2015,246 200 km,2 979 cm3,Benzyna,306 KM,Sedan,Automatyczna,4,5,Srebrny,Używane,Tak,4x4 (dołączany automatycznie),10 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/bmw-seria-5-krajowy-r6-306hp-m-pakiet-bezwypadkowy-ID6GoUJ3.html
BMW Seria 3 328i Sport Line,69900,PLN,Prywatne,BMW,Seria 3,328i Sport Line,2016,133 000 km,1 997 cm3,Benzyna,245 KM,Sedan,Automatyczna,4,5,Czarny,Używane,Tak,Na tylne koła,"8,30 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-bmw-f30-328i-330i-lci-ID6Gjvla.html
BMW Seria 3 320d DPF,21900,PLN,Prywatne,BMW,Seria 3,320d DPF,2008,284 000 km,1 995 cm3,Diesel,177 KM,Sedan,Manualna,4,5,Srebrny,Używane,Tak,Na tylne koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-pierwszy-wlasciciel-w-polsce-bogate-wyposazenie-ID6GpmLx.html
BMW X1,80000,PLN,Firma,BMW,X1,,2016,121 407 km,1 998 cm3,Benzyna,192 KM,SUV,Automatyczna,5,5,Szary,Używane,,Na tylne koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/bmw-x1-sdrive20i-salon-polska-automat-navi-xenon-bi-xenon-klimatronic-ID6GmXpM.html
BMW Seria 5,41500,PLN,Firma,BMW,Seria 5,,2011,275 615 km,1 995 cm3,Diesel,184 KM,Kombi,Manualna,5,5,Czarny,Używane,,Na tylne koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/bmw-seria-5-520d-181-km-navi-xenon-klimatronic-parktronic-ID6GnZzk.html
BMW Seria 3,27900,PLN,Prywatne,BMW,Seria 3,,2005,245 805 km,2 497 cm3,Benzyna,218 KM,Kombi,Automatyczna,5,5,Czarny,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-325i-218-km-zadbany-serwisowany-bogate-wyposazenie-ID6GoUJe.html
BMW X1 sDrive16d Sport Line,49900,PLN,Prywatne,BMW,X1,sDrive16d Sport Line,2014,190 000 km,1 995 cm3,Diesel,116 KM,SUV,Manualna,5,5,Czarny,Używane,Tak,Na tylne koła,5 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/bmw-x1-czarne-x1-lift-2-0-dieselpanoramabi-xenonledyalu-19z-niemiec-ID6Gpn1Q.html
BMW Seria 3 320i,14000,PLN,Prywatne,BMW,Seria 3,320i,2001,331 000 km,2 171 cm3,Benzyna,170 KM,Sedan,Manualna,4,5,Srebrny,Używane,Tak,Na tylne koła,12 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-bmw-e46-2-2-170km-ID6GoD07.html
BMW X4 xDrive20d M Sport,130000,PLN,Prywatne,BMW,X4,xDrive20d M Sport,2017,94 000 km,1 995 cm3,Diesel,190 KM,SUV,Automatyczna,5,5,Szary,Używane,,4x4 (stały),5 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/bmw-x4-bmw-x4-ID6GeZE7.html
