Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Buick Enclave,39999,PLN,Firma,Buick,Enclave,,2010,254 000 km,3 564 cm3,Benzyna,292 KM,Minivan,Automatyczna,5,7,Biały,Używane,Tak,,,Tak,,,https://www.otomoto.pl/osobowe/oferta/buick-enclave-7-miejsc-3-6l-292km-automat-ID6GqCgU.html
Buick Encore,91500,PLN,Prywatne,Buick,Encore,,2020,21 000 km,1 364 cm3,Benzyna,140 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/buick-encore-opel-mokka-x-automat-44-140km-21000km-ID6GxibH.html
Buick Riviera,82000,PLN,Prywatne,Buick,Riviera,,1973,25 000 km,7 500 cm3,Benzyna,250 KM,Coupe,Automatyczna,2,,Niebieski,Używane,Tak,Na tylne koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/buick-riviera-1973-buick-riviera-nie-ford-chevrolet-dodge-ID6FT1yD.html
Buick Encore,55900,PLN,Prywatne,Buick,Encore,,2018,68 377 km,1 364 cm3,Benzyna,140 KM,SUV,Automatyczna,5,5,Niebieski,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/buick-encore-opel-mokka-z-usa-automat-kamera-cofania-ID6Gwq8n.html
Buick Encore,58900,PLN,Prywatne,Buick,Encore,,2018,101 500 km,1 364 cm3,Benzyna,140 KM,SUV,Automatyczna,5,5,Szary,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/buick-encore-buick-encore-opel-mokka-x-2018-1-4t-ID6Gy3yL.html
Buick Le Sabre,60000,PLN,Prywatne,Buick,Le Sabre,,1968,97 000 km,5 574 cm3,Benzyna,280 KM,Coupe,Automatyczna,4,,Inny kolor,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/buick-le-sabre-buick-lesabre-ID6Guoyq.html
Buick Encore,34900,PLN,Firma,Buick,Encore,,2021,54 080 km,1 364 cm3,Benzyna,140 KM,SUV,Automatyczna,5,5,Srebrny,Używane,,,12 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/buick-encore-ID6GvgxF.html
Buick Encore,44900,PLN,Firma,Buick,Encore,,2023,14 571 km,1 200 cm3,Benzyna,137 KM,SUV,Automatyczna,5,5,Czarny,Używane,,,12 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/buick-encore-ID6Gvgt3.html
Buick Regal,78800,PLN,Firma,Buick,Regal,,2019,38 060 km,1 998 cm3,Benzyna,250 KM,Sedan,Automatyczna,5,5,Biały,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/buick-regal-insignia-2-0-t-2019-250km-zarejestrowany-1-wlasciciel-ID6GuXTt.html
Buick Riviera,59000,PLN,Prywatne,Buick,Riviera,,1969,299 999 km,7 000 cm3,Benzyna,365 KM,Coupe,Automatyczna,2,,Niebieski,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/buick-riviera-buick-riviera-1969-7-0-benzyna-z-dzielona-przednia-kanapa-ID6Gvm4R.html
Buick Encore,62700,PLN,Prywatne,Buick,Encore,,2021,25 860 km,1 364 cm3,Benzyna,140 KM,SUV,Automatyczna,4,5,Biały,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/buick-encore-opel-mokka-2021-r-1-4-l-benzyna-tylko-25887-km-ID6GujR6.html
Buick Encore,36000,PLN,Firma,Buick,Encore,,2021,69 589 km,,Benzyna,,SUV,Automatyczna,4,5,Bordowy,Używane,,4x4 (dołączany automatycznie),,,,,https://www.otomoto.pl/osobowe/oferta/buick-encore-2021-opel-mokka-buick-encore-benzyna-4x4-automat-ID6GwWHA.html
Buick Regal,2800,PLN,Prywatne,Buick,Regal,,1995,1 km,3 791 cm3,Benzyna+LPG,205 KM,Sedan,Automatyczna,4,5,Niebieski,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/buick-regal-syndyk-sprzeda-buick-ID6GfXC6.html
Buick Riviera,60000,PLN,Prywatne,Buick,Riviera,,1964,60 000 km,7 000 cm3,Benzyna,365 KM,Coupe,Automatyczna,2,2,Niebieski,Używane,Tak,Na tylne koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/buick-riviera-1964-buick-riviera-motor-425cui-465-wildcat-ID6GwVbA.html
Buick Encore,43000,PLN,Prywatne,Buick,Encore,,2016,162 018 km,1 364 cm3,Benzyna,140 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/buick-encore-buick-encore-1-4-140-km-automat-ksenony-serwisowany-ID6Ggcw4.html
Buick Park Avenue Electra 3.8,25900,PLN,Prywatne,Buick,Park Avenue,Electra 3.8,1991,195 000 km,3 791 cm3,Benzyna,173 KM,Sedan,Automatyczna,4,5,Granatowy,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/buick-park-avenue-zabytkowy-buick-park-avenue-std-1991-ID6GwTC9.html
Buick Riviera,120000,PLN,Prywatne,Buick,Riviera,,1972,100 000 km,7 468 cm3,Benzyna,250 KM,Coupe,Automatyczna,2,5,Brązowy,Używane,Tak,Na tylne koła,,,,,https://www.otomoto.pl/osobowe/oferta/buick-riviera-boattail-ID6G9Mud.html
Buick Skylark,22900,PLN,Firma,Buick,Skylark,,1980,72 740 km,2 817 cm3,Benzyna,116 KM,Sedan,Automatyczna,4,5,Biały,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/buick-skylark-import-amerykanski-klasyk-v6-ID6GmT4C.html
Buick Encore,34000,PLN,Firma,Buick,Encore,,2018,126 998 km,1 399 cm3,Benzyna,152 KM,SUV,Automatyczna,4,5,Czerwony,Używane,,4x4 (dołączany automatycznie),,,,,https://www.otomoto.pl/osobowe/oferta/buick-encore-opel-mokka-buick-encore-2018-benzyna-4x4-automat-ID6GuSPO.html
Buick Encore,59000,PLN,Firma,Buick,Encore,,2024,16 226 km,,Benzyna,,SUV,Automatyczna,4,5,Pomarańczowy,Używane,,4x4 (dołączany automatycznie),,,,,https://www.otomoto.pl/osobowe/oferta/buick-encore-buick-encore-2024-benzyna-4x4-automat-ID6GwNPm.html
