Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Cadillac STS 3.6 V6 Elegance,13950,PLN,Prywatne,Cadillac,STS,3.6 V6 Elegance,2005,109 022 km,3 564 cm3,Benzyna,257 KM,Sedan,Automatyczna,4,5,Granatowy,Używane,Tak,Na tylne koła,17 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/cadillac-sts-sts-3-6-v6-257km-tylko-109-tys-km-aso-szwajcaria-ID6GycfC.html
Cadillac CTS,12500,PLN,Prywatne,Cadillac,CTS,,2003,240 000 km,2 597 cm3,Benzyna,181 KM,Sedan,Automatyczna,5,5,Inny kolor,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/cadillac-cts-walnieta-uszczelka-pod-glowica-odbudowana-od-zera-skrzynia-biegow-ID6GvYZR.html
Cadillac SRX 3.6 V6 Elegance,19900,PLN,Prywatne,Cadillac,SRX,3.6 V6 Elegance,2007,194 000 km,3 564 cm3,Benzyna+LPG,258 KM,SUV,Automatyczna,5,7,Inny kolor,Używane,Tak,Na tylne koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/cadillac-srx-cadillac-ID6G9JfV.html
Cadillac Escalade 6.2 V8 Elegance,76500,PLN,Prywatne,Cadillac,Escalade,6.2 V8 Elegance,2009,159 000 km,6 199 cm3,Benzyna,409 KM,SUV,Automatyczna,5,7,Czarny,Używane,Tak,4x4 (stały),23 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/cadillac-escalade-cadillac-escalade-bogata-wersja-niski-przebieg-ID6GiURU.html
Cadillac Deville 4.5,18800,PLN,Prywatne,Cadillac,Deville,4.5,1986,99 000 km,4 474 cm3,Benzyna,180 KM,Coupe,Automatyczna,2,5,Bordowy,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/cadillac-deville-1986-cadillac-deville-coupe-4-5-v8-clean-title-ID6GvYgZ.html
Cadillac Escalade ESV 6.2 V8 AWD AT Premium,219000,PLN,Prywatne,Cadillac,Escalade,ESV 6.2 V8 AWD AT Premium,2016,44 398 km,6 162 cm3,Benzyna,426 KM,SUV,Automatyczna,5,8,Złoty,Używane,Tak,4x4 (dołączany automatycznie),"17,10 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/cadillac-escalade-stan-zgodny-z-przebiegiem-pisemne-potwierdzenie-przebiegu-ID6FUFku.html
Cadillac SRX 4.6 V8 AWD Sport Luxury,24900,PLN,Prywatne,Cadillac,SRX,4.6 V8 AWD Sport Luxury,2004,220 000 km,4 565 cm3,Benzyna+LPG,325 KM,SUV,Automatyczna,5,7,Inny kolor,Używane,Tak,4x4 (stały),"23,30 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/cadillac-srx-zadbany-srx-ID6GxXZa.html
Cadillac Deville,15900,PLN,Prywatne,Cadillac,Deville,,1999,72 131 km,4 565 cm3,Benzyna,275 KM,Kombi,Automatyczna,4,,Czarny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/cadillac-deville-karawan-pogrzebowy-maly-przebieg-zabudowa-sayers-scovill-zarejstrowany-ID6GxQTq.html
Cadillac CTS 3.6 V6 Automatik Elegance,22000,PLN,Prywatne,Cadillac,CTS,3.6 V6 Automatik Elegance,2007,300 000 km,3 564 cm3,Benzyna+LPG,257 KM,Sedan,Automatyczna,4,5,Czarny,Używane,Tak,Na tylne koła,"16,60 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/cadillac-cts-cadillac-cts-i-elegance-3-6l-257km-rwd-ID6GxO4j.html
Cadillac STS-V 4.4 V8 Supercharged,85000,PLN,Prywatne,Cadillac,STS-V,4.4 V8 Supercharged,2008,107 000 km,4 370 cm3,Benzyna,476 KM,Sedan,Automatyczna,4,5,Srebrny,Używane,Tak,Na tylne koła,22 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/cadillac-sts-v-4-4-v8-supercharged-476-hp-import-japonia-ID6GxNey.html
