Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Chevrolet Captiva,18900,PLN,Prywatne,Chevrolet,Captiva,,2007,261 300 km,1 991 cm3,Diesel,149 KM,SUV,Automatyczna,5,7,Szary,Używane,Tak,4x4 (dołączany automatycznie),11 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/chevrolet-captiva-sprzedam-chevrolet-captive-ID6FYo2B.html
Chevrolet Spark 1.0 LS,14900,PLN,Prywatne,Chevrolet,Spark,1.0 LS,2010,155 900 km,995 cm3,Benzyna,68 KM,Auta miejskie,Manualna,5,5,Srebrny,Używane,Tak,Na przednie koła,6 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/chevrolet-spark-maly-wygodny-bardzo-dobry-stan-ID6Gp3aP.html
Chevrolet Camaro,105000,PLN,Prywatne,Chevrolet,Camaro,,2017,72 000 km,3 640 cm3,Benzyna,334 KM,Coupe,Manualna,2,4,Biały,Używane,Tak,Na tylne koła,12 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/chevrolet-camaro-3-6-zl1-2017-r-faktura-vat-23-ID6GpOTD.html
Chevrolet Aveo 1.2 16V Base,12500,PLN,Prywatne,Chevrolet,Aveo,1.2 16V Base,2009,60 000 km,1 206 cm3,Benzyna,84 KM,Auta małe,Manualna,3,3,Niebieski,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/chevrolet-aveo-bardzo-zadbany-chevrolet-aveo-z-niskim-przebiegiem-ID6GpQ5i.html
Chevrolet Spark 1.2 LT,13900,PLN,Prywatne,Chevrolet,Spark,1.2 LT,2012,174 000 km,1 206 cm3,Benzyna,82 KM,Auta miejskie,Manualna,5,5,Błękitny,Używane,Tak,Na przednie koła,"6,60 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/chevrolet-spark-zadbany-grzane-fotele-klima-pdc-tyl-1-2-benzyna-82km-174-tys-km-ID6GpPV4.html
Chevrolet Camaro Coupe 6.2 V8,149900,PLN,Prywatne,Chevrolet,Camaro,Coupe 6.2 V8,2016,88 500 km,6 162 cm3,Benzyna,453 KM,Coupe,Automatyczna,2,4,Czarny,Używane,Tak,Na tylne koła,17 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/chevrolet-camaro-chevrolet-camaro-coupe-6-2-v8-ID6G52Jl.html
Chevrolet Corvette Z06 3LZ 6.2 V8 Cabriolet,299900,PLN,Prywatne,Chevrolet,Corvette,Z06 3LZ 6.2 V8 Cabriolet,2016,64 000 km,6 162 cm3,Benzyna,659 KM,Coupe,Manualna,2,,Żółty,Używane,Tak,Na tylne koła,"18,60 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/chevrolet-corvette-corvette-c7-z07-2016-kompresor-bezwypadkowy-targa-manual-ID6G1RID.html
Chevrolet Orlando 2.0 D LTZ,30000,PLN,Prywatne,Chevrolet,Orlando,2.0 D LTZ,2012,150 000 km,1 998 cm3,Diesel,163 KM,SUV,Manualna,5,7,Czarny,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/chevrolet-orlando-ID6GpNYH.html
Chevrolet Cruze 2.0 D LTZ,28450,PLN,Prywatne,Chevrolet,Cruze,2.0 D LTZ,2013,159 800 km,1 998 cm3,Diesel,163 KM,Kombi,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/chevrolet-cruze-chevrolet-cruze-my2013-ltz-2-0-diesel-163km-159-tys-przebiegu-ID6GpMgm.html
Chevrolet Trax,56900,PLN,Prywatne,Chevrolet,Trax,,2018,39 700 km,1 364 cm3,Benzyna,140 KM,SUV,Automatyczna,5,5,Inny kolor,Używane,Tak,4x4 (dołączany automatycznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/chevrolet-trax-super-zwrotny-mega-suv-trax-lt-4x4-1-4-benz-automat-ID6G43p5.html
Chevrolet Orlando 2.0 D LT+,23000,PLN,Prywatne,Chevrolet,Orlando,2.0 D LT+,2012,217 243 km,1 998 cm3,Diesel,163 KM,Minivan,Manualna,5,7,Złoty,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/chevrolet-orlando-chevrolet-orlando-2-0-lt-163km-ID6G3KpO.html
Chevrolet Trax 1.6 LS,35055,PLN,Prywatne,Chevrolet,Trax,1.6 LS,2013,200 000 km,1 598 cm3,Benzyna,115 KM,SUV,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/chevrolet-trax-2013-model-bezwypadkowy-aso-fv23-ID6G5Qr2.html
Chevrolet Cruze 1.8 LT,28500,PLN,Prywatne,Chevrolet,Cruze,1.8 LT,2011,134 600 km,1 796 cm3,Benzyna,141 KM,Sedan,Manualna,4,5,Srebrny,Używane,Tak,Na przednie koła,8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/chevrolet-cruze-chevrolet-cruze-lt-bezwypadkowyidealny-klima-autom-parktronik-ID6GpMVT.html
