Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Chrysler Pacifica,43900,PLN,Firma,Chrysler,Pacifica,,2020,130 000 km,3 605 cm3,Benzyna,291 KM,Minivan,Automatyczna,5,7,Szary,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/chrysler-pacifica-2020r-auto-w-polsce-atrakcyjna-cena-po-wszystkich-oplatach-okazja-ID6Glhbw.html
Chrysler Town & Country 3.6 Touring,54900,PLN,Prywatne,Chrysler,Town & Country,3.6 Touring,2014,221 000 km,3 605 cm3,Benzyna+LPG,283 KM,Minivan,Automatyczna,5,7,Szary,Używane,Tak,Na przednie koła,13 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/chrysler-town-country-chrysler-town-country-2014-lpg-bezwypadkowy-kupujacy-zwolniony-z-pcc-ID6GpQ7O.html
Chrysler Sebring 2.0 CRD Limited,12850,PLN,Prywatne,Chrysler,Sebring,2.0 CRD Limited,2008,231 000 km,1 968 cm3,Diesel,140 KM,Sedan,Manualna,4,5,Srebrny,Używane,,,8 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/chrysler-sebring-ID6GgnS3.html
Chrysler Pacifica,120000,PLN,Prywatne,Chrysler,Pacifica,,2019,114 000 km,3 605 cm3,Benzyna,291 KM,Minivan,Automatyczna,5,7,Biały,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/chrysler-pacifica-chrysler-pacifica-touring-l-ID6GpOOS.html
Chrysler Voyager,7900,PLN,Prywatne,Chrysler,Voyager,,2004,336 634 km,2 776 cm3,Diesel,150 KM,Minivan,Automatyczna,5,,Inny kolor,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/chrysler-voyager-chrysler-voyager-wersja-7-osobowa-ID6GeLxq.html
Chrysler Pacifica,134800,PLN,Prywatne,Chrysler,Pacifica,,2019,66 900 km,3 605 cm3,Benzyna+LPG,291 KM,Minivan,Automatyczna,5,7,Biały,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/chrysler-pacifica-limited-s-gaz-zadbany-ID6G7Bas.html
Chrysler Pacifica,116850,PLN,Prywatne,Chrysler,Pacifica,,2018,105 500 km,3 600 cm3,Benzyna+LPG,282 KM,Minivan,Automatyczna,5,7,Pomarańczowy,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/chrysler-pacifica-chrysler-pacifica-b-g-bdb-stan-fv-leasing-ID6EVLqh.html
Chrysler Town & Country 3.3,25600,PLN,Prywatne,Chrysler,Town & Country,3.3,2007,240 700 km,3 301 cm3,Benzyna+LPG,180 KM,Minivan,Automatyczna,5,7,Granatowy,Używane,Tak,Na przednie koła,13 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/chrysler-town-country-rodzinny-samochod-w-bardzo-dobrym-stanie-ID6Gp2EI.html
Chrysler Pacifica,130900,PLN,Prywatne,Chrysler,Pacifica,,2018,65 900 km,3 605 cm3,Benzyna,291 KM,Minivan,Automatyczna,5,7,Czarny,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/chrysler-pacifica-2018-touring-l-plus-s-ID6GgshJ.html
Chrysler Pacifica,149900,PLN,Prywatne,Chrysler,Pacifica,,2020,41 690 km,3 605 cm3,Benzyna,287 KM,Minivan,Automatyczna,5,8,Czarny,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/chrysler-pacifica-8-osobowa-2020-chrysler-pacifica-limited-35th-anniversary-edition-ID6GeZJF.html
Chrysler Pacifica,116850,PLN,Prywatne,Chrysler,Pacifica,,2017,189 000 km,3 600 cm3,Benzyna,186 KM,Minivan,Automatyczna,5,7,Granatowy,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/chrysler-pacifica-chrysler-pacifica-limited-xenon-20-dvd-odkurzacz-radar-360-ID6G6XkG.html
Chrysler Stratus LX 2.5 Cabrio,35000,PLN,Prywatne,Chrysler,Stratus,LX 2.5 Cabrio,1997,49 500 km,2 497 cm3,Benzyna,163 KM,Kabriolet,Automatyczna,2,4,Bordowy,Używane,Tak,Na przednie koła,15 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/chrysler-stratus-cabrio-2-5-v6-super-stan-przebieg-49-tys-km-ID6GkYfI.html
Chrysler Pacifica,121000,PLN,Prywatne,Chrysler,Pacifica,,2019,66 450 km,3 605 cm3,Benzyna,286 KM,Minivan,Automatyczna,5,7,Biały,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/chrysler-pacifica-ID6GpO34.html
Chrysler Pacifica,121000,PLN,Prywatne,Chrysler,Pacifica,,2017,93 250 km,3 605 cm3,Benzyna+LPG,291 KM,Minivan,Automatyczna,5,7,Czarny,Używane,,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/chrysler-pacifica-chrysler-pacyfica-ID6Gp26Q.html
