Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Citroën C4 Picasso PureTech 130 Stop&Start Attraction,37900,PLN,Prywatne,Citroën,C4 Picasso,PureTech 130 Stop&Start Attraction,2017,57 799 km,1 199 cm3,Benzyna,130 KM,Minivan,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,"6,10 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/citroen-c4-picasso-okazja-swiezo-sprowadzony-oryginalny-przebieg-57tys-km-ID6GjRoy.html
Citroën C4 Grand Picasso,23600,PLN,Prywatne,Citroën,C4 Grand Picasso,,2010,132 960 km,1 997 cm3,Diesel,150 KM,Minivan,Manualna,5,7,Czarny,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/citroen-c4-grand-picasso-citroen-c4-picasso-2010r-diesel-2-0hdi-ID6GoZm5.html
Citroën C3 Aircross 1.2 PureTech Feel S&S,85000,PLN,Firma,Citroën,C3 Aircross,1.2 PureTech Feel S&S,2023,2 km,1 199 cm3,Benzyna,110 KM,SUV,Manualna,5,5,Srebrny,Nowe,Tak,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/citroen-c3-aircross-1-2-puretech-110-feel-wersja-dostepny-od-reki-ID6FPh8R.html
Citroën C5 Aircross 1.5 BlueHDi Feel,85800,PLN,Prywatne,Citroën,C5 Aircross,1.5 BlueHDi Feel,2019,99 000 km,1 499 cm3,Diesel,130 KM,SUV,Manualna,5,5,Niebieski,Używane,Tak,Na przednie koła,4 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/citroen-c5-aircross-citroen-c5-aircross-1-5-bluehdi-pierwszy-wlascicie-ID6Gp3cz.html
Citroën C3,25700,PLN,Prywatne,Citroën,C3,,2016,99 999 km,1 199 cm3,Benzyna,82 KM,Auta miejskie,Manualna,5,5,Granatowy,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/citroen-c3-citroen-c-3-c3-polo-yaris-clio-corsa-208-ID6GjKmL.html
Citroën C4 Cactus 1.2 PureTech Origins S&S,53600,PLN,Prywatne,Citroën,C4 Cactus,1.2 PureTech Origins S&S,2019,97 500 km,1 199 cm3,Benzyna,110 KM,SUV,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/citroen-c4-cactus-citroen-c4-cactus-salon-pl-1-wl-ID6Gk5CP.html
Citroën C4 Grand Picasso 2.0 BlueHDi Exclusive,40900,PLN,Prywatne,Citroën,C4 Grand Picasso,2.0 BlueHDi Exclusive,2014,192 000 km,1 997 cm3,Diesel,150 KM,Minivan,Manualna,5,7,Niebieski,Używane,Tak,Na przednie koła,4 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/citroen-c4-grand-picasso-2-0-hdi-150km-exclusive-bezwypadkowy-bogata-opcja-kamera-navi-masaze-ID6GpQdg.html
Citroën C5 II Break 1.6 HDi Impress Pack,7200,PLN,Prywatne,Citroën,C5,II Break 1.6 HDi Impress Pack,2007,337 000 km,1 560 cm3,Diesel,110 KM,Kompakt,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/citroen-c5-citroen-c5-1-6-hdi-ID6GpQj4.html
Citroën C3,8900,PLN,Prywatne,Citroën,C3,,2006,105 604 km,1 124 cm3,Benzyna,60 KM,Kompakt,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/citroen-c3-citroen-c3-1-1-ben-2006r-klima-salon-pl-ID6GpFpq.html
Citroën C3,19900,PLN,Prywatne,Citroën,C3,,2013,138 000 km,999 cm3,Benzyna,68 KM,Auta małe,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/citroen-c3-1-0-benzyna-68-km-klimatyzacja-kamera-nawigacja-zarejestrowany-ID6GpQ8l.html
Citroën C4 Cactus,32800,PLN,Prywatne,Citroën,C4 Cactus,,2015,118 830 km,1 199 cm3,Benzyna,82 KM,Kompakt,Manualna,5,5,Brązowy,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/citroen-c4-cactus-brazowy-fabryczne-powloki-lakiernicze-bogate-wyposazenie-ID6GpQ4z.html
Citroën C4 Cactus 1.2 PureTech Live,36500,PLN,Prywatne,Citroën,C4 Cactus,1.2 PureTech Live,2014,65 000 km,1 199 cm3,Benzyna,82 KM,Auta małe,Manualna,5,5,Beżowy,Używane,Tak,Na przednie koła,5 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/citroen-c4-cactus-sprzedam-bardzo-ladnego-cactusa-z-przebiegiem-65000-ID6GpPX4.html
Citroën Berlingo 1.6 HDI 110 FAP Multispace,21900,PLN,Prywatne,Citroën,Berlingo,1.6 HDI 110 FAP Multispace,2009,129 548 km,1 560 cm3,Diesel,109 KM,Minivan,Manualna,5,,Srebrny,Używane,Tak,Na przednie koła,"10,80 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/citroen-berlingo-citroen-berlingo-1-6-multispace-7-osobowy-ID6GkK69.html
Citroën C3 Picasso VTi 120 Color Selektion,17800,PLN,Prywatne,Citroën,C3 Picasso,VTi 120 Color Selektion,2009,265 000 km,1 598 cm3,Benzyna,120 KM,Minivan,Manualna,5,5,Złoty,Używane,Tak,Na przednie koła,"9,40 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/citroen-c3-picasso-wyjatkowa-wersja-przepiekny-najlpesza-oferta-rodzinna-ID6GpPBs.html
Citroën C3 1.2 PureTech Shine S&S,39700,PLN,Prywatne,Citroën,C3,1.2 PureTech Shine S&S,2017,76 025 km,1 199 cm3,Benzyna,110 KM,Auta miejskie,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,5 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/citroen-c3-110km-kamera-navi-alu-ID6Gp30Q.html
Citroën DS3 1.6 THP SportChic,16800,PLN,Prywatne,Citroën,DS3,1.6 THP SportChic,2010,169 500 km,1 598 cm3,Benzyna,156 KM,Kompakt,Manualna,3,5,Żółty,Używane,Tak,Na przednie koła,7 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/citroen-ds3-1-6-thp-sportchic-ID6GpCqw.html
Citroën C-Crosser,25900,PLN,Prywatne,Citroën,C-Crosser,,2007,282 900 km,2 179 cm3,Diesel,156 KM,SUV,Manualna,5,7,Szary,Używane,Tak,4x4 (dołączany ręcznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/citroen-c-crosser-po-oplatach-bogate-wyposazenie-kamera-cofania-gwarancja-12-msc-ID6GpOJr.html
Citroën C4 Grand Picasso e-HDi 115 Exclusive,45700,PLN,Prywatne,Citroën,C4 Grand Picasso,e-HDi 115 Exclusive,2014,143 000 km,1 560 cm3,Diesel,116 KM,Minivan,Manualna,5,7,Szary,Używane,Tak,Na przednie koła,"4,50 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/citroen-c4-grand-picasso-1-6hdi-116kmzarejestrowanynawialubardzo-ladny-zadbany-ID6GpPD7.html
Citroën Jumpy Combi,268000,PLN,Firma,Citroën,Jumpy Combi,,2023,3 km,,Elektryczny,136 KM,Minivan,Automatyczna,5,8,Szary,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/citroen-jumpy-combi-spacetourer-xl-business-lounge-elektryczny-100kw-75kwh-2023-ID6GlRQ9.html
Citroën C5 2.2 HDi Exclusive,19900,PLN,Prywatne,Citroën,C5,2.2 HDi Exclusive,2008,249 500 km,2 179 cm3,Diesel,170 KM,Sedan,Manualna,4,5,Złoty,Używane,Tak,Na przednie koła,8 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/citroen-c5-sprzedam-citroen-c5-exclusive-2-2-hdi-ID6GpPtL.html
Citroën C3,43900,PLN,Prywatne,Citroën,C3,,2018,67 800 km,1 199 cm3,Benzyna,82 KM,Kompakt,Manualna,5,,Biały,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/citroen-c3-citroen-c3-2018r-ID6GfQDd.html
,,,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/osobowe/oferta/citroen-c3-kupiony-w-salonie-auto-gazda-bezwypadkowy-serwisowany-ID6GoW9f.html
Citroën Jumpy Combi,23900,PLN,Prywatne,Citroën,Jumpy Combi,,2009,207 000 km,1 997 cm3,Diesel,120 KM,Minivan,Manualna,5,6,Biały,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/citroen-jumpy-combi-6-osobowy-klima-zarejestrowany-ID6Gpyk8.html
Citroën C4 Grand Picasso,18800,PLN,Prywatne,Citroën,C4 Grand Picasso,,2012,246 200 km,1 560 cm3,Diesel,112 KM,Minivan,Manualna,5,,Niebieski,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/citroen-c4-grand-picasso-ID6GgrMr.html
Citroën C4 Aircross 1.6 STT 4x2 Exclusive,39900,PLN,Prywatne,Citroën,C4 Aircross,1.6 STT 4x2 Exclusive,2012,166 490 km,1 590 cm3,Benzyna,117 KM,SUV,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,7 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/citroen-c4-aircross-1-6i-117km-exclusive-led-kamera-navi-skory-serwis-zniemiec-ID6GpHLk.html
Citroën C4 Picasso,10500,PLN,Prywatne,Citroën,C4 Picasso,,2010,272 000 km,1 560 cm3,Diesel,110 KM,Minivan,Automatyczna,5,7,Czerwony,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/citroen-c4-picasso-citroen-c4-picasso-1-6-diesel-7-osobowy-ID6Gp2MT.html
Citroën C3 1.2 PureTech Shine,42900,PLN,Prywatne,Citroën,C3,1.2 PureTech Shine,2018,30 000 km,1 199 cm3,Benzyna,82 KM,Kompakt,Manualna,5,5,Bordowy,Używane,Tak,Na przednie koła,5 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/citroen-c3-1-2benzyna-tablet-maly-przebieg-ID6GdwRr.html
Citroën C5 2.0 HDi Attraction,17500,PLN,Prywatne,Citroën,C5,2.0 HDi Attraction,2010,249 000 km,1 997 cm3,Diesel,140 KM,Sedan,Manualna,4,5,Czarny,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/citroen-c5-citroen-c5-2-0-hdi-ID6Gjg2U.html
Citroën C4 Picasso 2.0 HDi Exclusive MCP,11333,PLN,Prywatne,Citroën,C4 Picasso,2.0 HDi Exclusive MCP,2007,251 353 km,1 997 cm3,Diesel,136 KM,Minivan,Automatyczna,5,7,Złoty,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/citroen-c4-picasso-citroen-c4-grand-picasso-ID6Gdeuy.html
Citroën C3 HDi 90 FAP Exclusive,35500,PLN,Prywatne,Citroën,C3,HDi 90 FAP Exclusive,2017,156 000 km,1 560 cm3,Diesel,92 KM,Auta miejskie,Manualna,5,,Niebieski,Używane,Tak,,"4,90 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/citroen-c3-iii-gen-1-6-diesel-led-asystent-klima-gwarancja-ID6GiWCR.html
Citroën C4,21800,PLN,Prywatne,Citroën,C4,,2010,196 000 km,1 598 cm3,Benzyna,120 KM,Kompakt,Manualna,5,5,Inny kolor,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/citroen-c4-1-6-vti-120-km-ID6GpONr.html
Citroën C5 2.0 HDi Exclusive,21000,PLN,Prywatne,Citroën,C5,2.0 HDi Exclusive,2010,293 000 km,1 997 cm3,Diesel,163 KM,Kombi,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/citroen-c5-citroen-c5-tourer-exclusive-diesel-2-wlascicel-bez-wad-mechanicznych-ID6GpODh.html
Citroën C5 Aircross Pure Tech 130 S&S PLUS,64900,PLN,Prywatne,Citroën,C5 Aircross,Pure Tech 130 S&S PLUS,2019,134 376 km,1 199 cm3,Benzyna,131 KM,SUV,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/citroen-c5-aircross-1-2-131km-wersja-bussines-wirtualny-kokpit-tempomat-aktywny-blis-ledy-ID6Gp1Lp.html
Citroën C5 1.6 THP Exclusive,25000,PLN,Prywatne,Citroën,C5,1.6 THP Exclusive,2011,143 700 km,1 598 cm3,Benzyna,156 KM,Sedan,Automatyczna,4,5,Czarny,Używane,Tak,Na przednie koła,10 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/citroen-c5-2011-1-6-thp-exclusive-auto-z-polskiego-salonu-ID6GpOtU.html
Citroën C4 Aircross,29800,PLN,Prywatne,Citroën,C4 Aircross,,2012,199 899 km,1 598 cm3,Diesel,115 KM,SUV,Manualna,5,,Szary,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/citroen-c4-aircross-1-6-115km-navi-alufelgi-led-pdc-zamiana-ID6GnSaG.html
