Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Cupra Leon 2.0 TSI VZ DSG,206768,PLN,Firma,Cupra,Leon,2.0 TSI VZ DSG,2024,5 km,1 984 cm3,Benzyna,300 KM,Kompakt,Automatyczna,5,5,Biały,Nowe,,4x4 (dołączany ręcznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/cupra-leon-cupra-leon-leon-vz-2-0-tsi-300-km-7-biegowa-automatyczna-dsg-ID6GoT6g.html
Cupra Formentor 2.0 TSI 4Drive DSG,191399,PLN,Firma,Cupra,Formentor,2.0 TSI 4Drive DSG,2024,1 km,1 984 cm3,Benzyna,190 KM,SUV,Automatyczna,5,5,Czerwony,Nowe,,4x4 (dołączany ręcznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/cupra-formentor-cupra-formentor-2-0-tsi-190-km-7-biegowa-automatyczna-dsg-4drive-ID6G2U2I.html
Cupra Formentor 1.5 TSI DSG,105000,PLN,Prywatne,Cupra,Formentor,1.5 TSI DSG,2021,57 000 km,1 498 cm3,Benzyna,150 KM,SUV,Automatyczna,5,,Biały,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/cupra-formentor-bez-wypadkowa-ID6Ghg5P.html
Cupra Formentor 1.5 TSI,144900,PLN,Firma,Cupra,Formentor,1.5 TSI,2024,1 km,1 498 cm3,Benzyna,150 KM,SUV,Manualna,5,5,Biały,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/cupra-formentor-cupra-formentor-1-5-tsi-150-km-6-biegowa-manualna-ID6GfcXJ.html
Cupra Formentor,214900,PLN,Firma,Cupra,Formentor,,2023,1 km,1 395 cm3,Hybryda Plug-in,245 KM,SUV,Automatyczna,5,5,Szary,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/cupra-formentor-vz-1-4-e-hybrid-245-km-dsg-kamery-360-beatsaudio-felgi-19-ID6Ga9ny.html
,,,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/osobowe/oferta/cupra-formentor-cupra-formentor-2-0-tdi-150-km-7-biegowa-automatyczna-dsg-4drive-ID6GauaT.html
Cupra Formentor 1.5 TSI,134900,PLN,Firma,Cupra,Formentor,1.5 TSI,2023,1 km,1 498 cm3,Benzyna,150 KM,SUV,Manualna,5,5,Biały,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/cupra-formentor-cupra-formentor-1-5-tsi-150-km-6-biegowa-manualna-ID6G6aJa.html
Cupra Leon 2.0 TSI VZ DSG,206768,PLN,Firma,Cupra,Leon,2.0 TSI VZ DSG,2024,5 km,1 984 cm3,Benzyna,300 KM,Kompakt,Automatyczna,5,5,Szary,Nowe,,4x4 (dołączany ręcznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/cupra-leon-cupra-leon-leon-vz-2-0-tsi-300-km-7-biegowa-automatyczna-dsg-ID6GklVF.html
Cupra Formentor 2.0 TSI 4Drive DSG,190499,PLN,Firma,Cupra,Formentor,2.0 TSI 4Drive DSG,2024,5 km,1 984 cm3,Benzyna,190 KM,SUV,Automatyczna,5,5,Szary,Nowe,,4x4 (dołączany ręcznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/cupra-formentor-cupra-formentor-2-0-tsi-190km-dsg-4drive-ID6Gfc7M.html
Cupra Formentor 2.0 TDI 4Drive DSG,178749,PLN,Firma,Cupra,Formentor,2.0 TDI 4Drive DSG,2024,5 km,1 968 cm3,Diesel,150 KM,SUV,Automatyczna,5,5,Biały,Nowe,,4x4 (dołączany ręcznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/cupra-formentor-cupra-formentor-2-0-tdi-150-km-7-biegowa-automatyczna-dsg-4drive-ID6GfbW1.html
Cupra Born 58kWh E-Boost,168282,PLN,Firma,Cupra,Born,58kWh E-Boost,2023,7 km,,Elektryczny,231 KM,Kompakt,Automatyczna,5,5,Szary,Nowe,,Na tylne koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/cupra-born-do-odbioru-w-26-lokalizacjach-w-polsce-zapytaj-o-oferte-ID6GjHJ6.html
Cupra Formentor 2.0 TSI 4Drive DSG,188299,PLN,Firma,Cupra,Formentor,2.0 TSI 4Drive DSG,2024,5 km,1 984 cm3,Benzyna,190 KM,SUV,Automatyczna,5,5,Szary,Nowe,,4x4 (dołączany ręcznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/cupra-formentor-cupra-formentor-2-0-tsi-190-km-7-biegowa-automatyczna-dsg-4drive-ID6GjNyu.html
Cupra Formentor 2.0 TSI 4Drive VZ DSG,180000,PLN,Prywatne,Cupra,Formentor,2.0 TSI 4Drive VZ DSG,2022,17 000 km,1 984 cm3,Benzyna,310 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/cupra-formentor-mozliwosc-zamiany-ID6GdOsW.html
