Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Dacia Duster,88900,PLN,Firma,Dacia,Duster,,2024,1 km,999 cm3,Benzyna+LPG,100 KM,SUV,Manualna,5,5,Szary,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-journey-1-0-tce-100km-mt-lpg-system-bezkluczykowego-dostepu-ID6GpB6b.html
Dacia Duster 1.0 TCe Journey,86301,PLN,Firma,Dacia,Duster,1.0 TCe Journey,2023,1 km,999 cm3,Benzyna+LPG,90 KM,SUV,Manualna,5,5,Biały,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-1-0-tce-journey-lpg-podgrzewane-fotele-od-reki-ID6GjR4D.html
Dacia Lodgy 1.3 TCe Laureate S&S,35900,PLN,Prywatne,Dacia,Lodgy,1.3 TCe Laureate S&S,2020,39 000 km,1 333 cm3,Benzyna,130 KM,Minivan,Manualna,5,5,Niebieski,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/dacia-lodgy-1-3-130km-nawi-tempomat-parktronic-el-szyby-klima-multikierownica-ID6GpP3R.html
Dacia Duster 1.0 TCe Journey,87500,PLN,Firma,Dacia,Duster,1.0 TCe Journey,2023,1 km,999 cm3,Benzyna+LPG,90 KM,SUV,Manualna,5,5,Szary,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-1-0-tce-journey-lpg-od-reki-ID6GnLjn.html
Dacia Duster 1.6 16V 4x4 Prestige,30900,PLN,Prywatne,Dacia,Duster,1.6 16V 4x4 Prestige,2011,267 000 km,1 598 cm3,Benzyna,105 KM,SUV,Manualna,5,,Brązowy,Używane,Tak,4x4 (stały),"10,40 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-navi-4x4-kamera-androidauto-piekny-stan-bezwypadkowy-ID6GgpAQ.html
Dacia Sandero Stepway,43500,PLN,Prywatne,Dacia,Sandero Stepway,,2020,46 800 km,898 cm3,Benzyna,90 KM,Auta miejskie,Manualna,5,5,Czerwony,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/dacia-sandero-stepway-0-9-90-km-niski-przebieg-2020-rok-ID6Gg5Tn.html
Dacia Jogger,94600,PLN,Firma,Dacia,Jogger,,2023,1 km,999 cm3,Benzyna+LPG,110 KM,Minivan,Manualna,5,7,Brązowy,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-jogger-1-0-tce-extreme-lpg-7os-od-reki-ID6GnLlW.html
Dacia Sandero Stepway,79800,PLN,Firma,Dacia,Sandero Stepway,,2023,1 km,999 cm3,Benzyna+LPG,90 KM,Auta miejskie,Manualna,5,5,Pomarańczowy,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-sandero-stepway-1-0-tce-expression-lpg-od-reki-ID6GlO3E.html
Dacia Duster 1.6 16V 105 4x4 Celebration,29500,PLN,Prywatne,Dacia,Duster,1.6 16V 105 4x4 Celebration,2010,140 500 km,1 598 cm3,Benzyna,105 KM,SUV,Manualna,5,5,Złoty,Używane,Tak,4x4 (dołączany ręcznie),"10,40 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-ID6GpPKE.html
Dacia Dokker 1.5 dCi Laureate,29500,PLN,Prywatne,Dacia,Dokker,1.5 dCi Laureate,2015,232 000 km,1 461 cm3,Diesel,90 KM,Kombi,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,4 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-dokker-pierwszy-wlasciciel-bezwypadkowy-ID6GpPIJ.html
,,,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/osobowe/oferta/dacia-dokker-dacia-dokker-polski-salon-ID6Gp2WN.html
Dacia Duster 1.6 SCe Ambiance S&S,60900,PLN,Prywatne,Dacia,Duster,1.6 SCe Ambiance S&S,2019,49 650 km,1 598 cm3,Benzyna,114 KM,SUV,Manualna,5,5,Granatowy,Używane,Tak,Na przednie koła,7 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-1-6b-salon-polska-kamera-360-martwe-pole-najbogatsza-wersja-ID6GpPwz.html
Dacia Sandero Stepway,80040,PLN,Firma,Dacia,Sandero Stepway,,2024,1 km,999 cm3,Benzyna+LPG,100 KM,Kompakt,Manualna,5,5,Biały,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-sandero-stepway-extreme-1-0-tce-100km-mt-lpg-czujniki-przod-tyl-ID6GlnBA.html
Dacia Dokker 1.5 dCi Laureate,17900,PLN,Prywatne,Dacia,Dokker,1.5 dCi Laureate,2013,221 770 km,1 461 cm3,Diesel,75 KM,Kombi,Manualna,5,5,Granatowy,Używane,Tak,Na przednie koła,4 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/dacia-dokker-dacia-dokker-2013-rok-diesel-1-wlasciciel-ID6GkyDg.html
Dacia Duster 1.5 dCi Laureate 4x4,33500,PLN,Prywatne,Dacia,Duster,1.5 dCi Laureate 4x4,2015,195 500 km,1 461 cm3,Diesel,109 KM,SUV,Manualna,5,5,Biały,Używane,Tak,4x4 (dołączany automatycznie),5 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-1-5-dci-109km-4x4-lifting-alufelgi-salon-polska-ID6GpNRZ.html
Dacia Duster,89200,PLN,Firma,Dacia,Duster,,2023,1 km,999 cm3,Benzyna+LPG,101 KM,SUV,Manualna,5,5,Pomarańczowy,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-1-0-tce-journey-lpg-od-reki-ID6GjNIW.html
Dacia Jogger,70000,PLN,Prywatne,Dacia,Jogger,,2022,12 606 km,999 cm3,Benzyna+LPG,101 KM,Kombi,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/dacia-jogger-1-0-benzyna-lpg-xtreme-limited-edition-ID6Gp2yh.html
Dacia Duster 1.0 TCe Journey,89000,PLN,Firma,Dacia,Duster,1.0 TCe Journey,2023,1 km,999 cm3,Benzyna+LPG,90 KM,SUV,Manualna,5,5,Zielony,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-1-0-tce-journey-lpg-od-reki-ID6Gbcce.html
Dacia Duster,89000,PLN,Firma,Dacia,Duster,,2023,1 km,999 cm3,Benzyna+LPG,101 KM,SUV,Manualna,5,5,Czarny,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-1-0-tce-journey-lpg-od-reki-ID6GjNPJ.html
Dacia Duster 1.0 TCe Prestige,65900,PLN,Prywatne,Dacia,Duster,1.0 TCe Prestige,2022,81 500 km,999 cm3,Benzyna+LPG,90 KM,SUV,Manualna,5,5,Pomarańczowy,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-dacia-duster-2022r-pierwsza-wlascicielka-fabryczna-instalacja-gazowa-ID6Gp2vv.html
Dacia Jogger,99799,PLN,Firma,Dacia,Jogger,,2023,1 km,999 cm3,Benzyna+LPG,110 KM,Minivan,Manualna,5,7,Zielony,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-jogger-1-0-tce-extreme-lpg-7os-od-reki-ID6GnL4d.html
Dacia Duster 1.0 TCe Journey,87500,PLN,Firma,Dacia,Duster,1.0 TCe Journey,2023,1 km,999 cm3,Benzyna+LPG,90 KM,SUV,Manualna,5,5,Szary,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-duster-1-0-tce-journey-lpg-od-reki-ID6GnLiV.html
Dacia Dokker 1.6 MPI 85 Ambiance,28900,PLN,Prywatne,Dacia,Dokker,1.6 MPI 85 Ambiance,2014,205 362 km,1 598 cm3,Benzyna+LPG,83 KM,Minivan,Manualna,5,5,Granatowy,Używane,Tak,Na przednie koła,"9,70 l/100km",,Tak,,https://www.otomoto.pl/osobowe/oferta/dacia-dokker-bezwypadkowy-instalacja-lpg-ID6FZcd4.html
