Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Daewoo Nubira 1.8 Wagon 1.8 CDX,5200,PLN,Prywatne,Daewoo,Nubira,1.8 Wagon 1.8 CDX,2004,157 000 km,1 799 cm3,Benzyna,122 KM,Kombi,Manualna,5,,Niebieski,Używane,,,"9,80 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/daewoo-nubira-daewoo-chevrolet-nubira-157000-km-super-stan-ID6Gy9zY.html
Daewoo Kalos 1.2 SE,3400,PLN,Prywatne,Daewoo,Kalos,1.2 SE,2005,78 431 km,1 150 cm3,Benzyna,72 KM,Auta małe,Manualna,5,5,Zielony,Używane,Tak,Na przednie koła,8 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/daewoo-kalos-klima-okazja-ID6GreI6.html
Daewoo Matiz,4000,PLN,Firma,Daewoo,Matiz,,1999,102 541 km,796 cm3,Benzyna,51 KM,Auta małe,Manualna,5,5,Czerwony,Używane,,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/daewoo-matiz-0-8-salon-polska-ID6GxVNM.html
Daewoo Matiz Friend,3900,PLN,Prywatne,Daewoo,Matiz,Friend,2002,99 000 km,796 cm3,Benzyna,52 KM,Auta małe,Manualna,5,5,Srebrny,Używane,Tak,Na przednie koła,8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/daewoo-matiz-bez-korozji-drugi-wlasciciel-zadbany-ID6GxlD1.html
Daewoo Rezzo,5900,PLN,Firma,Daewoo,Rezzo,,2004,100 000 km,2 000 cm3,Benzyna,121 KM,Minivan,Manualna,5,5,Niebieski,Używane,,Na przednie koła,8 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/daewoo-rezzo-sliczny-2-0-16v-benzyna-bogata-wersja-wyjatkowy-2005r-serwis-oryginal-ID6ECXLU.html
Daewoo Kalos 1.4 SE Cool,3599,PLN,Prywatne,Daewoo,Kalos,1.4 SE Cool,2003,188 000 km,1 399 cm3,Benzyna+LPG,83 KM,Kompakt,Manualna,5,5,Złoty,Używane,Tak,Na przednie koła,10 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/daewoo-kalos-ID6GusAC.html
Daewoo Tico 800 SX,1000,PLN,Prywatne,Daewoo,Tico,800 SX,1999,92 805 km,796 cm3,Benzyna,41 KM,Auta małe,Manualna,5,5,Zielony,Używane,Tak,Na przednie koła,5 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/daewoo-tico-tico-drugi-wlasciciel-nowe-zimowe-opony-maly-przebieg-blachasrednia-ID6Gy7ZV.html
Daewoo Nubira 2.0 CDX,4400,PLN,Prywatne,Daewoo,Nubira,2.0 CDX,1999,284 276 km,1 998 cm3,Benzyna,133 KM,Kombi,Manualna,5,5,Granatowy,Używane,Tak,Na przednie koła,13 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/daewoo-nubira-j100-kombi-cdx-ID6GvhVI.html
Daewoo Espero 1.8 CD,1499,PLN,Prywatne,Daewoo,Espero,1.8 CD,1999,102 000 km,1 796 cm3,Benzyna,95 KM,Sedan,Manualna,4,5,Zielony,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/daewoo-espero-espero-100-000-km-przebiegu-od-nowosci-w-rodzinie-ID6Gy41e.html
Daewoo Lanos 1.4 S,2900,PLN,Prywatne,Daewoo,Lanos,1.4 S,2001,117 000 km,1 349 cm3,Benzyna,75 KM,Sedan,Manualna,5,5,Błękitny,Używane,Tak,Na przednie koła,10 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/daewoo-lanos-pierwszy-wlasciciel-sprawny-konserwacja-podwozia-ID6GvnOf.html
