Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Daihatsu Terios 1.5 Top S 4WD,17800,PLN,Prywatne,Daihatsu,Terios,1.5 Top S 4WD,2006,201 000 km,1 495 cm3,Benzyna,105 KM,SUV,Manualna,5,5,Niebieski,Używane,Tak,4x4 (stały),9 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/daihatsu-terios-4x4-ID6Gy1Ya.html
Daihatsu Materia 1.3,9900,PLN,Prywatne,Daihatsu,Materia,1.3,2009,189 100 km,1 298 cm3,Benzyna,91 KM,Minivan,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/daihatsu-materia-1-3-benzyna-2009r-stan-bardzo-dobry-bezwypadkowy-ID6GxTUJ.html
Daihatsu Materia 1.5,15500,PLN,Prywatne,Daihatsu,Materia,1.5,2008,231 000 km,1 495 cm3,Benzyna,103 KM,Minivan,Manualna,5,5,Niebieski,Używane,Tak,Na przednie koła,8 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/daihatsu-materia-daihatsu-materia-1-5-klima-alu-z-niemiec-super-stan-ID6GqehC.html
Daihatsu Terios 1.5 Top 4WD,31500,PLN,Prywatne,Daihatsu,Terios,1.5 Top 4WD,2008,210 000 km,1 495 cm3,Benzyna+LPG,105 KM,SUV,Manualna,5,5,Szary,Używane,Tak,4x4 (stały),9 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/daihatsu-terios-daihatsu-terios-model-2009-4x4-lift-lpg-ID6GxHXu.html
Daihatsu Sirion 1.3,9900,PLN,Prywatne,Daihatsu,Sirion,1.3,2006,174 000 km,1 298 cm3,Benzyna,91 KM,Auta miejskie,Manualna,5,5,Czerwony,Używane,Tak,Na przednie koła,7 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/daihatsu-sirion-autko-w-super-stanie-siron-sport-klima-itp-ID6GxH6I.html
Daihatsu Sirion 1.3,5000,PLN,Prywatne,Daihatsu,Sirion,1.3,2007,170 000 km,1 298 cm3,Benzyna,87 KM,Kompakt,Manualna,5,5,Zielony,Używane,Tak,Na przednie koła,7 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/daihatsu-sirion-fajne-miejskie-auto-ID6GxmyJ.html
Daihatsu Cuore 1.0,7500,PLN,Prywatne,Daihatsu,Cuore,1.0,2009,264 000 km,998 cm3,Benzyna,70 KM,Auta małe,Manualna,5,4,Zielony,Używane,Tak,Na przednie koła,5 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/daihatsu-cuore-daihatsu-cuore-1-0-2009-bardzo-ladny-zadbany-samochod-ID6GxiAu.html
Daihatsu Sirion 1.0,9500,PLN,Prywatne,Daihatsu,Sirion,1.0,2009,147 000 km,998 cm3,Benzyna,70 KM,Auta małe,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,6 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/daihatsu-sirion-ID6GxiBf.html
Daihatsu Sirion 1.0,11900,PLN,Prywatne,Daihatsu,Sirion,1.0,2010,180 000 km,998 cm3,Benzyna,70 KM,Auta małe,Manualna,5,5,Inny kolor,Używane,Tak,Na przednie koła,6 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/daihatsu-sirion-10-alu-klima-z-niemiec-ID6GxcP9.html
Daihatsu YRV,2999,PLN,Firma,Daihatsu,YRV,,2002,185 000 km,1 298 cm3,Benzyna,87 KM,Kompakt,Manualna,5,5,Srebrny,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/daihatsu-yrv-1-3-benzyna-2002-r-okazja-ID6FZD7i.html
Daihatsu Trevis 1.0 Junior,7200,PLN,Prywatne,Daihatsu,Trevis,1.0 Junior,2007,144 400 km,989 cm3,Benzyna,58 KM,Auta małe,Manualna,5,4,Szary,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/daihatsu-trevis-daihatsu-trevis-1-0-ID6GtqRy.html
Daihatsu Trevis,8990,PLN,Firma,Daihatsu,Trevis,,2007,209 733 km,989 cm3,Benzyna,59 KM,Auta miejskie,Manualna,5,5,Zielony,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/daihatsu-trevis-1-0-benzyna-59-km-klimatyzacja-alufelgi-nowe-opony-wielosezonowe-ID6GvqnH.html
Daihatsu Sirion 1.3,8900,PLN,Firma,Daihatsu,Sirion,1.3,2008,96 000 km,1 298 cm3,Benzyna,87 KM,Auta małe,Manualna,5,,Zielony,Używane,Tak,Na przednie koła,7 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/daihatsu-sirion-klima-serwis-niemcy-ID6GvqkQ.html
Daihatsu Sirion 1.0,9600,PLN,Prywatne,Daihatsu,Sirion,1.0,2008,144 400 km,998 cm3,Benzyna,70 KM,Auta miejskie,Manualna,5,5,Zielony,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/daihatsu-sirion-sprzedam-daichatsu-sirion-1-0-ID6Gvprp.html
Daihatsu Sirion 1.0,9490,PLN,Prywatne,Daihatsu,Sirion,1.0,2010,134 000 km,998 cm3,Benzyna,70 KM,Auta miejskie,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,9 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/daihatsu-sirion-2010-klima-bezwypadek-ID6Gy7lW.html
Daihatsu Terios 4WD Top,6950,PLN,Firma,Daihatsu,Terios,4WD Top,2007,120 000 km,1 495 cm3,Benzyna,105 KM,SUV,Manualna,5,,Srebrny,Używane,,Na tylne koła,9 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/daihatsu-terios-1-5-anglik-ID6G3f78.html
Daihatsu Cuore 1.0 Plus,4500,PLN,Prywatne,Daihatsu,Cuore,1.0 Plus,2004,161 000 km,989 cm3,Benzyna,58 KM,Auta małe,Manualna,5,4,Fioletowy,Używane,Tak,Na przednie koła,6 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/daihatsu-cuore-daihatsu-cuore-zarejestrowany-w-polsce-ID6Gy3uP.html
Daihatsu Inny,19900,PLN,Firma,Daihatsu,Inny,,1982,69 103 km,617 cm3,Benzyna,30 KM,Kompakt,Manualna,4,5,Brązowy,Używane,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/daihatsu-daihatsu-cuore-mira-l60-sliczny-jedyny-taki-w-europie-ID6Gy3qq.html
Daihatsu Sirion,10600,PLN,Prywatne,Daihatsu,Sirion,,2008,160 000 km,1 298 cm3,Benzyna,91 KM,Auta małe,Manualna,5,5,Czerwony,Używane,Tak,,,,Tak,,https://www.otomoto.pl/osobowe/oferta/daihatsu-sirion-bezwypadkowy-ze-sprawna-klimatyzacja-ID6GwpJk.html
Daihatsu Copen 1.3,18800,PLN,Prywatne,Daihatsu,Copen,1.3,2007,137 000 km,1 298 cm3,Benzyna,87 KM,Kabriolet,Manualna,2,2,Szary,Używane,Tak,Na przednie koła,7 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/daihatsu-copen-daihatsu-copen-1-3-kabriolet-twardy-dach-ID6GoXbp.html
Daihatsu Sirion 1.3 S 100th Anniversary,9900,PLN,Prywatne,Daihatsu,Sirion,1.3 S 100th Anniversary,2007,86 000 km,1 298 cm3,Benzyna,87 KM,Auta miejskie,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,"7,50 l/100km",,Tak,,https://www.otomoto.pl/osobowe/oferta/daihatsu-sirion-super-stan-bezwypadek-niski-przebieg-ID6GwprT.html
Daihatsu Terios 1.5 Top 4WD,19900,PLN,Prywatne,Daihatsu,Terios,1.5 Top 4WD,2007,143 000 km,1 495 cm3,Benzyna,105 KM,SUV,Manualna,5,5,Niebieski,Używane,Tak,4x4 (stały),9 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/daihatsu-terios-4x4-klimatyzacja-zadbany-ID6Gw1uO.html
Daihatsu Terios,27999,PLN,Firma,Daihatsu,Terios,,2009,254 000 km,1 500 cm3,Benzyna,102 KM,SUV,Manualna,5,5,Srebrny,Używane,,4x4 (dołączany automatycznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/daihatsu-terios-1-5vvt-i4x4-awd-klima-piekny-stan-zadbana-zamiana-bezawaryjna-1r-gwara-ID6GvfwX.html
