Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Dodge RAM 1500 5.7 4x4,126000,PLN,Prywatne,Dodge,RAM,1500 5.7 4x4,2016,239 125 km,5 654 cm3,Benzyna,390 KM,SUV,Automatyczna,4,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),18 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/dodge-ram-sport-black-rambox-elektryczne-progi-ID6Gp3fc.html
Dodge Challenger Automatik R/T Plus Scat Pack,145000,PLN,Prywatne,Dodge,Challenger,Automatik R/T Plus Scat Pack,2016,86 500 km,6 417 cm3,Benzyna,492 KM,Coupe,Automatyczna,2,4,Czerwony,Używane,Tak,Na tylne koła,"21,40 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/dodge-challenger-ID6GpQc6.html
Dodge Challenger 6.4 Scat PackWidebody,218000,PLN,Prywatne,Dodge,Challenger,6.4 Scat PackWidebody,2021,24 000 km,6 417 cm3,Benzyna,492 KM,Coupe,Automatyczna,2,5,Inny kolor,Używane,Tak,,,Tak,,,https://www.otomoto.pl/osobowe/oferta/dodge-challenger-scat-pack-wide-body-bogata-wersja-wyposazenia-ID6FTI3q.html
Dodge Durango,72900,PLN,Prywatne,Dodge,Durango,,2011,181 200 km,5 654 cm3,Benzyna,364 KM,SUV,Automatyczna,5,7,Czarny,Używane,Tak,4x4 (dołączany automatycznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/dodge-durango-dodge-durango-5-7-hemi-citadel-4x4-ID6E9sYP.html
Dodge Challenger 3.5 SE,45000,PLN,Prywatne,Dodge,Challenger,3.5 SE,2009,306 000 km,3 518 cm3,Benzyna,250 KM,Coupe,Automatyczna,2,,Zielony,Używane,Tak,Na tylne koła,,,,,https://www.otomoto.pl/osobowe/oferta/dodge-challenger-dodga-challenger-2009-3-5-odpala-jezdzi-swiezo-sprowadzony-ID6G4YUi.html
Dodge RAM 1500 5.7 4x4,258000,PLN,Prywatne,Dodge,RAM,1500 5.7 4x4,2022,36 000 km,5 654 cm3,Benzyna+LPG,390 KM,Kompakt,Automatyczna,4,5,Czarny,Używane,Tak,4x4 (stały),18 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/dodge-ram-sprzedam-doge-ram-ID6Gp356.html
Dodge Caliber 1.8 SE,24900,PLN,Prywatne,Dodge,Caliber,1.8 SE,2010,151 000 km,1 798 cm3,Benzyna,150 KM,Minivan,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,9 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dodge-caliber-wzorowy-serwisowany-mozliwa-zamiana-ID6Gp35c.html
Dodge Charger 3.6 GT,88700,PLN,Prywatne,Dodge,Charger,3.6 GT,2019,129 000 km,3 604 cm3,Benzyna,300 KM,Sedan,Automatyczna,4,5,Błękitny,Używane,Tak,Na tylne koła,14 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/dodge-charger-ID6GpPPj.html
Dodge RAM,59000,PLN,Prywatne,Dodge,RAM,,2013,220 000 km,5 698 cm3,Benzyna,395 KM,SUV,Automatyczna,5,,Biały,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/dodge-ram-ID6GpPLB.html
Dodge Durango,125000,PLN,Prywatne,Dodge,Durango,,2018,97 500 km,3 604 cm3,Benzyna,299 KM,SUV,Automatyczna,5,7,Czarny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/dodge-durango-dodge-durango-3-6-4x4-ID6GpPo7.html
Dodge Grand Caravan 3.6 R/T,72900,PLN,Prywatne,Dodge,Grand Caravan,3.6 R/T,2017,173 000 km,3 605 cm3,Benzyna,283 KM,Minivan,Automatyczna,5,7,Bordowy,Używane,Tak,Na przednie koła,13 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/dodge-grand-caravan-mega-rodzinny-bogata-wersja-sxt-3-6b-283km-skora-automat-7os-ID6G4lgQ.html
Dodge RAM 1500 5.7 4x4,220000,PLN,Prywatne,Dodge,RAM,1500 5.7 4x4,2020,40 567 km,5 654 cm3,Benzyna+LPG,390 KM,SUV,Automatyczna,4,5,Szary,Używane,Tak,4x4 (stały),18 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/dodge-ram-ram-1500-rebel-lpg-ID6FPH4q.html
Dodge Stealth 3.0 R/T,37000,PLN,Prywatne,Dodge,Stealth,3.0 R/T,1991,95 000 km,2 972 cm3,Benzyna,226 KM,Coupe,Manualna,2,4,Niebieski,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dodge-stealth-dodge-stealth-r-t-1991-3-0-v6-224ps-ID6FRiUP.html
Dodge Journey 2.0 CRD R/T,20000,PLN,Prywatne,Dodge,Journey,2.0 CRD R/T,2009,157 303 km,1 968 cm3,Diesel,140 KM,SUV,Automatyczna,5,5,Srebrny,Używane,Tak,,9 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/dodge-journey-dodge-journey-po-remoncie-skrzyni-ID6Gm2zi.html
Dodge Challenger Automatik SXT Plus,99900,PLN,Prywatne,Dodge,Challenger,Automatik SXT Plus,2017,144 000 km,3 604 cm3,Benzyna,309 KM,Coupe,Automatyczna,2,4,Szary,Używane,Tak,Na tylne koła,"14,70 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/dodge-challenger-dodge-challenger-2017-sxt-plus-destroyer-grey-demon-afe-alpine-ID6Gp2gu.html
Dodge Durango,127900,PLN,Prywatne,Dodge,Durango,,2017,94 000 km,3 604 cm3,Benzyna,299 KM,SUV,Automatyczna,5,7,Czarny,Używane,Tak,4x4 (stały),13 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/dodge-durango-piekny-suv-najbogatsza-wersja-gt-4x4-3-6b-299km-skora-automat-7osob-ID6GkfQF.html
Dodge Durango,117900,PLN,Prywatne,Dodge,Durango,,2017,217 000 km,3 604 cm3,Benzyna,299 KM,SUV,Automatyczna,5,7,Szary,Używane,Tak,4x4 (stały),13 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/dodge-durango-mega-suv-wersja-no-chrom-gt-4x4-3-6b-299km-skora-automat-7osob-ID6Gp2cz.html
Dodge RAM 1500 5.7 4x4,84000,PLN,Prywatne,Dodge,RAM,1500 5.7 4x4,2021,65 000 km,5 654 cm3,Benzyna,390 KM,SUV,Automatyczna,4,5,Szary,Używane,Tak,4x4 (dołączany automatycznie),18 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/dodge-ram-1500-big-horn-5-7-hemi-etorque-4x4-oplacony-ID6Gp2ib.html
Dodge RAM,82900,PLN,Prywatne,Dodge,RAM,,2014,145 000 km,4 701 cm3,Benzyna+LPG,390 KM,SUV,Automatyczna,4,6,Biały,Używane,Tak,4x4 (dołączany ręcznie),18 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/dodge-ram-2014-r-lift-3-6-v6-lpg-300-km-4x4-6-miejsc-idealny-zamiana-ID6GpNcM.html
Dodge Challenger Automatik R/T Plus,125000,PLN,Prywatne,Dodge,Challenger,Automatik R/T Plus,2017,128 000 km,5 654 cm3,Benzyna,381 KM,Coupe,Automatyczna,2,4,Czarny,Używane,Tak,Na tylne koła,"21,70 l/100km",Tak,,Tak,https://www.otomoto.pl/osobowe/oferta/dodge-challenger-dodge-chellenger-5-7-hemi-ID6GjbyR.html
Dodge Challenger Automatik SXT Plus,79000,PLN,Prywatne,Dodge,Challenger,Automatik SXT Plus,2016,128 000 km,3 604 cm3,Benzyna,309 KM,Coupe,Automatyczna,2,5,Srebrny,Używane,Tak,,"14,70 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/dodge-challenger-dodge-challenger-3-6-sxt-ID6FtS7f.html
Dodge Challenger Automatik R/T Plus,96500,PLN,Prywatne,Dodge,Challenger,Automatik R/T Plus,2014,69 900 km,5 654 cm3,Benzyna,381 KM,Coupe,Automatyczna,2,,Czarny,Używane,Tak,Na tylne koła,"21,70 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/dodge-challenger-dodge-challenger-rt-5-7-hemi-v8-black-top-69-tys-km-ID6GpNdc.html
"Dodge Durango 5,7 Citadel",99000,PLN,Prywatne,Dodge,Durango,"5,7 Citadel",2015,236 000 km,5 645 cm3,Benzyna,365 KM,SUV,Automatyczna,5,6,Czarny,Używane,Tak,4x4 (stały),"25,10 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/dodge-durango-sprzedam-citadel-dodge-durango-5-7-hemi-ID6GpN4R.html
Dodge RAM,38000,PLN,Prywatne,Dodge,RAM,,2006,248 805 km,4 701 cm3,Benzyna,240 KM,SUV,Automatyczna,2,3,Biały,Używane,Tak,Na tylne koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/dodge-ram-ciezarowy-bezwypadkowy-po-wymianie-silnika-ID6GgoKl.html
Dodge RAM 1500 5.7 4x4,111000,PLN,Prywatne,Dodge,RAM,1500 5.7 4x4,2015,138 000 km,5 654 cm3,Benzyna,390 KM,SUV,Automatyczna,4,5,Czerwony,Używane,Tak,4x4 (dołączany ręcznie),18 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/dodge-ram-laramie-zamiana-4x4-dluga-kabina-okazja-ID6GciT2.html
Dodge Grand Caravan,36000,PLN,Prywatne,Dodge,Grand Caravan,,2014,224 700 km,3 605 cm3,Benzyna,283 KM,Minivan,Automatyczna,5,7,Granatowy,Używane,Tak,Na przednie koła,13 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/dodge-grand-caravan-chrysler-dvd-2-ekrany-kamera-cofania-zarejestrowany-w-polsce-ID6GcD02.html
Dodge RAM 1500 5.7 4x4,75000,PLN,Prywatne,Dodge,RAM,1500 5.7 4x4,2015,134 400 km,5 654 cm3,Benzyna,390 KM,SUV,Automatyczna,4,6,Czarny,Używane,Tak,4x4 (dołączany ręcznie),18 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/dodge-ram-bighorn-4x4-okazja-pali-jezdzi-oplacony-ID6GkezG.html
Dodge Challenger,145000,PLN,Prywatne,Dodge,Challenger,,2019,105 000 km,3 604 cm3,Benzyna+LPG,309 KM,Coupe,Automatyczna,2,5,Czarny,Używane,Tak,Na tylne koła,"14,70 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/dodge-challenger-dodge-challenger-gt-plus-black-edition-3-6-v6-benzyna-gaz-ID6FGMfj.html
Dodge RAM,159900,PLN,Prywatne,Dodge,RAM,,2019,70 000 km,5 654 cm3,Benzyna+LPG,390 KM,SUV,Automatyczna,4,3,Biały,Używane,Tak,Na tylne koła,18 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/dodge-ram-dodge-ram-5-7-2019r-pelne-odliczenie-vat-przebieg-70tyskm-lpg-ID6GmH1n.html
Dodge Challenger 5.7 R/T,76000,PLN,Prywatne,Dodge,Challenger,5.7 R/T,2010,250 000 km,5 654 cm3,Benzyna+LPG,370 KM,Coupe,Automatyczna,2,5,Pomarańczowy,Używane,Tak,Na tylne koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/dodge-challenger-ID6GlbmP.html
Dodge Grand Caravan,64500,PLN,Prywatne,Dodge,Grand Caravan,,2018,188 000 km,3 605 cm3,Benzyna,283 KM,Minivan,Automatyczna,5,7,Czarny,Używane,Tak,Na przednie koła,13 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/dodge-grand-caravan-dodge-grand-caravan-2018-sxt-faktura-vat23-stan-bardzo-dobry-ID6GpIew.html
