Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
DS Automobiles DS 5,41300,PLN,Prywatne,DS Automobiles,DS 5,,2013,232 000 km,1 997 cm3,Hybryda,198 KM,Kompakt,Automatyczna,5,5,Inny kolor,Używane,Tak,4x4 (dołączany automatycznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ds-automobiles-ds-5-stan-bardzo-dobry-ID6Gk5EP.html
DS Automobiles DS 5,59040,PLN,Prywatne,DS Automobiles,DS 5,,2016,266 000 km,1 997 cm3,Diesel,181 KM,Sedan,Automatyczna,5,5,Szary,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ds-automobiles-ds-5-cena-brutto-fv-vat-23-pelen-udokumentowany-serwis-ID6Gp0Xc.html
DS Automobiles DS 5,46740,PLN,Prywatne,DS Automobiles,DS 5,,2016,258 000 km,1 997 cm3,Diesel,181 KM,Kombi,Automatyczna,5,5,Biały,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ds-automobiles-ds-5-ds5-po-lifcie-dobry-stan-bezwypadkowy-garazowany-serwisowany-ID6GdhGf.html
DS Automobiles DS 7 Crossback 1.6 PureTech Rivoli,92900,PLN,Prywatne,DS Automobiles,DS 7 Crossback,1.6 PureTech Rivoli,2018,114 000 km,1 598 cm3,Benzyna,179 KM,SUV,Automatyczna,5,5,Inny kolor,Używane,Tak,,5 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/ds-automobiles-ds-7-crossback-wzorowy-full-led-kamera-ID6GpHoi.html
DS Automobiles DS 4 1.6 PureTech Performance Line +,118000,PLN,Prywatne,DS Automobiles,DS 4,1.6 PureTech Performance Line +,2023,3 500 km,1 598 cm3,Benzyna,224 KM,Kompakt,Automatyczna,5,5,Szary,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/ds-automobiles-ds-4-ds-automobiles-ds4-hybryda-performance-line-ID6GpHjv.html
DS Automobiles DS 4 Crossback,42900,PLN,Prywatne,DS Automobiles,DS 4 Crossback,,2016,183 000 km,1 997 cm3,Diesel,181 KM,Kompakt,Automatyczna,5,,Czarny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/ds-automobiles-ds-4-crossback-full-led-xenon-181km-automat-alcantara-super-auto-ID6Gn4LJ.html
DS Automobiles DS 7 Crossback 1.5 BlueHDi So Chic,71900,PLN,Prywatne,DS Automobiles,DS 7 Crossback,1.5 BlueHDi So Chic,2019,112 817 km,1 499 cm3,Diesel,130 KM,SUV,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ds-automobiles-ds-7-crossback-faktura-vat23-brutto-maly-przebieg-nawigacja-kamera-cofania-ID6GpDRZ.html
DS Automobiles DS 5,67900,PLN,Firma,DS Automobiles,DS 5,,2017,149 999 km,1 997 cm3,Diesel,180 KM,Kompakt,Automatyczna,5,5,Szary,Używane,,Na przednie koła,"5,10 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ds-automobiles-ds-5-limitowana-wersja-ds-performance-pierwszy-wlasciciel-serwisowany-ID6GoWMr.html
DS Automobiles DS 3,44444,PLN,Prywatne,DS Automobiles,DS 3,,2017,66 000 km,1 199 cm3,Benzyna,110 KM,Kabriolet,Manualna,3,5,Zielony,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ds-automobiles-ds-3-kabriolet-bezwypadkowy-i-wlasciciel-bogate-wyposazenie-zamiana-ID6GnWV2.html
DS Automobiles DS 7 Crossback 1.6 E-Tense Performance Line +,254900,PLN,Firma,DS Automobiles,DS 7 Crossback,1.6 E-Tense Performance Line +,2023,1 km,1 598 cm3,Hybryda Plug-in,180 KM,SUV,Automatyczna,5,5,Szary,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/ds-automobiles-ds-7-crossback-ds-7-performance-line-e-tense-300-km-4x4-ID6Gh6a4.html
DS Automobiles DS 4 Crossback,59900,PLN,Prywatne,DS Automobiles,DS 4 Crossback,,2017,67 500 km,1 598 cm3,Benzyna,165 KM,Kompakt,Automatyczna,5,5,Szary,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/ds-automobiles-ds-4-crossback-zadbany-ds4-ID6G4kXj.html
DS Automobiles DS 5,59999,PLN,Prywatne,DS Automobiles,DS 5,,2016,145 500 km,1 997 cm3,Diesel,181 KM,Kompakt,Automatyczna,5,5,Szary,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ds-automobiles-ds-5-citroen-ds5-lift-180-koni-masaze-automat-full-opcja-ID6Gk6ev.html
DS Automobiles DS 4 1.2 PureTech Trocadero,131820,PLN,Firma,DS Automobiles,DS 4,1.2 PureTech Trocadero,2023,6 400 km,1 199 cm3,Benzyna,130 KM,Kompakt,Automatyczna,5,5,Szary,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ds-automobiles-ds-4-ds-4-1-2-puretech-130-km-a-t-trocadero-ID6FPiE1.html
DS Automobiles DS 4 1.2 PureTech Trocadero,134650,PLN,Firma,DS Automobiles,DS 4,1.2 PureTech Trocadero,2023,6 400 km,1 199 cm3,Benzyna,130 KM,Kompakt,Automatyczna,5,5,Szary,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ds-automobiles-ds-4-demo-1-2-130-km-automat-trocadero-ID6FvUyw.html
