Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Ferrari California F1 DCT,485000,PLN,Prywatne,Ferrari,California,F1 DCT,2009,49 500 km,4 297 cm3,Benzyna,460 KM,Kabriolet,Automatyczna,2,2,Biały,Używane,Tak,Na tylne koła,19 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ferrari-california-ferrari-california-w-kolorze-fuji-bianco-ID6GpI5e.html
Ferrari F430 F1,620000,PLN,Prywatne,Ferrari,F430,F1,2007,52 000 km,4 308 cm3,Benzyna,490 KM,Coupe,Automatyczna,2,2,Czarny,Używane,Tak,Na tylne koła,27 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/ferrari-f430-ferrari-f430-f1-2007r-super-stan-oferta-prywatna-ID6GpADm.html
Ferrari 458 Italia Standard,148000,EUR,Prywatne,Ferrari,458 Italia,Standard,2012,19 000 km,4 499 cm3,Benzyna,570 KM,Coupe,Automatyczna,2,,Biały,Używane,Tak,Na tylne koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/ferrari-458-italia-ID6GaR7k.html
Ferrari California F1 DCT,699999,PLN,Prywatne,Ferrari,California,F1 DCT,2017,25 000 km,4 297 cm3,Benzyna,460 KM,Kabriolet,Automatyczna,2,4,Czarny,Używane,Tak,Na tylne koła,19 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/ferrari-california-ID6Gp9lu.html
Ferrari Portofino,899999,PLN,Firma,Ferrari,Portofino,,2018,49 986 km,3 855 cm3,Benzyna,600 KM,Kabriolet,Automatyczna,2,,Szary,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ferrari-portofino-salon-pl-bezwypadkowy-faktura-vat-aso-ferrari-ID6G7RkG.html
Ferrari F8 Spider 458,1995000,PLN,Prywatne,Ferrari,F8 Spider,458,2022,650 km,4 499 cm3,Benzyna,569 KM,Kabriolet,Automatyczna,2,2,Czerwony,Używane,Tak,Na tylne koła,,,,,https://www.otomoto.pl/osobowe/oferta/ferrari-f8-spider-ID6Gp5yG.html
Ferrari 458 Italia Standard,149900,EUR,Prywatne,Ferrari,458 Italia,Standard,2013,59 000 km,4 499 cm3,Benzyna,570 KM,Kabriolet,Automatyczna,2,,Czerwony,Używane,Tak,Na tylne koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/ferrari-458-italia-spider-488-corsa-rosso-ID6GndF6.html
Ferrari 512,989000,PLN,Firma,Ferrari,512,,1995,52 471 km,4 942 cm3,Benzyna,440 KM,Coupe,Manualna,2,2,Czerwony,Używane,,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ferrari-512-512tr-japonia-bezwyp-oem-fotele-carbonowe-stan-kolekcjonerski-ID6GjPbx.html
Ferrari GTC4Lusso,1125000,PLN,Firma,Ferrari,GTC4Lusso,,2018,51 800 km,6 262 cm3,Benzyna,690 KM,Coupe,Automatyczna,2,4,Srebrny,Używane,Tak,4x4 (dołączany automatycznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/ferrari-gtc4lusso-ID6Fp1Q1.html
Ferrari 458 Italia Standard,1550000,PLN,Firma,Ferrari,458 Italia,Standard,2014,55 000 km,4 499 cm3,Benzyna,569 KM,Coupe,Automatyczna,2,2,Szary,Używane,,Na tylne koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/ferrari-458-italia-najlepsza-lokata-kapitalu-ostatni-z-wolnossacych-silnikow-ID6ETfl3.html
Ferrari 812 Superfast,1499000,PLN,Firma,Ferrari,812 Superfast,,2019,9 600 km,6 496 cm3,Benzyna,795 KM,Coupe,Automatyczna,2,2,Czerwony,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/ferrari-812-superfast-fv23-2019r-ID6Gk14D.html
