Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Fiat 500,59900,PLN,Firma,Fiat,500,,2022,5 km,999 cm3,Hybryda,70 KM,Auta małe,Manualna,3,5,Szary,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-500-dolcevita-1-0-70-km-hybrid-od-reki-ID6FeRJ3.html
Fiat 500 1.0 Hybrid Dolcevita,59900,PLN,Firma,Fiat,500,1.0 Hybrid Dolcevita,2024,5 km,999 cm3,Benzyna,70 KM,Auta małe,Manualna,3,,Biały,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-500-dolcevita-1-0-70-km-hybrid-ID6G9vd1.html
Fiat 500 1.4 16V Dualogic Lounge,36800,PLN,Prywatne,Fiat,500,1.4 16V Dualogic Lounge,2017,26 884 km,1 368 cm3,Benzyna,100 KM,Auta małe,Automatyczna,3,4,Czarny,Używane,Tak,Na przednie koła,5 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/fiat-500-fiat-500-1-4-maly-przebieg-automat-ID6Gp3eM.html
Fiat Doblo 1.6 Multijet 16V Easy,63900,PLN,Firma,Fiat,Doblo,1.6 Multijet 16V Easy,2020,107 160 km,1 598 cm3,Diesel,105 KM,Minivan,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-doblo-1wl-salonpl-aso-hak-vat23-bezwypadkowy-ID6GpQyr.html
Fiat Grande Punto Gr 1.4 16V Sport,14300,PLN,Prywatne,Fiat,Grande Punto,Gr 1.4 16V Sport,2006,182 300 km,1 368 cm3,Benzyna,95 KM,Kompakt,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,6 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-grande-punto-1-4-16v-95km-sport-skory-5-drzwi-climatronic-182tys-km-stan-idealny-ID6GncXv.html
Fiat Grande Punto,11700,PLN,Prywatne,Fiat,Grande Punto,,2011,190 000 km,1 242 cm3,Benzyna,69 KM,Auta miejskie,Manualna,3,5,Biały,Używane,Tak,,,,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-grande-punto-stan-perfekcyjny-bezwypadkowy-serwisowany-z-klimatyzacja-ID6GpQkz.html
Fiat 500,37900,PLN,Prywatne,Fiat,500,,2016,71 000 km,1 242 cm3,Benzyna,69 KM,Auta małe,Manualna,3,4,Biały,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-500-1rej-2017-zobacz-opis-w-podanej-cenie-roczna-gwarancja-ID6Gg118.html
Fiat Doblo 1.6 Multijet 16V Easy,62900,PLN,Firma,Fiat,Doblo,1.6 Multijet 16V Easy,2020,133 887 km,1 598 cm3,Diesel,105 KM,Minivan,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-doblo-salonpl-1wl-bezwypadkowe-aso-hak-vat23-ID6GpQhi.html
Fiat 500L 1.4 16V Opening Edition,27900,PLN,Prywatne,Fiat,500L,1.4 16V Opening Edition,2013,106 000 km,1 368 cm3,Benzyna,95 KM,Minivan,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,"8,30 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/fiat-500l-fiat-500l-ID6GpPYi.html
Fiat Tipo 1.4 16v Lounge,51000,PLN,Prywatne,Fiat,Tipo,1.4 16v Lounge,2018,24 583 km,1 368 cm3,Benzyna,95 KM,Sedan,Manualna,5,5,Srebrny,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-tipo-pierwszy-wlasciciel-kupiony-w-polskim-salonie-bezwypadkowy-ID6Gp34i.html
Fiat 500L 1.6 Multijet Lounge S&S,36900,PLN,Prywatne,Fiat,500L,1.6 Multijet Lounge S&S,2016,165 184 km,1 598 cm3,Diesel,105 KM,Minivan,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,5 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-500l-1-6-multijet-klimatyzacja-tempomat-6-biegow-ID6GpPOV.html
Fiat Bravo 1.4 16V Multiair Easy,35000,PLN,Prywatne,Fiat,Bravo,1.4 16V Multiair Easy,2013,191 000 km,1 368 cm3,Benzyna+LPG,140 KM,Kompakt,Manualna,5,5,Brązowy,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/fiat-bravo-fiat-bravo-1-4-16v-140-km-103-kw-stan-bdb-ID6GpPxM.html
Fiat 125p,25000,PLN,Prywatne,Fiat,125p,,1991,44 000 km,1 599 cm3,Benzyna,80 KM,Auta miejskie,Manualna,4,,Czerwony,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/fiat-125p-fiat-125p-1991-ID6Gp2Vo.html
Fiat 500 1.2 8V Lounge,27900,PLN,Prywatne,Fiat,500,1.2 8V Lounge,2013,109 000 km,1 242 cm3,Benzyna,69 KM,Auta małe,Manualna,3,4,Czarny,Używane,Tak,Na przednie koła,6 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/fiat-500-salon-polska-klimatronik-benzyna-dach-panoramiczny-ID6GcHvO.html
Fiat Panda 1.0 Hybrid,47000,PLN,Prywatne,Fiat,Panda,1.0 Hybrid,2022,9 600 km,999 cm3,Benzyna,70 KM,Kompakt,Manualna,5,4,Biały,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/fiat-panda-fiat-panda-1-0-bgs-hybrid-ID6GeA4Z.html
Fiat Punto Evo 1.2 8V,27900,PLN,Prywatne,Fiat,Punto Evo,1.2 8V,2018,37 000 km,1 242 cm3,Benzyna,69 KM,Auta małe,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,"7,20 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/fiat-punto-evo-piat-punto-2018-maly-przebieg-ID6Gp2D2.html
Fiat Doblo,7600,PLN,Prywatne,Fiat,Doblo,,2006,212 200 km,1 368 cm3,Benzyna,77 KM,Minivan,Manualna,5,7,Niebieski,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/fiat-doblo-benzyna-ID6GpOal.html
