Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
GMC Savana,38900,PLN,Prywatne,GMC,Savana,,1996,198 000 km,4 998 cm3,Benzyna,280 KM,Minivan,Automatyczna,6,7,Biały,Używane,Tak,Na tylne koła,,,,,https://www.otomoto.pl/osobowe/oferta/gmc-savana-gmc-chevrolet-savana-camper-automat-klima-przebieg-198tys-ID6FHafl.html
GMC Sierra,32900,PLN,Prywatne,GMC,Sierra,,1986,185 300 km,6 200 cm3,Diesel,180 KM,SUV,Automatyczna,2,2,Szary,Używane,Tak,Na tylne koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/gmc-sierra-gmc-sierra-3500-chevrolet-c-k-hummer-jedyny-taki-6-2-v8-diesel-ID6DyHzU.html
GMC Sierra,269000,PLN,Prywatne,GMC,Sierra,,2020,41 000 km,5 300 cm3,Benzyna,355 KM,SUV,Automatyczna,4,6,Czarny,Używane,Tak,4x4 (dołączany ręcznie),8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/gmc-sierra-5-3-v8-slt-mega-opcja-pickup-dla-prawdziwych-mezczyzn-igla-ID6GsQZF.html
GMC Sierra,41500,PLN,Firma,GMC,Sierra,,2015,273 000 km,2 457 cm3,Benzyna,202 KM,SUV,Automatyczna,4,5,Czerwony,Używane,,Na tylne koła,,,,,https://www.otomoto.pl/osobowe/oferta/gmc-sierra-gmc-canyon-2-5b-202km-rwd-automat-klima-ID6GvjWv.html
GMC Sierra,60500,PLN,Firma,GMC,Sierra,,2017,263 000 km,5 300 cm3,Benzyna,355 KM,SUV,Automatyczna,4,5,Biały,Używane,,4x4 (dołączany automatycznie),,,,,https://www.otomoto.pl/osobowe/oferta/gmc-sierra-5-3-v8-355km-klima-4x4-2017rok-ID6Gx42u.html
GMC Safari,37700,PLN,Prywatne,GMC,Safari,,1987,140 000 km,4 300 cm3,Benzyna,160 KM,Minivan,Automatyczna,5,7,Granatowy,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/gmc-safari-gmc-safari-1987-zabytek-oryginal-vanlife-ID6GraIV.html
GMC Sierra,269000,PLN,Firma,GMC,Sierra,,2020,67 000 km,3 000 cm3,Diesel,277 KM,SUV,Automatyczna,5,5,Szary,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/gmc-sierra-denali-3-0-duramax-diesel-4x4-bezwypadkowy-ID6GivFP.html
GMC Sierra,185000,PLN,Prywatne,GMC,Sierra,,2018,66 000 km,5 300 cm3,Benzyna,400 KM,SUV,Automatyczna,4,5,Bordowy,Używane,Tak,,,Tak,Tak,Tak,https://www.otomoto.pl/osobowe/oferta/gmc-sierra-maly-przebieg-ID6G6huX.html
GMC Sierra,69000,PLN,Firma,GMC,Sierra,,2016,85 158 km,,Benzyna,,SUV,Automatyczna,4,5,Srebrny,Używane,,4x4 (dołączany ręcznie),,,,,https://www.otomoto.pl/osobowe/oferta/gmc-sierra-gmc-sierra-2016-benzyna-4x4-automat-ID6GvMao.html
GMC Acadia,119000,PLN,Firma,GMC,Acadia,,2022,28 850 km,2 000 cm3,Benzyna,228 KM,SUV,Automatyczna,4,5,Czarny,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/gmc-acadia-2022-2-0l-denali-po-gradobiciu-ID6GxSW4.html
GMC Sierra,263000,PLN,Prywatne,GMC,Sierra,,2020,77 000 km,2 998 cm3,Diesel,277 KM,SUV,Automatyczna,4,5,Czarny,Używane,Tak,4x4 (dołączany ręcznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/gmc-sierra-pickup-gmc-sierra-slt-diesel-ram-ID6Gv4tJ.html
