Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Honda CR-V 1.5 Lifestyle (Honda Connect+) CVT,109000,PLN,Prywatne,Honda,CR-V,1.5 Lifestyle (Honda Connect+) CVT,2019,79 000 km,1 498 cm3,Benzyna,193 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,4x4 (dołączany automatycznie),8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-4x4-193-km-i-wl-salon-pl-79-tys-km-fabrycznie-nowa-faktura-vat-23-ID6G9sKN.html
Honda Accord 2.0 Comfort,9500,PLN,Prywatne,Honda,Accord,2.0 Comfort,2005,381 600 km,1 998 cm3,Benzyna,155 KM,Kombi,Manualna,5,5,Zielony,Używane,Tak,Na przednie koła,10 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/honda-accord-honda-accord-kombi-ID6Gp3aj.html
Honda CR-V 2.0 Comfort,48000,PLN,Prywatne,Honda,CR-V,2.0 Comfort,2012,258 128 km,1 997 cm3,Benzyna,150 KM,SUV,Manualna,5,5,Brązowy,Używane,Tak,4x4 (dołączany automatycznie),10 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-honda-cr-v-2012-ID6GaxMG.html
Honda CR-V 2.0 Executive,19500,PLN,Prywatne,Honda,CR-V,2.0 Executive,2003,236 000 km,1 998 cm3,Benzyna+LPG,150 KM,SUV,Manualna,5,5,Srebrny,Używane,Tak,4x4 (dołączany automatycznie),11 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-lpg-zadbany-hak-4x4-ID6GpPKk.html
Honda Jazz,8600,PLN,Prywatne,Honda,Jazz,,2005,276 000 km,1 339 cm3,Benzyna+LPG,83 KM,Kompakt,Manualna,5,5,Niebieski,Używane,Tak,,,Tak,,,https://www.otomoto.pl/osobowe/oferta/honda-jazz-honda-jazz-klimatronic-gaz-1-4-ID6FK0AL.html
Honda Civic 1.5 T Sport Plus (Navi),95200,PLN,Prywatne,Honda,Civic,1.5 T Sport Plus (Navi),2018,100 731 km,1 498 cm3,Benzyna,182 KM,Kompakt,Automatyczna,5,5,Szary,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/honda-civic-civic-x-1-5-sport-plus-hb-f-vat-23-salon-polska-automat-cvt-ID6GpPaQ.html
Honda CR-V 2.0 Comfort,32700,PLN,Prywatne,Honda,CR-V,2.0 Comfort,2011,190 000 km,1 997 cm3,Benzyna,150 KM,SUV,Manualna,5,,Czarny,Używane,Tak,,10 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-polift-serwisowany-ID6G3gn9.html
Honda CR-V 1.6i-DTEC Lifestyle (2WD),59900,PLN,Prywatne,Honda,CR-V,1.6i-DTEC Lifestyle (2WD),2013,147 000 km,1 597 cm3,Diesel,120 KM,SUV,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,4 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-honda-crv-iv-1-6-i-dtec-lifestyle-ID6GkxrX.html
Honda CR-V,17900,PLN,Prywatne,Honda,CR-V,,2002,274 248 km,1 998 cm3,Benzyna,150 KM,SUV,Manualna,5,5,Srebrny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ladny-stan-potwierdzony-przebieg-4x4-ID6GaiEn.html
Honda CR-V 2.2i-CTDi Executive,38000,PLN,Prywatne,Honda,CR-V,2.2i-CTDi Executive,2008,91 500 km,2 204 cm3,Diesel,140 KM,SUV,Manualna,5,5,Granatowy,Używane,Tak,4x4 (dołączany automatycznie),8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-niski-przebieg-bogate-wyposazenie-od-nowosci-w-rodzinie-ID6GpOFX.html
Honda Accord 2.4 Executive,47900,PLN,Firma,Honda,Accord,2.4 Executive,2009,219 794 km,2 354 cm3,Benzyna,201 KM,Sedan,Automatyczna,4,5,Szary,Używane,Tak,Na przednie koła,12 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/honda-accord-2-4xenonszyberdachskorzana-tapicerkaauxusb-ID6GlkiE.html
Honda CR-V 2.0 Comfort (2WD),66500,PLN,Prywatne,Honda,CR-V,2.0 Comfort (2WD),2014,109 000 km,1 997 cm3,Benzyna+LPG,155 KM,SUV,Manualna,5,5,Brązowy,Używane,Tak,Na przednie koła,8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-honda-cr-v-2014-2-0-benzyna-z-gazem-gotowy-do-jazdy-ID6GjRCG.html
Honda Accord 2.0 Comfort,13000,PLN,Prywatne,Honda,Accord,2.0 Comfort,2004,196 600 km,1 998 cm3,Benzyna,155 KM,Kombi,Manualna,5,5,Szary,Używane,,,10 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/honda-accord-honda-accord-vii-tourer-2004-2-0-benzyna-manual-comfort-ID6Gp2zY.html
Honda Civic 1.5 i-VTEC Turbo Sport Plus,73900,PLN,Prywatne,Honda,Civic,1.5 i-VTEC Turbo Sport Plus,2018,133 123 km,1 498 cm3,Benzyna,182 KM,Kompakt,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,"7,10 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/honda-civic-promocja-piekna-sport-plus-navi-ID6GdpoJ.html
Honda CR-V,61900,PLN,Firma,Honda,CR-V,,2012,129 558 km,1 997 cm3,Benzyna,150 KM,SUV,Manualna,5,5,Czarny,Używane,,4x4 (dołączany automatycznie),8 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-2-0-benzyna-150km-4x4-z-niemiec-bogata-jak-nowa-ID6GmDHE.html
Honda HR-V 1.5 i-MMD Advance CVT,152000,PLN,Firma,Honda,HR-V,1.5 i-MMD Advance CVT,2024,1 km,1 498 cm3,Benzyna,107 KM,SUV,Automatyczna,5,5,Beżowy,Nowe,,Na przednie koła,3 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/honda-hr-v-1-5-i-mmd-advance-cvt-od-reki-ID6GprHe.html
Honda CR-V,62700,PLN,Firma,Honda,CR-V,,2012,82 324 km,1 997 cm3,Benzyna,150 KM,SUV,Manualna,5,5,Brązowy,Używane,,4x4 (dołączany automatycznie),8 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-2-0-benzyna-150km-4x4-z-niemiec-bogata-jak-nowa-ID6GlL9z.html
Honda Accord 2.0 Elegance Nav,25900,PLN,Prywatne,Honda,Accord,2.0 Elegance Nav,2010,332 270 km,1 997 cm3,Benzyna+LPG,156 KM,Sedan,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,9 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/honda-accord-156km-salon-polska-i-wlasciciel-lpg-rok-produkcji-2010-ID6GapJz.html
