Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Hummer H3,83900,PLN,Prywatne,Hummer,H3,,2008,123 000 km,3 653 cm3,Benzyna,245 KM,SUV,Automatyczna,5,5,Szary,Używane,Tak,4x4 (stały),,Tak,,,https://www.otomoto.pl/osobowe/oferta/hummer-h3-zjawiskowy-hummer-h3-ID6GxK7r.html
Hummer H3,73900,PLN,Prywatne,Hummer,H3,,2009,99 000 km,3 653 cm3,Benzyna,245 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,,,Tak,,,https://www.otomoto.pl/osobowe/oferta/hummer-h3-sliczny-hummer-h3-ID6Gxlyz.html
Hummer H1,128000,PLN,Prywatne,Hummer,H1,,1990,5 356 km,6 198 cm3,Diesel,150 KM,SUV,Automatyczna,5,,Beżowy,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/hummer-h1-hummer-humvee-ID6FiZex.html
Hummer H1,235000,PLN,Prywatne,Hummer,H1,,1985,99 999 km,6 200 cm3,Diesel,130 KM,Kabriolet,Automatyczna,4,,Czarny,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/hummer-h1-hmmwv-hummer-h1-ID6FMiND.html
Hummer H1,598000,PLN,Firma,Hummer,H1,,1997,42 500 km,6 500 cm3,Diesel,195 KM,SUV,Automatyczna,5,4,Biały,Używane,Tak,4x4 (dołączany ręcznie),,Tak,Tak,Tak,https://www.otomoto.pl/osobowe/oferta/hummer-h1-hummer-h1-6-5-turbo-diesel-oryginalny-cywilny-stan-kolekcjonerski-ID6GbtSB.html
Hummer H3,89900,PLN,Prywatne,Hummer,H3,,2008,218 177 km,3 653 cm3,Benzyna,245 KM,SUV,Automatyczna,5,5,Niebieski,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/hummer-h3-hummer-h3-pierwszy-wlasciciel-od-nowosci-ID6GwpvA.html
Hummer H3,52500,PLN,Prywatne,Hummer,H3,,2007,141 000 km,3 653 cm3,Benzyna,245 KM,SUV,Automatyczna,5,5,Granatowy,Używane,Tak,4x4 (stały),,,,,https://www.otomoto.pl/osobowe/oferta/hummer-h3-pierwszy-wlasciciel-w-polsce-stan-bdb-ID6Gvnhx.html
Hummer H2,67950,PLN,Firma,Hummer,H2,,2006,406 950 km,5 967 cm3,Benzyna,325 KM,SUV,Manualna,5,7,Szary,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/hummer-h2-6-0-v8-325km-kamery-bdb-wyposazony-bdb-opony-rej-pl-ID6G1byT.html
Hummer H1,550000,PLN,Prywatne,Hummer,H1,,2004,104 000 km,6 500 cm3,Diesel,310 KM,SUV,Automatyczna,5,6,Czarny,Używane,,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/hummer-h1-ID6Eh4Cz.html
Hummer H2 6.0 V8,119900,PLN,Prywatne,Hummer,H2,6.0 V8,2005,210 000 km,5 967 cm3,Benzyna+LPG,325 KM,SUV,Automatyczna,5,,Czarny,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/hummer-h2-stan-bardzo-dobry-ID6G2QZS.html
Hummer H3,65000,PLN,Firma,Hummer,H3,,2007,142 392 km,3 653 cm3,Benzyna,245 KM,SUV,Automatyczna,5,5,Żółty,Używane,,4x4 (stały),18 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/hummer-h3-3-7l-awd-automat-ID6GuaH7.html
Hummer H3 Alpha,142000,PLN,Firma,Hummer,H3,Alpha,2009,192 434 km,5 328 cm3,Benzyna,305 KM,SUV,Automatyczna,5,,Czerwony,Używane,,4x4 (stały),,Tak,,Tak,https://www.otomoto.pl/osobowe/oferta/hummer-h3-h3t-alpha-adventure-package-unikat-ID6G16cD.html
