Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Hyundai Tucson 1.6 T-GDI Comfort 4WD,62900,PLN,Firma,Hyundai,Tucson,1.6 T-GDI Comfort 4WD,2015,166 109 km,1 591 cm3,Benzyna,177 KM,SUV,Manualna,5,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),10 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/hyundai-tucson-dealer-k-a-r-l-i-k-hyundai-tucson-1-6-t-gdi-177km-comfort-4wd-ID6GgRaL.html
Hyundai i10 1.0 BlueDrive Comfort,16999,PLN,Prywatne,Hyundai,i10,1.0 BlueDrive Comfort,2013,124 000 km,998 cm3,Benzyna,66 KM,Auta małe,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,6 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/hyundai-i10-salon-polska-ID6Gp3gi.html
Hyundai i40 1.7 CRDi BlueDrive Premium DCT,35999,PLN,Prywatne,Hyundai,i40,1.7 CRDi BlueDrive Premium DCT,2015,201 000 km,1 685 cm3,Diesel,141 KM,Kombi,Automatyczna,5,5,Czarny,Używane,Tak,Na przednie koła,5 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/hyundai-i40-hyundai-i40-dct-premium-bezwypadkowy-pelne-aso-ID6Gp3eJ.html
Hyundai Tucson blue 1.6 CRDi 2WD Advantage+,87900,PLN,Prywatne,Hyundai,Tucson,blue 1.6 CRDi 2WD Advantage+,2018,54 800 km,1 598 cm3,Diesel,136 KM,SUV,Manualna,5,5,Srebrny,Używane,Tak,Na przednie koła,"5,30 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/hyundai-tucson-1-6-crdi-136km-2018r-bogate-wyposazenie-niski-przebieg-navi-blind-ID6Gphhr.html
Hyundai Elantra 1.6 Smart CVT,116103,PLN,Firma,Hyundai,Elantra,1.6 Smart CVT,2024,1 km,1 598 cm3,Benzyna,123 KM,Sedan,Automatyczna,4,5,Niebieski,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/hyundai-elantra-1-6-123-km-smart-cvt-od-reki-ID6GkE0O.html
Hyundai I30 1.5 DPI Smart,78500,PLN,Firma,Hyundai,I30,1.5 DPI Smart,2022,6 000 km,1 498 cm3,Benzyna,110 KM,Kompakt,Manualna,5,5,Niebieski,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/hyundai-i30-pierwszy-wlasciciel-serwisowany-aso-minimalny-przebieg-gwarancja-ID6GpPtH.html
Hyundai I30 1.5 DPI Classic +,69800,PLN,Firma,Hyundai,I30,1.5 DPI Classic +,2022,21 737 km,1 498 cm3,Benzyna,110 KM,Kombi,Manualna,5,5,Szary,Używane,,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/hyundai-i30-i30-sw-1-5dpi-110km-classic-drive-06-2022-56748-vat-ID6GpPSi.html
Hyundai I30 1.0 T-GDI Style,52900,PLN,Prywatne,Hyundai,I30,1.0 T-GDI Style,2017,93 000 km,998 cm3,Benzyna,120 KM,Kompakt,Manualna,5,5,Niebieski,Używane,Tak,Na przednie koła,5 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/hyundai-i30-salon-polska-pelna-opcja-ID6Gp39x.html
Hyundai I30 1.4 blue Classic,20400,PLN,Prywatne,Hyundai,I30,1.4 blue Classic,2010,137 102 km,1 396 cm3,Benzyna,109 KM,Kombi,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,"6,90 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/hyundai-i30-samochod-w-bardzo-dobrym-stanie-doinwestowany-godny-uwagi-ID6Gp37p.html
Hyundai I30 i30cw 1.4 Style,34990,PLN,Prywatne,Hyundai,I30,i30cw 1.4 Style,2014,156 000 km,1 396 cm3,Benzyna,99 KM,Kombi,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,"8,80 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/hyundai-i30-tylko-156000km-serwisowany-bezwypadkowy-gwarancja-vip-gwarant-ID6Gljl4.html
Hyundai I30 1.6 CRDi BlueDrive Classic,27500,PLN,Prywatne,Hyundai,I30,1.6 CRDi BlueDrive Classic,2016,279 100 km,1 582 cm3,Diesel,110 KM,Kombi,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,4 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/hyundai-i30-hyundai-i30-1-6-gdh-salon-polska-fv-23-ID6GpPNC.html
Hyundai i20 1.2 Modern,66900,PLN,Firma,Hyundai,i20,1.2 Modern,2022,23 948 km,1 197 cm3,Benzyna,84 KM,Kompakt,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/hyundai-i20-1-2-modern-pakiet-zima-kamera-cofania-bezwypadkowy-salon-polska-ID6GpPOE.html
Hyundai I30,29889,PLN,Firma,Hyundai,I30,,2017,362 101 km,1 582 cm3,Diesel,110 KM,Kompakt,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,4 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/hyundai-i30-13749-polski-salon-serwisowany-tempomat-110-km-1-6-d-fv-23-ID6Gn42D.html
Hyundai Tucson 1.6 GDI BlueDrive Comfort 2WD,67500,PLN,Prywatne,Hyundai,Tucson,1.6 GDI BlueDrive Comfort 2WD,2015,66 000 km,1 591 cm3,Benzyna,132 KM,SUV,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,7 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/hyundai-tucson-hyundai-tucson-pierwszy-wlasciciel-salon-polska-cena-brutto-faktura-ID6Gp2Wv.html
Hyundai Kona,35500,PLN,Prywatne,Hyundai,Kona,,2020,35 280 km,998 cm3,Benzyna,120 KM,SUV,Manualna,5,,Biały,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/hyundai-kona-35-tys-km-ID6GpPJ4.html
Hyundai I30 1.4 Comfort,32000,PLN,Prywatne,Hyundai,I30,1.4 Comfort,2014,170 000 km,1 396 cm3,Benzyna,100 KM,Kombi,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,8 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/hyundai-i30-6-biegow-ledy-ID6GpPIa.html
Hyundai ix35 2.0 CRDi Classic 2WD,33500,PLN,Prywatne,Hyundai,ix35,2.0 CRDi Classic 2WD,2011,275 472 km,1 995 cm3,Diesel,136 KM,SUV,Manualna,5,5,Beżowy,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/hyundai-ix35-hyundai-ix35-2-0-crdi-2wd-system-start-stop-ID6Gp2M9.html
Hyundai i20 1.2 Classic Plus,35999,PLN,Prywatne,Hyundai,i20,1.2 Classic Plus,2017,114 390 km,1 248 cm3,Benzyna,75 KM,Kompakt,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,6 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/hyundai-i20-hyundai-i20-klima-8-kol-biala-zadbany-godna-uwag-8-kol-ID6Fy0qn.html
Hyundai i20 1.0 T-GDi Modern,79464,PLN,Firma,Hyundai,i20,1.0 T-GDi Modern,2023,1 km,998 cm3,Benzyna,100 KM,Auta miejskie,Manualna,5,5,Inny kolor,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/hyundai-i20-1-0-t-gdi-modern-od-reki-ID6GkGRK.html
