Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Inny Inny,105000,PLN,Prywatne,Inny,Inny,,2021,1 400 km,899 cm3,Benzyna,20 KM,Auta małe,Automatyczna,2,2,Szary,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/canam-maverick-x3-2021-1400km-ID6Ge5O6.html
Inny Inny,13900,PLN,Prywatne,Inny,Inny,,2020,262 km,,Elektryczny,3 KM,Auta małe,Automatyczna,2,,Niebieski,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/stormborn-x8-ID6GxHN8.html
Inny Inny,26000,PLN,Firma,Inny,Inny,,1975,54 000 km,1 100 cm3,Benzyna,33 KM,Auta małe,Automatyczna,2,,Żółty,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/daf-66-super-luxe-1975-unikalny-ID6Gi7a9.html
Inny Inny,28000,PLN,Prywatne,Inny,Inny,,1928,99 999 km,1 500 cm3,Benzyna,40 KM,Kompakt,Manualna,4,,Czarny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/lanchester-oryginalny-stan-ID6FHBhT.html
Inny Inny,2950,PLN,Firma,Inny,Inny,,1999,365 400 km,1 900 cm3,Diesel,110 KM,Kombi,Manualna,5,5,Inny kolor,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/vw-passat-ID6Gy4YH.html
Inny Inny,27999,PLN,Firma,Inny,Inny,,2020,8 309 km,1 499 cm3,Benzyna,115 KM,SUV,Manualna,5,5,Biały,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/cherry-tiggo-4-1-5i-115km-klima-navi-kamera-pdc-ID6Gy33o.html
Inny Inny,220000,PLN,Firma,Inny,Inny,,2010,44 500 km,2 000 cm3,Benzyna,300 KM,Kabriolet,Manualna,2,,Pomarańczowy,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/ariel-atom-iii-2010r-z-silnikiem-2-0l-300km-ID6FUCsj.html
Inny Inny,49900,PLN,Prywatne,Inny,Inny,,1965,83 422 km,5 400 cm3,Benzyna,255 KM,Sedan,Automatyczna,4,4,Zielony,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/ika-rambler-ambassador-990-kompletny-super-stan-nowy-lakier-klasyk-ID6DvUJi.html
Inny Inny,46125,PLN,Prywatne,Inny,Inny,,2022,8 500 km,,Elektryczny,20 KM,Auta miejskie,Automatyczna,3,,Żółty,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/xev-yoyo-elektryczny-microcar-na-kat-b1-od-16-lat-ID6Gkz1Q.html
Inny Inny,12500,PLN,Prywatne,Inny,Inny,,2002,43 400 km,599 cm3,Benzyna,120 KM,Coupe,Manualna,2,2,Czerwony,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/r6-ID6Gwoxa.html
Inny Inny,55999,PLN,Firma,Inny,Inny,,2023,3 500 km,,Elektryczny,15 KM,Auta małe,Automatyczna,2,2,Szary,Używane,,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/xev-yoyo-od-16lat-kategoria-b1-klimatyzacja-ledy-bluetooth-vat23-ID6GxXsr.html
Inny Inny,69999,PLN,Firma,Inny,Inny,,2023,10 km,,Elektryczny,15 KM,Auta małe,Automatyczna,2,2,Beżowy,Nowe,,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/xev-yoyo-kategoria-b1-nowy-klimatyzacja-ledy-bluetooth-vat23-ID6GvPhS.html
Inny Inny,29000,PLN,Prywatne,Inny,Inny,,2013,2 000 km,2 600 cm3,Benzyna,150 KM,Coupe,Manualna,2,2,Czarny,Używane,Tak,Na tylne koła,,Tak,Tak,Tak,https://www.otomoto.pl/osobowe/oferta/buggy-v6-sam-zarejestrowany-150km-2013r-ID6GvacU.html
Inny Inny,15000,PLN,Prywatne,Inny,Inny,,2015,7 500 km,,Elektryczny,35 KM,Auta małe,Automatyczna,3,,Biały,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/bluecar-ID6GnSWR.html
Inny Inny,70000,PLN,Prywatne,Inny,Inny,,2023,6 000 km,,Elektryczny,150 KM,Auta małe,Automatyczna,2,2,Inny kolor,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/xev-yoyo-elektryczny-idealny-stan-b1-ID6GvI5d.html
Inny Inny,29999,PLN,Firma,Inny,Inny,,2021,1 km,,Elektryczny,4 KM,Auta małe,Automatyczna,2,2,Biały,Nowe,,Na tylne koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/samochod-osobowy-ID6FWnCp.html
Inny Inny,34900,PLN,Prywatne,Inny,Inny,,2001,121 000 km,2 400 cm3,Diesel,86 KM,Minivan,Manualna,4,6,Czerwony,Używane,Tak,Na przednie koła,,Tak,Tak,Tak,https://www.otomoto.pl/osobowe/oferta/fs-lublin-35-na-zlombol-wyprawowy-andoria-dlugi-long-na-rajdy-ID6Gw5R5.html
Inny Inny,8900,PLN,Prywatne,Inny,Inny,,1980,79 000 km,1 118 cm3,Benzyna,58 KM,Sedan,Manualna,5,,Beżowy,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/talbot-simca-1100-ID6GiPiG.html
Inny Inny,9500,PLN,Prywatne,Inny,Inny,,2007,187 000 km,1 997 cm3,Benzyna+LPG,114 KM,SUV,Manualna,5,4,Inny kolor,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/sprzedam-landwind-ID6GxHdA.html
Inny Inny,99900,PLN,Firma,Inny,Inny,,1986,52 042 km,2 443 cm3,Diesel,116 KM,Minivan,Manualna,3,5,Srebrny,Używane,,Na tylne koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/vixen-21-td-by-bmw-unikat-jedyny-dostepny-2-z-linii-produkcyjnej-ID6G1rME.html
Inny Inny,17900,PLN,Firma,Inny,Inny,,2021,1 000 km,,Elektryczny,10 KM,Auta małe,Automatyczna,2,,Granatowy,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/fulu-kitty-10km-full-elektric-ID6FXMFJ.html
Inny Inny,4750,PLN,Firma,Inny,Inny,,2005,275 400 km,1 900 cm3,Diesel,11 KM,Kombi,Manualna,5,5,Inny kolor,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/fiat-croma-ID6GveJR.html
Inny Inny,53000,PLN,Prywatne,Inny,Inny,,2019,6 050 km,,Elektryczny,15 KM,Auta małe,Automatyczna,2,2,Czarny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/zhidou-l-7-e-kat-b-1-ID6GwSSo.html
Inny Inny,19900,PLN,Prywatne,Inny,Inny,,1900,1 km,,Elektryczny,1 KM,Auta małe,Manualna,2,,Zielony,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/melex-ezgo-4-osobowy-super-stan-ID6Gves4.html
Inny Inny,23000,PLN,Prywatne,Inny,Inny,,2011,10 000 km,,Elektryczny,20 KM,Auta małe,Automatyczna,2,2,Biały,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/simplycity-melex-pojazd-elektryczny-nowe-akumulatory-ID6G59QA.html
Inny Inny,649999,PLN,Prywatne,Inny,Inny,,1932,50 km,5 000 cm3,Benzyna,265 KM,Coupe,Automatyczna,2,2,Czerwony,Używane,Tak,,,,Tak,,https://www.otomoto.pl/osobowe/oferta/gatsby-duesenberg-5-0-v8-ford-kabrio-stan-kolekcjonerski-ID6GuuAU.html
Inny Inny,189998,PLN,Firma,Inny,Inny,,2024,1 km,,Elektryczny,184 KM,Kompakt,Automatyczna,5,5,Żółty,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/nowa-marka-w-polsce-elaris-model-lenn-ID6G8r6y.html
Inny Inny,8900,PLN,Firma,Inny,Inny,,1998,1 900 km,500 cm3,Benzyna,20 KM,Kabriolet,Automatyczna,2,,Biały,Używane,,,,,Tak,,https://www.otomoto.pl/osobowe/oferta/sanyo-melex-wozek-golfowy-spalinowy-automat-ID6Guzvf.html
Inny Inny,79900,PLN,Firma,Inny,Inny,,1947,60 917 km,2 800 cm3,Benzyna,80 KM,Coupe,Manualna,2,,Beżowy,Używane,,,,,Tak,,https://www.otomoto.pl/osobowe/oferta/studebaker-champion-business-coupe-2-8-jedyny-taki-w-eu-ID6G18hL.html
Inny Inny,69900,PLN,Prywatne,Inny,Inny,,1937,42 000 km,1 600 cm3,Benzyna,44 KM,Minivan,Manualna,2,,Bordowy,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/okazja-berliet-944-vipr9-z-1937-roku-ID6Guyca.html
Inny Inny,185000,PLN,Prywatne,Inny,Inny,,1913,26 000 km,3 019 cm3,Benzyna,25 KM,Kabriolet,Manualna,4,,Czarny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/studebaker-sa25-z-1913-roku-po-kompletnej-renowacji-ID6Guybn.html
Inny Inny,450000,PLN,Prywatne,Inny,Inny,,2008,25 936 km,6 800 cm3,Benzyna+LPG,361 KM,SUV,Automatyczna,2,4,Inny kolor,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/samochod-kempingowy-z-rozsuwanymi-scianami-wyjatkowy-ID6GwJxY.html
Inny Inny,45508,PLN,Firma,Inny,Inny,,2023,1 km,,Elektryczny,8 KM,Auta małe,Automatyczna,5,4,Biały,Nowe,,Na tylne koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/jinpeng-amy-fabrycznie-nowy-samochod-z-gwarancja-100-elektryczny-ID6Gayk1.html
Inny Inny,330000,PLN,Firma,Inny,Inny,,2024,100 km,,Elektryczny,374 KM,Sedan,Automatyczna,5,,Niebieski,Nowe,,,,,Tak,,https://www.otomoto.pl/osobowe/oferta/xiaomi-su7-elektryczny-ID6GoYAl.html
Inny Inny,25900,PLN,Prywatne,Inny,Inny,,2014,12 400 km,,Elektryczny,20 KM,Auta miejskie,Automatyczna,3,2,Biały,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/crub-c-zen-prawdopodobnie-jedyny-w-polsce-ID6Gxj2S.html
Inny Inny,128000,PLN,Prywatne,Inny,Inny,,1951,80 000 km,2 522 cm3,Benzyna,71 KM,Kompakt,Automatyczna,4,4,Inny kolor,Używane,Tak,Na tylne koła,,,,,https://www.otomoto.pl/osobowe/oferta/daimler-db-18-consort-ID6EIUDj.html
Inny Inny,34000,PLN,Prywatne,Inny,Inny,,2016,21 000 km,,Elektryczny,10 KM,Auta miejskie,Automatyczna,2,,Biały,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/goupil-elektryk-2016-rok-ID6Gun9u.html
Inny Inny,4950,PLN,Firma,Inny,Inny,,1998,198 400 km,1 900 cm3,Diesel,90 KM,Kompakt,Manualna,2,5,Inny kolor,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/vw-new-beetle-ID6GxaY2.html
Inny Inny,21000,PLN,Prywatne,Inny,Inny,,1938,10 000 km,400 cm3,Benzyna,12 KM,Auta małe,Manualna,2,,Zielony,Używane,Tak,,,,Tak,,https://www.otomoto.pl/osobowe/oferta/sprawny-zabytek-tempo-a400-rocznik-1938-ID6Gp9Fw.html
Inny Inny,3350,PLN,Firma,Inny,Inny,,1998,315 100 km,1 500 cm3,Diesel,11 KM,Kompakt,Manualna,5,5,Inny kolor,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/renault-megan-ID6GwMU7.html
Inny Inny,11900,PLN,Firma,Inny,Inny,,2010,81 377 km,,Elektryczny,46 KM,Auta małe,Automatyczna,3,2,Inny kolor,Używane,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/think-city-81-tys-km-przebiegu-prezentacja-video-ID6Gx7OH.html
Inny Inny,55000,PLN,Prywatne,Inny,Inny,,2000,13 000 km,1 598 cm3,Benzyna,78 KM,Kabriolet,Manualna,4,5,Inny kolor,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/nestor-baron-replika-alfy-romeo-z-lat-30-okazja-zamiana-ID6GoWf3.html
Inny Inny,273058,PLN,Prywatne,Inny,Inny,,2020,200 km,5 210 cm3,Benzyna,250 KM,SUV,Manualna,2,2,Złoty,Używane,Tak,4x4 (stały),,Tak,Tak,Tak,https://www.otomoto.pl/osobowe/oferta/omm-4x4-off-road-5-2-l-v8-jak-nowy-zarejestrowany-ID6FXE3C.html
Inny Inny,2550,PLN,Firma,Inny,Inny,,2002,215 400 km,1 200 cm3,Benzyna,11 KM,Auta małe,Manualna,5,,Inny kolor,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/opel-corsa-ID6GvNxE.html
Inny Inny,200000,PLN,Firma,Inny,Inny,,2024,10 km,1 499 cm3,Benzyna,100 KM,Minivan,Manualna,5,5,Inny kolor,Nowe,,Na przednie koła,6 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/dostepne-od-reki-samochody-dla-osob-niepelnosprawnych-kamuko-ID6GlvGJ.html
