Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Isuzu D-Max 1.9 DC LSX,107994,PLN,Prywatne,Isuzu,D-Max,1.9 DC LSX,2017,65 322 km,1 898 cm3,Diesel,163 KM,SUV,Automatyczna,4,5,Biały,Używane,Tak,4x4 (dołączany ręcznie),8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-87-800-55-23-vat-cesja-leasingu-bezwypadkowy-najbogatsza-wersja-ID6GdVfN.html
Isuzu D-Max,194942,PLN,Firma,Isuzu,D-Max,,2023,1 km,1 989 cm3,Diesel,163 KM,SUV,Automatyczna,5,5,Biały,Nowe,,4x4 (dołączany ręcznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-isuzu-d-max-1-9-lse-at-ID6GkKdj.html
Isuzu D-Max,98900,PLN,Prywatne,Isuzu,D-Max,,2017,119 000 km,2 499 cm3,Diesel,163 KM,SUV,Automatyczna,4,5,Biały,Używane,,4x4 (dołączany ręcznie),10 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-salon-pl-lift-fv-23-brutto-full-opcja-lsx-automat-1-wlasciciel-ID6Gpeg7.html
Isuzu D-Max 1.9 DC LSE,150999,PLN,Firma,Isuzu,D-Max,1.9 DC LSE,2023,1 km,1 898 cm3,Diesel,163 KM,SUV,Automatyczna,4,5,Niebieski,Nowe,,4x4 (dołączany automatycznie),8 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-d-max-lse-at-nowy-rok-2023-dostepny-od-reki-cena-netto-ID6Gimdg.html
Isuzu D-Max 4x4 Double Cab Autm Premium,45500,PLN,Firma,Isuzu,D-Max,4x4 Double Cab Autm Premium,2014,290 000 km,2 499 cm3,Diesel,163 KM,SUV,Automatyczna,4,5,Biały,Używane,,4x4 (dołączany ręcznie),"10,10 l/100km",,Tak,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-2-5-twin-turbonavikameraskoryhard-topfull-opcja-ID6Gp6VS.html
Isuzu D-Max 3.0d DC Custom,54900,PLN,Prywatne,Isuzu,D-Max,3.0d DC Custom,2012,233 400 km,2 999 cm3,Diesel,163 KM,SUV,Manualna,4,4,Biały,Używane,Tak,4x4 (dołączany ręcznie),,,,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-3-0tdi-163km-4x4-igla-zarejstrowany-serwis-ID6GjFDL.html
Isuzu D-Max 2.5 DC LS,36900,PLN,Prywatne,Isuzu,D-Max,2.5 DC LS,2015,82 000 km,2 499 cm3,Diesel,163 KM,SUV,Manualna,4,5,Biały,Używane,Tak,4x4 (dołączany ręcznie),8 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-isuzu-d-max-2-5-td-163-km-uszkodzony-silnik-ID6Gk6HA.html
Isuzu D-Max,184990,PLN,Firma,Isuzu,D-Max,,2024,1 km,1 898 cm3,Diesel,163 KM,SUV,Automatyczna,5,5,Srebrny,Nowe,,4x4 (dołączany ręcznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-ls-automat-2024r-ID6GmeN0.html
Isuzu D-Max,209990,PLN,Firma,Isuzu,D-Max,,2024,1 km,1 898 cm3,Diesel,163 KM,SUV,Automatyczna,5,5,Czarny,Nowe,,4x4 (dołączany ręcznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-lse-2024r-ID6GmeL7.html
Isuzu D-Max,209990,PLN,Firma,Isuzu,D-Max,,2024,1 km,1 898 cm3,Diesel,163 KM,SUV,Automatyczna,5,5,Czerwony,Nowe,,4x4 (dołączany ręcznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-lse-2024r-ID6GmeKd.html
Isuzu D-Max 1.9 DC LSE,198153,PLN,Firma,Isuzu,D-Max,1.9 DC LSE,2023,5 km,1 898 cm3,Diesel,163 KM,SUV,Automatyczna,4,5,Srebrny,Nowe,,4x4 (dołączany automatycznie),8 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-wyprzedaz-rocznika-2023-lse-automat-ID6Gdc0w.html
Isuzu D-Max 4x4 Double Cab Custom,48900,PLN,Firma,Isuzu,D-Max,4x4 Double Cab Custom,2007,256 000 km,2 499 cm3,Diesel,136 KM,SUV,Manualna,4,5,Srebrny,Używane,,4x4 (dołączany ręcznie),"9,80 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-stan-super-ID6Gotgl.html
Isuzu D-Max 1.9 DC LSX,187800,PLN,Firma,Isuzu,D-Max,1.9 DC LSX,2023,780 km,1 898 cm3,Diesel,163 KM,SUV,Automatyczna,4,5,Pomarańczowy,Używane,,4x4 (dołączany automatycznie),8 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-z-bogatym-doposazeniem-w-cenie-ID6G7jz0.html
Isuzu D-Max 1.9 DC LSX,151900,PLN,Firma,Isuzu,D-Max,1.9 DC LSX,2022,21 565 km,,Diesel,163 KM,SUV,Automatyczna,4,5,Szary,Używane,,4x4 (stały),8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-lsx-dc-at-niski-przebieg-krajowy-gwarancja-ID6GosvM.html
Isuzu D-Max,210000,PLN,Firma,Isuzu,D-Max,,2023,6 580 km,1 900 cm3,Diesel,163 KM,SUV,Automatyczna,4,5,Biały,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-lse-at-2023r-demo-dostepne-od-reki-flprofi-fs-hardtop-pack-ID6Gmaj3.html
Isuzu D-Max,210000,PLN,Firma,Isuzu,D-Max,,2023,6 985 km,1 900 cm3,Diesel,163 KM,SUV,Automatyczna,4,5,Inny kolor,Używane,Tak,4x4 (stały),,,Tak,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-lse-at-2023r-demo-dostepne-od-reki-style-cover-pack-2-ID6GmaiN.html
Isuzu D-Max,186898,PLN,Firma,Isuzu,D-Max,,2023,5 km,1 898 cm3,Diesel,163 KM,SUV,Automatyczna,4,5,Biały,Nowe,,4x4 (dołączany ręcznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-dc-1-9d-163km-4x4-lse-at-dealer-fv23-ID6Gn0ox.html
Isuzu D-Max 1.9 DC LSE,199137,PLN,Firma,Isuzu,D-Max,1.9 DC LSE,2023,13 km,1 898 cm3,Diesel,163 KM,SUV,Automatyczna,4,5,Biały,Nowe,,4x4 (dołączany automatycznie),8 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-wyprzedaz-rocznika-2023-lse-automat-ID6Gd3Yo.html
Isuzu D-Max 1.9 DC LSX,190773,PLN,Firma,Isuzu,D-Max,1.9 DC LSX,2023,13 km,1 898 cm3,Diesel,163 KM,SUV,Automatyczna,4,5,Biały,Nowe,,4x4 (dołączany automatycznie),8 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/isuzu-d-max-wyprzedaz-rocznika-2023-lsx-automat-ID6Gd479.html
