Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Jaguar S-Type,30000,PLN,Prywatne,Jaguar,S-Type,,2002,124 600 km,2 497 cm3,Benzyna,200 KM,Sedan,Automatyczna,4,5,Srebrny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/jaguar-s-type-jaguar-s-type-124600km-ID6Gic0N.html
Jaguar E-Pace 2.0 i4P AWD R-Dynamic S,95000,PLN,Prywatne,Jaguar,E-Pace,2.0 i4P AWD R-Dynamic S,2019,87 542 km,1 998 cm3,Benzyna,200 KM,SUV,Automatyczna,5,5,Bordowy,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/jaguar-e-pace-2020-salon-polska-bezwypadkowy-4x4-awd-ID6GpPmY.html
Jaguar F-Pace 2.0 P250 mHEV AWD R-Dynamic S,310000,PLN,Firma,Jaguar,F-Pace,2.0 P250 mHEV AWD R-Dynamic S,2023,5 000 km,1 997 cm3,Benzyna,249 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/jaguar-f-pace-r-dynamic-s-demo-dilera-5-lat-gwarancji-ID6GeRH3.html
Jaguar XJ 3.0 T AWD LWB Portfolio,99900,PLN,Prywatne,Jaguar,XJ,3.0 T AWD LWB Portfolio,2015,79 000 km,2 995 cm3,Benzyna,340 KM,Sedan,Automatyczna,4,5,Biały,Używane,Tak,4x4 (stały),14 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/jaguar-xj-xjl-portfolio-lwb-awd-black-edition-4x4-340-km-automat-skora-long-ID6FOT9J.html
Jaguar F-Pace 2.0 i4D AWD R-Sport,127700,PLN,Prywatne,Jaguar,F-Pace,2.0 i4D AWD R-Sport,2019,97 700 km,1 999 cm3,Diesel,180 KM,SUV,Automatyczna,5,5,Szary,Używane,Tak,4x4 (stały),6 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/jaguar-f-pace-fakura-23-vat-2-komplety-opon-20cali-ID6Gp29e.html
Jaguar XF 2.0 i4D Prestige,62900,PLN,Prywatne,Jaguar,XF,2.0 i4D Prestige,2016,162 000 km,1 999 cm3,Diesel,180 KM,Sedan,Automatyczna,4,5,Czarny,Używane,Tak,Na tylne koła,5 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/jaguar-xf-piekny-jaguar-xf-prestige-ID6ECSW8.html
Jaguar F-Pace 20d R-Sport,110999,PLN,Prywatne,Jaguar,F-Pace,20d R-Sport,2016,151 000 km,1 999 cm3,Diesel,180 KM,SUV,Manualna,5,5,Czarny,Używane,Tak,Na tylne koła,"15,90 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/jaguar-f-pace-wersja-sport-virtual-cockpit-alu20-meridian-ambient-ID6GdHpn.html
Jaguar F-Pace 2.0 i4D AWD R-Sport,109347,PLN,Prywatne,Jaguar,F-Pace,2.0 i4D AWD R-Sport,2016,84 700 km,1 999 cm3,Diesel,180 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,Na przednie koła,6 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/jaguar-f-pace-polski-salon-zadbany-niski-przebieg-ID6GpLMp.html
Jaguar F-Type 2.0 Turbo R-Dynamic,265000,PLN,Prywatne,Jaguar,F-Type,2.0 Turbo R-Dynamic,2021,45 659 km,1 997 cm3,Benzyna,300 KM,Coupe,Automatyczna,2,2,Czerwony,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/jaguar-f-type-jaguar-f-type-w-najszybszym-kolorze-stan-perfekcyjny-ID6Gp1zK.html
Jaguar XF 2.2 D Portfolio,49900,PLN,Prywatne,Jaguar,XF,2.2 D Portfolio,2013,197 500 km,2 179 cm3,Diesel,163 KM,Sedan,Automatyczna,4,,Czarny,Używane,,Na tylne koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/jaguar-xf-nowe-opony-lift-juz-zarejestrowany-ID6G63fi.html
