Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Jeep Grand Cherokee Gr 3.0 CRD Overland,26500,PLN,Prywatne,Jeep,Grand Cherokee,Gr 3.0 CRD Overland,2006,170 299 km,2 987 cm3,Diesel,218 KM,SUV,Automatyczna,5,5,Zielony,Używane,Tak,4x4 (stały),13 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/jeep-grand-cherokee-supeer-stan-doinwestowany-ID6GoSDP.html
Jeep Wrangler 2.8 CRD Unlim Rubicon,99000,PLN,Prywatne,Jeep,Wrangler,2.8 CRD Unlim Rubicon,2011,157 000 km,2 777 cm3,Diesel,200 KM,SUV,Automatyczna,5,5,Żółty,Używane,Tak,4x4 (dołączany ręcznie),10 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/jeep-wrangler-jeep-wrangler-rubicon-duzo-dodatkow-ID6GcIrQ.html
Jeep Cherokee 4.0 Limited,29999,PLN,Prywatne,Jeep,Cherokee,4.0 Limited,1990,342 000 km,3 964 cm3,Benzyna,185 KM,SUV,Automatyczna,5,5,Granatowy,Używane,Tak,4x4 (dołączany ręcznie),20 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/jeep-cherokee-jeep-cherokee-xj-4-0-90-mopar-klasyk-ID6Gp3bn.html
Jeep Renegade 1.4 MultiAir Limited FWD S&S,56900,PLN,Prywatne,Jeep,Renegade,1.4 MultiAir Limited FWD S&S,2016,102 000 km,1 368 cm3,Benzyna,140 KM,SUV,Manualna,5,5,Pomarańczowy,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/jeep-renegade-salon-polska-pierwszy-wlasciciel-stan-idealny-bezwypadkowy-ID6Gp3b2.html
Jeep Grand Cherokee,95000,PLN,Prywatne,Jeep,Grand Cherokee,,2015,80 650 km,3 604 cm3,Benzyna,286 KM,SUV,Automatyczna,5,5,Srebrny,Używane,Tak,4x4 (dołączany automatycznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/jeep-grand-cherokee-jeep-grand-cherokee-limited-zadbany-ID6FFE1W.html
Jeep Gladiator,249990,PLN,Prywatne,Jeep,Gladiator,,2020,54 000 km,2 987 cm3,Diesel,264 KM,SUV,Automatyczna,4,5,Szary,Używane,Tak,4x4 (dołączany ręcznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/jeep-gladiator-pierwszy-wlasciciel-serwisowany-w-aso-100-bezwypadkowy-f-vat-23-ID6FODvb.html
Jeep Compass 1.6 MJD Longitude FWD S&S,79900,PLN,Prywatne,Jeep,Compass,1.6 MJD Longitude FWD S&S,2017,55 200 km,1 598 cm3,Diesel,120 KM,SUV,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/jeep-compass-jeep-compass-1-6-mjd-longitude-ID6G7DyL.html
Jeep Wrangler,50000,PLN,Prywatne,Jeep,Wrangler,,2004,155 000 km,2 464 cm3,Benzyna,121 KM,SUV,Automatyczna,2,4,Żółty,Używane,Tak,4x4 (dołączany ręcznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/jeep-wrangler-jeep-wrangler-tj-2-4-automat-zamiana-ID6FjdQo.html
Jeep Wrangler Unlimited 3.8 Sahara,47500,PLN,Prywatne,Jeep,Wrangler,Unlimited 3.8 Sahara,2008,220 000 km,3 778 cm3,Benzyna,199 KM,SUV,Automatyczna,5,,Czarny,Używane,,,16 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/jeep-wrangler-ID6GpOPH.html
Jeep Grand Cherokee,179000,PLN,Prywatne,Jeep,Grand Cherokee,,2017,78 300 km,5 654 cm3,Benzyna,352 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/jeep-grand-cherokee-stan-idealny-maly-przebieg-ID6FXaqs.html
Jeep Grand Cherokee Gr 3.0 CRD Summit,97000,PLN,Prywatne,Jeep,Grand Cherokee,Gr 3.0 CRD Summit,2015,149 000 km,2 987 cm3,Diesel,250 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),8 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/jeep-grand-cherokee-jeep-grand-cherokee-3-0-crd-summit-platinum-ID6Gp2AJ.html
Jeep Grand Cherokee Gr 3.0 CRD 75th Anniver,69900,PLN,Prywatne,Jeep,Grand Cherokee,Gr 3.0 CRD 75th Anniver,2016,269 930 km,2 987 cm3,Diesel,250 KM,SUV,Automatyczna,5,5,Zielony,Używane,Tak,4x4 (stały),8 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/jeep-grand-cherokee-salon-polska-limitowana-edycja-vat-23-pneumatyczne-zawieszenie-ID6Gg5Wj.html
Jeep Grand Cherokee Gr 3.0 CRD Overland,89000,PLN,Prywatne,Jeep,Grand Cherokee,Gr 3.0 CRD Overland,2014,197 325 km,2 987 cm3,Diesel,250 KM,SUV,Automatyczna,5,5,Granatowy,Używane,Tak,4x4 (stały),8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/jeep-grand-cherokee-jeep-grand-cherokee-gr-3-0-crd-overland-ID6GpNSZ.html
Jeep Compass,10900,PLN,Prywatne,Jeep,Compass,,2007,180 000 km,2 359 cm3,Benzyna,170 KM,SUV,Manualna,5,5,Inny kolor,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/jeep-compass-ID6Gjgz8.html
Jeep Compass,149900,PLN,Firma,Jeep,Compass,,2024,1 km,1 492 cm3,Hybryda,130 KM,SUV,Automatyczna,5,5,Biały,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/jeep-compass-e-hybrid-my24-altitude-rata-956-pln-brutto-mhev-t4-turbo-130km-dct7-ID6GiD7I.html
Jeep Wrangler 4.0 Sport,129000,PLN,Prywatne,Jeep,Wrangler,4.0 Sport,2002,198 000 km,3 964 cm3,Benzyna,176 KM,SUV,Automatyczna,2,4,Czarny,Używane,Tak,4x4 (dołączany ręcznie),18 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/jeep-wrangler-tj-4-0-sahara-automat-europa-klimatyzacja-2xdach-serwis-aso-ID6GpNhD.html
Jeep Renegade 1.6 MultiJet Limited FWD S&S,86900,PLN,Prywatne,Jeep,Renegade,1.6 MultiJet Limited FWD S&S,2021,69 000 km,1 598 cm3,Diesel,130 KM,SUV,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,5 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/jeep-renegade-salon-pl-1-wlasciciel-aso-bezwypadkowy-gwarancja-ID6Gp28G.html
