Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Kia Ceed 1.6 CRDi SCR S,54000,PLN,Prywatne,Kia,Ceed,1.6 CRDi SCR S,2020,110 000 km,1 582 cm3,Diesel,115 KM,Kombi,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/kia-ceed-kia-ceed-1-6-crdi-mhev-s-ID6GpQih.html
Kia Sportage,15000,PLN,Prywatne,Kia,Sportage,,2005,297 100 km,1 991 cm3,Diesel,112 KM,SUV,Manualna,5,5,Srebrny,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/kia-sportage-kia-sportage-2-0-crdi-m-t-ID6GnHxF.html
Kia Sorento 1.6 T-GDI HEV Prestige Line 4WD,229900,PLN,Firma,Kia,Sorento,1.6 T-GDI HEV Prestige Line 4WD,2023,10 km,1 598 cm3,Benzyna,180 KM,SUV,Automatyczna,5,,Szary,Nowe,,4x4 (dołączany automatycznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/kia-sorento-1-6tgdi-hev-230km-6at-prestige-line-serwis-4lata-gratis-ID6GdCGA.html
Kia Sorento 1.6 T-GDI HEV Prestige Line 7os,219990,PLN,Firma,Kia,Sorento,1.6 T-GDI HEV Prestige Line 7os,2023,10 km,1 598 cm3,Benzyna,180 KM,SUV,Automatyczna,5,,Czerwony,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/kia-sorento-1-6tgdi-hev-230km-6at-2wd-prestigeline-dostepny-od-reki-ID6FXE4H.html
Kia Sorento 1.6 T-GDI HEV Prestige Line 4WD 7os,229900,PLN,Firma,Kia,Sorento,1.6 T-GDI HEV Prestige Line 4WD 7os,2023,10 km,1 598 cm3,Benzyna,180 KM,SUV,Automatyczna,5,,Czarny,Nowe,,4x4 (dołączany automatycznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/kia-sorento-1-6tgdi-hev-230km-6at-awd-prestigeline-pns-pakiet-serwisowy-gratis-ID6GlPF5.html
Kia Sportage 1.6 T-GDI MHEV Business Line 2WD DCT,174200,PLN,Firma,Kia,Sportage,1.6 T-GDI MHEV Business Line 2WD DCT,2023,10 km,1 598 cm3,Benzyna,180 KM,SUV,Automatyczna,5,,Inny kolor,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/kia-sportage-1-6tgdi-mhev-180km-7dct-fwd-bl-har-aeb-ae-dostepny-od-reki-ID6GgEvp.html
Kia Sportage 1.6 T-GDI HEV GT Line 2WD,171900,PLN,Firma,Kia,Sportage,1.6 T-GDI HEV GT Line 2WD,2022,29 595 km,1 598 cm3,Benzyna,180 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/kia-sportage-gt-line-hr-aeb-hev-230km-pierwszy-wlasciciel-serwis-aso-vat23-ID6G2ESd.html
Kia EV6 77.4kWh GT-Line,179900,PLN,Prywatne,Kia,EV6,77.4kWh GT-Line,2021,27 000 km,,Elektryczny,229 KM,Kompakt,Automatyczna,5,5,Czerwony,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/kia-ev6-229-km-rwd-360-kamera-szklany-dach-meridian-gwarancja-kia-fv-ID6Gp3cr.html
Kia Picanto,29500,PLN,Prywatne,Kia,Picanto,,2021,75 000 km,998 cm3,Benzyna,67 KM,Auta miejskie,Manualna,5,,Czerwony,Używane,,,,Tak,,,https://www.otomoto.pl/osobowe/oferta/kia-picanto-van-homologacja-ciezarowa-salon-polska-ID6GggnC.html
Kia Sportage 1.6 GDI L Business Line 2WD,68900,PLN,Prywatne,Kia,Sportage,1.6 GDI L Business Line 2WD,2017,75 000 km,1 591 cm3,Benzyna,132 KM,SUV,Manualna,5,5,Złoty,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/kia-sportage-serwisowany-stan-bdb-zamiana-na-tanszy-ID6GpQmq.html
