Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Lada Granta Norma,9700,PLN,Prywatne,Lada,Granta,Norma,2017,190 000 km,1 596 cm3,Benzyna,98 KM,Kompakt,Manualna,5,,Niebieski,Używane,Tak,Na przednie koła,"8,80 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/lada-granta-z-klimatyzacja-ID6Gp2Oj.html
Lada Niva 1.7i,7600,PLN,Prywatne,Lada,Niva,1.7i,2008,90 000 km,1 690 cm3,Benzyna,81 KM,SUV,Manualna,3,,Zielony,Używane,,,12 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/lada-niva-4x4-ID6GiVSC.html
Lada Niva 1.7i,8500,PLN,Prywatne,Lada,Niva,1.7i,2010,185 000 km,1 690 cm3,Benzyna+LPG,81 KM,SUV,Manualna,3,4,Zielony,Używane,Tak,4x4 (dołączany automatycznie),12 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lada-niva-lada-niva-1-7i-ID6GjnQ5.html
Lada Niva,39000,PLN,Firma,Lada,Niva,,2016,25 927 km,1 690 cm3,Benzyna+LPG,83 KM,SUV,Manualna,3,4,Niebieski,Używane,,4x4 (dołączany automatycznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lada-niva-1-7-i-salon-polska-serwis-aso-gaz-vat-23-ID6GoqPP.html
Lada Niva 1.7i,7800,PLN,Prywatne,Lada,Niva,1.7i,2003,161 000 km,1 690 cm3,Benzyna,81 KM,SUV,Manualna,3,4,Zielony,Używane,,,12 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/lada-niva-lada-niva-2003-ID6G3uyB.html
Lada Kalina Cross Norma,8700,PLN,Prywatne,Lada,Kalina,Cross Norma,2017,27 000 km,1 596 cm3,Benzyna,87 KM,Kombi,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,9 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/lada-kalina-klima-grzane-fotele-ID6GnXar.html
Lada Niva,41000,PLN,Firma,Lada,Niva,,2017,45 538 km,1 690 cm3,Benzyna,83 KM,SUV,Manualna,5,5,Brązowy,Używane,,4x4 (dołączany automatycznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lada-niva-1-7-i-salon-polska-serwis-aso-ID6Go6Si.html
Lada Niva,20900,PLN,Prywatne,Lada,Niva,,2019,129 000 km,1 690 cm3,Benzyna+LPG,82 KM,SUV,Manualna,3,2,Zielony,Używane,Tak,4x4 (dołączany automatycznie),,,,,https://www.otomoto.pl/osobowe/oferta/lada-niva-ID6GmEXl.html
Lada Niva 1.7i,86000,PLN,Prywatne,Lada,Niva,1.7i,2019,4 500 km,1 690 cm3,Benzyna+LPG,82 KM,SUV,Manualna,5,5,Srebrny,Używane,Tak,4x4 (stały),13 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lada-niva-lada-niva-urban-ID6Gpsv6.html
Lada Niva,33900,PLN,Prywatne,Lada,Niva,,2022,4 042 km,1 690 cm3,Benzyna,82 KM,SUV,Manualna,2,,Czarny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/lada-niva-ID6Go4uG.html
Lada Niva 1.7i (abs) EU5,49900,PLN,Prywatne,Lada,Niva,1.7i (abs) EU5,2019,12 000 km,1 690 cm3,Benzyna,82 KM,SUV,Manualna,3,,Czarny,Używane,Tak,4x4 (dołączany automatycznie),12 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/lada-niva-czarna-cobra-lada-niva-ID6Gn0KV.html
Lada Niva 1.7i,5600,PLN,Prywatne,Lada,Niva,1.7i,1997,80 000 km,1 690 cm3,Benzyna+LPG,81 KM,SUV,Manualna,3,,Niebieski,Używane,Tak,4x4 (dołączany ręcznie),12 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/lada-niva-lada-niva-1-7-97r-4x4-ID6GnXeq.html
Lada Niva 1.7i,16500,PLN,Prywatne,Lada,Niva,1.7i,2012,54 750 km,1 690 cm3,Benzyna+LPG,81 KM,SUV,Manualna,3,2,Niebieski,Używane,Tak,4x4 (dołączany automatycznie),12 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/lada-niva-pierwszy-wlasciciel-w-kraju-ID6GmwgB.html
Lada Niva 1.7i,18500,PLN,Prywatne,Lada,Niva,1.7i,2006,148 000 km,1 690 cm3,Benzyna+LPG,82 KM,SUV,Manualna,3,3,Inny kolor,Używane,Tak,,13 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/lada-niva-lada-niva-1-6-lpg-ID6GiOqu.html
Lada Niva,49999,PLN,Firma,Lada,Niva,,2020,8 273 km,1 690 cm3,Benzyna,83 KM,SUV,Manualna,3,4,Granatowy,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/lada-niva-lada-niva-2020-4x4-8273-km-przebiegu-ID6GatW6.html
Lada Niva 1.7i,23900,PLN,Firma,Lada,Niva,1.7i,2015,36 649 km,1 690 cm3,Benzyna,81 KM,SUV,Manualna,3,,Zielony,Używane,,4x4 (dołączany automatycznie),12 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/lada-niva-lada-niva-taiga-4x4-2015-ID6Ggcrz.html
Lada 111,4300,PLN,Prywatne,Lada,111,,2009,116 000 km,1 499 cm3,Benzyna,76 KM,Kombi,Manualna,5,,Granatowy,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/lada-111-do-lekkich-poprawek-ID6GmqkB.html
Lada Niva 1.7i,38900,PLN,Prywatne,Lada,Niva,1.7i,2019,27 000 km,1 690 cm3,Benzyna,82 KM,SUV,Manualna,5,,Szary,Używane,Tak,4x4 (dołączany automatycznie),13 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/lada-niva-lada-niva-niski-przebieg-bezwypadkowa-super-stan-ID6Ghxpy.html
Lada Niva 1.7i,24500,PLN,Prywatne,Lada,Niva,1.7i,2017,102 000 km,1 690 cm3,Benzyna+LPG,82 KM,SUV,Manualna,3,4,Zielony,Używane,Tak,4x4 (stały),13 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lada-niva-polski-salon-4x4-instalacja-gaz-lpg-faktura-vat-23-ID6GbTmx.html
Lada Niva 1.7i (abs) EU5,48500,PLN,Prywatne,Lada,Niva,1.7i (abs) EU5,2019,11 000 km,1 690 cm3,Benzyna,82 KM,SUV,Manualna,3,5,Szary,Używane,Tak,4x4 (stały),12 l/100km,Tak,Tak,Tak,https://www.otomoto.pl/osobowe/oferta/lada-niva-lada-niva-urban-2019-ID6GmhZH.html
Lada Niva 1.7i (abs) EU5,9999,PLN,Prywatne,Lada,Niva,1.7i (abs) EU5,2014,44 000 km,1 690 cm3,Benzyna+LPG,82 KM,SUV,Manualna,3,4,Granatowy,Używane,Tak,4x4 (dołączany automatycznie),12 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/lada-niva-4x4-1-wlasciciel-z-niemiec-oryg-44000-km-2014r-ID6GmGC2.html
Lada Samara 1500,3000,PLN,Firma,Lada,Samara,1500,1991,78 000 km,1 500 cm3,Benzyna,72 KM,Kompakt,Manualna,4,5,Biały,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/lada-samara-1-5-ID6G2V6o.html
