Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Lamborghini Aventador S,2150000,PLN,Prywatne,Lamborghini,Aventador,S,2018,7 000 km,6 498 cm3,Benzyna,740 KM,Coupe,Automatyczna,2,,Pomarańczowy,Używane,Tak,4x4 (stały),26 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/lamborghini-aventador-lamborghini-aventador-s-ID6Gssz6.html
Lamborghini Urus Standard,1550000,PLN,Prywatne,Lamborghini,Urus,Standard,2021,20 000 km,3 996 cm3,Benzyna,650 KM,SUV,Automatyczna,5,5,Zielony,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lamborghini-urus-verde-hydra-terra-asia-vintage-full-ppf-faktura-vat-23-gwarancja-ID6Gg87w.html
Lamborghini Huracan Performante,1488300,PLN,Prywatne,Lamborghini,Huracan,Performante,2017,58 000 km,5 204 cm3,Benzyna,640 KM,Coupe,Automatyczna,2,,Szary,Używane,Tak,,19 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lamborghini-huracan-performante-szary-mat-bezwypadkowy-faktura-vat23-ID6G6sOx.html
Lamborghini Urus,1599900,PLN,Firma,Lamborghini,Urus,,2021,37 422 km,3 996 cm3,Benzyna,650 KM,SUV,Automatyczna,5,5,Żółty,Używane,,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lamborghini-urus-lamborghini-urus-ID6F1Eld.html
Lamborghini Huracan LP 610-4 Spyder,1199900,PLN,Firma,Lamborghini,Huracan,LP 610-4 Spyder,2016,59 607 km,5 204 cm3,Benzyna,610 KM,Kabriolet,Automatyczna,2,2,Pomarańczowy,Używane,,4x4 (stały),"17,50 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/lamborghini-huracan-serwis-aso-sensonum-spyder-key-less-fv-23-ID6GybLU.html
Lamborghini Huracan,1964310,PLN,Firma,Lamborghini,Huracan,,2023,177 km,5 204 cm3,Benzyna,640 KM,Coupe,Automatyczna,2,2,Zielony,Nowe,,4x4 (stały),19 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/lamborghini-huracan-lamborghini-huracan-tecnica-verde-scandal-carbon-nowy-ID6GoTLg.html
Lamborghini Urus,1600000,PLN,Firma,Lamborghini,Urus,,2020,64 000 km,3 996 cm3,Benzyna,650 KM,SUV,Automatyczna,5,5,Żółty,Używane,,4x4 (dołączany automatycznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lamborghini-urus-lamborghini-urus-2020-salon-lamborghini-warszawa-ID6G7j5E.html
Lamborghini Huracan Performante,1799000,PLN,Firma,Lamborghini,Huracan,Performante,2022,5 000 km,5 204 cm3,Benzyna,640 KM,Coupe,Automatyczna,2,2,Fioletowy,Używane,Tak,4x4 (stały),19 l/100km,Tak,Tak,Tak,https://www.otomoto.pl/osobowe/oferta/lamborghini-huracan-evo-z-polski-od-pierwszego-wlasciciela-ID6GpS26.html
Lamborghini Gallardo Superleggera E-Gear,649000,PLN,Firma,Lamborghini,Gallardo,Superleggera E-Gear,2008,11 890 km,4 961 cm3,Benzyna,530 KM,Coupe,Automatyczna,2,2,Pomarańczowy,Używane,,4x4 (stały),24 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/lamborghini-gallardo-lamborghini-gallardo-superleggera-e-gear-ID6FFrq2.html
Lamborghini Aventador,3300000,PLN,Firma,Lamborghini,Aventador,,2020,6 362 km,6 498 cm3,Benzyna,770 KM,Coupe,Automatyczna,2,2,Fioletowy,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lamborghini-aventador-svj-lp-770-6-5-v12-salon-pl-fv-23-ad-personam-viola-parsifae-ID6GvPf0.html
