Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Lancia Ypsilon Y 1.3 MultiJet Gold,27000,PLN,Prywatne,Lancia,Ypsilon,Y 1.3 MultiJet Gold,2015,94 000 km,1 248 cm3,Diesel,95 KM,Auta małe,Manualna,5,,Biały,Używane,Tak,Na przednie koła,4 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/lancia-ypsilon-2015-spalanie-5l-100km-przebieg-tylko-90-000-km-zamiana-ID6G8Uvm.html
Lancia Musa 1.4 16v Silver,9800,PLN,Prywatne,Lancia,Musa,1.4 16v Silver,2009,125 942 km,1 368 cm3,Benzyna,95 KM,Minivan,Manualna,5,,Srebrny,Używane,Tak,Na przednie koła,"5,20 l/100km",,Tak,,https://www.otomoto.pl/osobowe/oferta/lancia-musa-lancia-musa-1-4-16v-ID6Gp1ZE.html
Lancia Musa 1.4 16V Platino,17500,PLN,Prywatne,Lancia,Musa,1.4 16V Platino,2011,119 000 km,1 368 cm3,Benzyna,95 KM,Minivan,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lancia-musa-pierwszy-wlasciciel-w-pl-ID6GlHZL.html
Lancia Musa 1.4 16V 5th Avenue S&S MTA,9900,PLN,Prywatne,Lancia,Musa,1.4 16V 5th Avenue S&S MTA,2006,147 000 km,1 368 cm3,Benzyna,95 KM,Minivan,Automatyczna,5,5,Złoty,Używane,Tak,Na przednie koła,7 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/lancia-musa-automat-klima-zadbana-serwisowana-niski-przebieg-benzyna-ID6Gp14e.html
Lancia Thesis 2.4 JTD 10v Emblema,19500,PLN,Prywatne,Lancia,Thesis,2.4 JTD 10v Emblema,2002,192 930 km,2 387 cm3,Diesel,150 KM,Sedan,Manualna,4,5,Czarny,Używane,Tak,Na przednie koła,9 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/lancia-thesis-w-bardzo-dobrym-stanie-ID6Gp0Tl.html
Lancia Delta 1.6 MultiJet 16v Oro,15900,PLN,Prywatne,Lancia,Delta,1.6 MultiJet 16v Oro,2010,212 100 km,1 598 cm3,Diesel,120 KM,Kompakt,Manualna,5,5,Czarny,Używane,,Na przednie koła,"5,80 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lancia-delta-1-6-multijet-120km-bezwypadkowa-nawigacja-gps-zadbana-ID6GpHbK.html
Lancia Ypsilon 1.2 8V Platinum S&S,24900,PLN,Prywatne,Lancia,Ypsilon,1.2 8V Platinum S&S,2014,169 300 km,1 242 cm3,Benzyna,69 KM,Kompakt,Manualna,5,5,Brązowy,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lancia-ypsilon-stan-idealny-bezwypadkowy-piekny-wyglad-zamiana-ID6GpBtZ.html
Lancia Ypsilon 1.2 8V Gold,21900,PLN,Prywatne,Lancia,Ypsilon,1.2 8V Gold,2011,82 550 km,1 242 cm3,Benzyna,69 KM,Auta małe,Manualna,5,5,Beżowy,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lancia-ypsilon-niski-przebieg-82-tys-zero-korozji-stan-bdb-ID6GpxCe.html
Lancia Kappa Coupe 2.4,17500,PLN,Prywatne,Lancia,Kappa,Coupe 2.4,1998,333 262 km,2 446 cm3,Benzyna,175 KM,Coupe,Manualna,2,5,Zielony,Używane,Tak,Na przednie koła,15 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/lancia-kappa-lancia-kappa-coupe-ID6Gpm4K.html
Lancia Ypsilon 1.4 8V Argento (4 os.),12900,PLN,Prywatne,Lancia,Ypsilon,1.4 8V Argento (4 os.),2008,108 000 km,1 368 cm3,Benzyna,77 KM,Auta miejskie,Manualna,3,4,Czarny,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lancia-ypsilon-klimatyzacja-szklany-dach-drugi-kpl-kol-ID6GanRa.html
