Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Land Rover Range Rover,814000,PLN,Firma,Land Rover,Range Rover,,2024,1 km,2 997 cm3,Hybryda,460 KM,SUV,Automatyczna,5,5,Biały,Nowe,,4x4 (stały),,,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-p460e-autobiography-3-0-460km-ID6Go6HW.html
Land Rover Range Rover Sport,270500,PLN,Prywatne,Land Rover,Range Rover Sport,,2018,148 000 km,2 993 cm3,Diesel,306 KM,SUV,Automatyczna,5,,Złoty,Używane,,4x4 (dołączany automatycznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-sport-range-rover-sport-autobiography-ID6Gp3d8.html
Land Rover Defender,465000,PLN,Prywatne,Land Rover,Defender,,2023,9 900 km,2 997 cm3,Diesel,249 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),,,,,https://www.otomoto.pl/osobowe/oferta/land-rover-defender-defender-110-3-0d-5-lat-gwarancji-ID6GkhdJ.html
Land Rover Range Rover Sport S 2.0Si4 HSE,219900,PLN,Prywatne,Land Rover,Range Rover Sport,S 2.0Si4 HSE,2018,87 000 km,1 997 cm3,Benzyna,300 KM,SUV,Automatyczna,5,5,Szary,Używane,Tak,4x4 (stały),11 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-sport-hse-my19-salon-pl-ID6Gfg30.html
Land Rover Range Rover Sport S 3.0 I6 HSE Dynamic,600000,PLN,Firma,Land Rover,Range Rover Sport,S 3.0 I6 HSE Dynamic,2024,1 km,2 996 cm3,Benzyna,400 KM,SUV,Automatyczna,5,5,Czarny,Nowe,,4x4 (stały),,,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-sport-p400-dynamic-hse-3-0-400km-ID6GpOef.html
Land Rover Defender 110 3.0 P400 mHEV XS Edition,380000,PLN,Prywatne,Land Rover,Defender,110 3.0 P400 mHEV XS Edition,2022,52 000 km,2 996 cm3,Benzyna,400 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),,,,,https://www.otomoto.pl/osobowe/oferta/land-rover-defender-my23-3-0-i6-400-ps-awd-auto-xs-edition-110-polski-salon-ID6GpPog.html
Land Rover Range Rover Velar,158000,PLN,Prywatne,Land Rover,Range Rover Velar,,2019,91 000 km,1 997 cm3,Benzyna,300 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),9 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-velar-range-rover-velar-pierwszy-wlascicel-300-km-22-cale-pneumatyka-ID6GhXV2.html
Land Rover Discovery IV 3.0D V6 HSE,57000,PLN,Prywatne,Land Rover,Discovery,IV 3.0D V6 HSE,2009,304 000 km,2 993 cm3,Diesel,245 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),11 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/land-rover-discovery-land-rover-discovery-iv-2009-model-2010-przebieg-304000-ID6GeZhL.html
Land Rover Range Rover Velar,205000,PLN,Prywatne,Land Rover,Range Rover Velar,,2019,149 000 km,1 997 cm3,Benzyna,300 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,4x4 (dołączany automatycznie),9 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-velar-land-rover-range-rover-velar-2-0-si4-p300-r-dynamic-ID6GpOJ2.html
Land Rover Defender 110 3.0 D300 mHEV SE,445000,PLN,Firma,Land Rover,Defender,110 3.0 D300 mHEV SE,2023,6 800 km,2 996 cm3,Diesel,300 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-defender-d300-se-demo-5-lat-gwarancji-ID6GeRCq.html
Land Rover Range Rover Evoque 2.0 D200 mHEV Dynamic SE,269000,PLN,Firma,Land Rover,Range Rover Evoque,2.0 D200 mHEV Dynamic SE,2023,4 000 km,1 999 cm3,Diesel,204 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-evoque-dynamic-se-po-liftingu-5-lat-gwarancji-ID6Ge7gQ.html
Land Rover Range Rover Sport S 3.0 D300 mHEV Dynamic HSE,565000,PLN,Firma,Land Rover,Range Rover Sport,S 3.0 D300 mHEV Dynamic HSE,2024,10 km,2 997 cm3,Diesel,300 KM,SUV,Automatyczna,5,5,Biały,Nowe,,4x4 (stały),,,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-sport-dynamic-hse-nowy-2024r-leasing-promo-102-ID6Gewau.html
Land Rover Defender 110 3.0 D250 mHEV XS Edition,425000,PLN,Firma,Land Rover,Defender,110 3.0 D250 mHEV XS Edition,2023,5 000 km,2 996 cm3,Diesel,249 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-defender-xs-edition-110-5-lat-gwarancji-ID6Ge7TR.html
Land Rover Freelander,35900,PLN,Prywatne,Land Rover,Freelander,,2010,160 000 km,2 179 cm3,Diesel,150 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-freelander-salon-pl-automat-4x4-2-2-150-km-i-wlasciciel-fv-23-ID6GikPC.html
Land Rover Range Rover,834500,PLN,Firma,Land Rover,Range Rover,,2024,1 km,2 997 cm3,Hybryda,460 KM,SUV,Automatyczna,5,5,Czarny,Nowe,,4x4 (stały),,,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-kierownica-pokryta-skora-przyciemniane-szyby-od-slupa-b-ID6Go6tM.html
Land Rover Defender,135300,PLN,Prywatne,Land Rover,Defender,,1992,52 384 km,3 531 cm3,Benzyna,130 KM,SUV,Manualna,5,9,Zielony,Używane,Tak,4x4 (stały),,,,,https://www.otomoto.pl/osobowe/oferta/land-rover-defender-samochod-terenowy-osobowy-land-rover-defender-113-kw-ID6GpMHr.html
Land Rover Range Rover Sport,619000,PLN,Firma,Land Rover,Range Rover Sport,,2024,1 km,2 997 cm3,Hybryda,460 KM,SUV,Automatyczna,5,5,Szary,Nowe,,4x4 (stały),,,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-sport-p460e-dynamic-hse-3-0-460km-ID6GpNv6.html
Land Rover Range Rover Evoque,129150,PLN,Prywatne,Land Rover,Range Rover Evoque,,2017,209 000 km,1 999 cm3,Diesel,180 KM,SUV,Automatyczna,5,5,Beżowy,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-evoque-land-rover-evoque-2-0-diesel-180km-salon-polska-jeden-wlasciciel-ID6Gp23y.html
Land Rover Range Rover Sport,22900,PLN,Prywatne,Land Rover,Range Rover Sport,,2005,95 018 km,4 197 cm3,Benzyna,390 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),,,,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-sport-sprzedam-range-rover-sport-uszkodzony-mechanicznie-ID6GllSc.html
Land Rover Range Rover Evoque 2.0Si4 SE Plus / Dynamic,118900,PLN,Prywatne,Land Rover,Range Rover Evoque,2.0Si4 SE Plus / Dynamic,2018,75 000 km,1 999 cm3,Benzyna,240 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),10 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-evoque-4x4benzynablack-editionpanorama-ID6Gb8hP.html
Land Rover Range Rover 5.0 V8 S/C LWB AB,439998,PLN,Firma,Land Rover,Range Rover,5.0 V8 S/C LWB AB,2019,79 560 km,5 000 cm3,Benzyna,525 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-lwb-autobiography-i-wlasciciel-salon-pl-bezwypadkowy-fv-vat23-ID6GbRJq.html
Land Rover Range Rover Evoque,74000,PLN,Prywatne,Land Rover,Range Rover Evoque,,2016,128 000 km,1 999 cm3,Diesel,150 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-evoque-land-rover-range-rover-evoque-ID6G0kit.html
Land Rover Defender 90 3.0 D300 mHEV 75th Limited Edition,427781,PLN,Firma,Land Rover,Defender,90 3.0 D300 mHEV 75th Limited Edition,2023,1 km,2 996 cm3,Diesel,300 KM,SUV,Automatyczna,3,5,Zielony,Nowe,,4x4 (stały),,,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-defender-90-3-0-d300-mhev-75th-limited-edition-od-reki-ID6GnF7Y.html
Land Rover Range Rover Velar 3.0 D300 mHEV Dynamic HSE,425000,PLN,Firma,Land Rover,Range Rover Velar,3.0 D300 mHEV Dynamic HSE,2023,12 500 km,2 996 cm3,Diesel,300 KM,SUV,Automatyczna,5,5,Szary,Używane,Tak,4x4 (stały),9 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-velar-diesel-3-0-300km-pneumat-lift-demo-ID6FQGBS.html
Land Rover Range Rover Evoque,77900,PLN,Prywatne,Land Rover,Range Rover Evoque,,2013,110 000 km,1 997 cm3,Benzyna,240 KM,SUV,Automatyczna,5,5,Brązowy,Używane,Tak,4x4 (stały),10 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-evoque-range-rover-evoque-2-0b-240km-2013r-ID6Gk2Tm.html
Land Rover Range Rover Sport S 3.0TD V6 SE,59800,PLN,Firma,Land Rover,Range Rover Sport,S 3.0TD V6 SE,2011,125 000 km,2 993 cm3,Diesel,245 KM,SUV,Automatyczna,5,5,Czarny,Używane,,4x4 (dołączany automatycznie),11 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-sport-oplacony-dla-wymagajacego-klienta-perfekcyjny-stan-ID6GpJCh.html
Land Rover Range Rover 5.0 V8 S/C,37500,PLN,Prywatne,Land Rover,Range Rover,5.0 V8 S/C,2010,167 500 km,4 999 cm3,Benzyna,510 KM,SUV,Automatyczna,5,,Szary,Używane,Tak,4x4 (dołączany automatycznie),22 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-land-rover-range-rover-5-0-v8-s-c-510-km-ID6GkKw1.html
Land Rover Freelander 2.0 Td,13777,PLN,Prywatne,Land Rover,Freelander,2.0 Td,2005,205 000 km,1 950 cm3,Diesel,112 KM,SUV,Automatyczna,3,5,Czarny,Używane,Tak,4x4 (stały),11 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-freelander-sprzedam-ID6GpGPr.html
Land Rover Range Rover Sport,59700,PLN,Prywatne,Land Rover,Range Rover Sport,,2010,340 010 km,3 628 cm3,Diesel,272 KM,SUV,Automatyczna,6,5,Czarny,Używane,,4x4 (stały),11 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-sport-po-lift-3-6-ID6FvZet.html
Land Rover Range Rover,812500,PLN,Firma,Land Rover,Range Rover,,2024,1 km,2 997 cm3,Hybryda,460 KM,SUV,Automatyczna,5,5,Czarny,Nowe,,4x4 (stały),,,Tak,,https://www.otomoto.pl/osobowe/oferta/land-rover-range-rover-p460e-autobiography-3-0-460km-ID6Go7s3.html
