Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Lexus NX 350h Prestige AWD,254000,PLN,Firma,Lexus,NX,350h Prestige AWD,2024,5 km,2 487 cm3,Benzyna,190 KM,SUV,Automatyczna,5,5,Srebrny,Nowe,,4x4 (dołączany ręcznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/lexus-nx-prestige-2-5-hybrid-243-km-4x4-dostepnosc-maj-ID6Gh7Bs.html
Lexus NX 350h Prestige AWD,258900,PLN,Firma,Lexus,NX,350h Prestige AWD,2024,5 km,2 487 cm3,Benzyna,190 KM,SUV,Automatyczna,5,5,Zielony,Nowe,,4x4 (dołączany ręcznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/lexus-nx-prestige-2-5-hybrid-243-km-4x4-dostepnosc-czerwiec-ID6Gh4UO.html
Lexus NX 200t Comfort AWD,89000,PLN,Prywatne,Lexus,NX,200t Comfort AWD,2016,178 000 km,1 998 cm3,Benzyna,238 KM,SUV,Automatyczna,5,5,Szary,Używane,Tak,4x4 (dołączany automatycznie),,,,,https://www.otomoto.pl/osobowe/oferta/lexus-nx-lexus-nx-200t-wersja-comfort-2016r-ID6Gp3cb.html
Lexus UX 250h (E-FOUR) Executive Line,130999,PLN,Prywatne,Lexus,UX,250h (E-FOUR) Executive Line,2021,86 000 km,1 987 cm3,Hybryda,152 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lexus-ux-lexus-ux-250h-4x4-bogate-wyposazenie-gwarancja-ID6G9yGz.html
Lexus ES,199999,PLN,Firma,Lexus,ES,,2020,45 792 km,2 487 cm3,Benzyna,218 KM,Sedan,Automatyczna,4,5,Szary,Używane,,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lexus-es-300h-prtige-multimedia-navi-ID6GcfGJ.html
Lexus RX,155000,PLN,Prywatne,Lexus,RX,,2016,127 000 km,3 456 cm3,Hybryda,313 KM,SUV,Automatyczna,5,5,Beżowy,Używane,Tak,4x4 (stały),14 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/lexus-rx-lexus-rx-450h-313km-ID6FVyMh.html
Lexus ES 350,74900,PLN,Prywatne,Lexus,ES,350,2013,163 000 km,3 441 cm3,Benzyna,272 KM,Sedan,Automatyczna,4,5,Biały,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/lexus-es-lexus-es350-ID6Fl0KG.html
Lexus RX 200t / 300 Elegance,106000,PLN,Prywatne,Lexus,RX,200t / 300 Elegance,2016,189 000 km,1 998 cm3,Benzyna,238 KM,SUV,Automatyczna,5,5,Czerwony,Używane,Tak,4x4 (dołączany automatycznie),9 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lexus-rx-lexus-rx-200t-300-elegance-krajowy-bezwypadkowy-pewna-historia-ID6GmdyD.html
Lexus NX,132500,PLN,Prywatne,Lexus,NX,,2018,110 000 km,1 998 cm3,Benzyna,238 KM,Auta miejskie,Automatyczna,5,5,Biały,Używane,Tak,4x4 (dołączany automatycznie),10 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/lexus-nx-piekny-lexus-nx300-comfort-awd-2018-ID6FP5rY.html
Lexus RX 300 Business Edition,200000,PLN,Prywatne,Lexus,RX,300 Business Edition,2021,61 697 km,1 998 cm3,Benzyna,238 KM,SUV,Automatyczna,5,5,Srebrny,Używane,Tak,4x4 (dołączany automatycznie),,,,,https://www.otomoto.pl/osobowe/oferta/lexus-rx-lexus-rx300-w-idealnym-stanie-ID6Gp2MB.html
