Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Ligier JS RC,27300,PLN,Prywatne,Ligier,JS RC,,2012,24 000 km,440 cm3,Diesel,5 KM,Auta małe,Automatyczna,2,,Czerwony,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/ligier-js-rc-dci-alu-bez-prawka-b-am-transport-ID6GodiN.html
,,,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/osobowe/oferta/ligier-x-too-microcar-ligier-xtoo-s-kategoria-l6e-rok-2009-ID6Gp6tG.html
Ligier JS60,60900,PLN,Firma,Ligier,JS60,,2021,15 773 km,478 cm3,Diesel,8 KM,Auta małe,Automatyczna,2,2,Biały,Używane,,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ligier-js60-czterololowiec-lekki-l6e-kamera-wspomaganie-transport-zarejestrowany-ID6Gp4gl.html
Ligier JS50,35900,PLN,Firma,Ligier,JS50,,2021,5 000 km,498 cm3,Diesel,6 KM,Auta małe,Automatyczna,3,2,Biały,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/ligier-js50-ID6Gp268.html
Ligier X-Too RS,20000,PLN,Prywatne,Ligier,X-Too RS,,2011,42 441 km,505 cm3,Diesel,6 KM,Auta małe,Automatyczna,3,2,Srebrny,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ligier-x-too-rs-ID6G2OtM.html
Ligier JS50,40000,PLN,Prywatne,Ligier,JS50,,2020,22 125 km,478 cm3,Diesel,8 KM,Auta małe,Automatyczna,3,2,Biały,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ligier-js50-ligier-js-stan-bdb-ID6G9jRt.html
Ligier X-Too Max,12900,PLN,Prywatne,Ligier,X-Too Max,,2007,31 500 km,505 cm3,Diesel,4 KM,Auta małe,Automatyczna,2,,Zielony,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/ligier-x-too-max-ID6GpJ9e.html
Ligier JS60,59700,PLN,Firma,Ligier,JS60,,2023,7 000 km,480 cm3,Diesel,8 KM,Auta małe,Automatyczna,3,2,Szary,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/ligier-js60-najnowszy-model-dci-czterokolowiec-lekki-l6e-gwarancja-ID6GpHqP.html
Ligier Nova,8000,PLN,Prywatne,Ligier,Nova,,2005,41 100 km,400 cm3,Diesel,6 KM,Auta małe,Automatyczna,2,2,Czarny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/ligier-nova-aixam-microcar-ligier-bez-prawa-jazdy-okazja-ID6Gn9Q0.html
Ligier JS50L,34900,PLN,Prywatne,Ligier,JS50L,,2016,61 249 km,480 cm3,Diesel,5 KM,Auta małe,Automatyczna,3,2,Czerwony,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ligier-js50l-klimatyzacja-kamera-led-zarejestrowany-w-pl-ID6GiTOd.html
Ligier Nova,7900,PLN,Firma,Ligier,Nova,,2003,55 000 km,505 cm3,Diesel,5 KM,Auta małe,Automatyczna,3,,Szary,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ligier-nova-ID6GhZuE.html
Ligier JS50,61900,PLN,Firma,Ligier,JS50,,2023,1 400 km,498 cm3,Diesel,8 KM,Auta małe,Automatyczna,3,2,Czarny,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/ligier-js50-js50-sport-od-14-lat-kat-l6e-czterokolowiec-lekki-ID6Gpy8f.html
Ligier JS60,52900,PLN,Firma,Ligier,JS60,,2020,8 500 km,480 cm3,Diesel,5 KM,Auta małe,Automatyczna,3,2,Szary,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/ligier-js60-gwarancja-l6e-dci-ID6GmKyh.html
Ligier JS60,53300,PLN,Firma,Ligier,JS60,,2021,8 900 km,480 cm3,Diesel,8 KM,Auta małe,Automatyczna,3,2,Czarny,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/ligier-js60-gwarancja-l6e-dci-ID6GmKwx.html
Ligier JS RC,25900,PLN,Firma,Ligier,JS RC,,2014,58 000 km,505 cm3,Diesel,5 KM,Auta małe,Automatyczna,3,2,Granatowy,Używane,,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/ligier-js-rc-f8c-transport-ID6GmKsj.html
Ligier Inny,64900,PLN,Firma,Ligier,Inny,,2022,9 000 km,478 cm3,Diesel,8 KM,Auta małe,Automatyczna,3,2,Szary,Używane,,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/ligier-ligier-js-60-sport-ultimate-wsp-kierownicy-skora-kamera-alufelgi-16-ID6Gpvvf.html
Ligier JS50L,43000,PLN,Firma,Ligier,JS50L,,2019,19 400 km,492 cm3,Diesel,8 KM,Auta małe,Automatyczna,2,2,Niebieski,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/ligier-js50l-gwarancja-kategoria-l6e-dostarczymy-auto-pod-dom-raty-ID6Gn4vW.html
Ligier JS50,96850,PLN,Firma,Ligier,JS50,,2024,4 km,478 cm3,Diesel,8 KM,Auta małe,Automatyczna,2,2,Zielony,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/ligier-js50-casalini-550-trofeo-2-0-2024-nowy-klimatyzacja-kamera-top-model-ID6GaDbb.html
