Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Maserati Levante,365000,PLN,Prywatne,Maserati,Levante,,2022,23 735 km,2 979 cm3,Benzyna,430 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),,Tak,,,https://www.otomoto.pl/osobowe/oferta/maserati-levante-maserati-levante-gt-2022rok-23-800km-3-0beznyna-410km-osoba-prywatna-ID6Ge1mc.html
Maserati Ghibli S Q4,123800,PLN,Prywatne,Maserati,Ghibli,S Q4,2015,76 778 km,2 979 cm3,Benzyna,410 KM,Sedan,Automatyczna,4,5,Niebieski,Używane,Tak,4x4 (dołączany automatycznie),14 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/maserati-ghibli-maserati-ghibli-ID6Gk8lD.html
Maserati Levante S,259999,PLN,Prywatne,Maserati,Levante,S,2019,48 251 km,2 979 cm3,Benzyna,430 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),15 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/maserati-levante-maserati-levante-sq4-430km-gransport-carbon-full-led-22cale-trofeo-ID6FWsCb.html
Maserati Levante Q4,218000,PLN,Prywatne,Maserati,Levante,Q4,2019,41 500 km,2 979 cm3,Benzyna,350 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),"14,20 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/maserati-levante-maserati-levante-2019-polift-piekna-konfiguracja-zamiana-ID6Gp2Kz.html
Maserati Ghibli,139900,PLN,Prywatne,Maserati,Ghibli,,2017,105 000 km,2 979 cm3,Benzyna,430 KM,Sedan,Manualna,4,5,Czerwony,Używane,Tak,4x4 (stały),,,,,https://www.otomoto.pl/osobowe/oferta/maserati-ghibli-maserati-ghibli-sq4-lifting-2017-bogato-wyposazony-ID6FtePd.html
Maserati Quattroporte GTS,170000,PLN,Prywatne,Maserati,Quattroporte,GTS,2015,105 264 km,3 799 cm3,Benzyna,530 KM,Sedan,Automatyczna,4,5,Czarny,Używane,Tak,Na tylne koła,15 l/100km,Tak,,Tak,https://www.otomoto.pl/osobowe/oferta/maserati-quattroporte-maserati-quattroporte-gts-nerissimo-3-8-530-km-ferrari-2016-ID6FnOS7.html
Maserati Ghibli S Q4 GranSport,319000,PLN,Prywatne,Maserati,Ghibli,S Q4 GranSport,2021,16 100 km,2 979 cm3,Benzyna,430 KM,Sedan,Automatyczna,4,5,Niebieski,Używane,Tak,4x4 (stały),"14,20 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/maserati-ghibli-wyjatkowe-ghibli-sq4-gransport-16-tys-km-3-0-v6-430km-ID6Gp25u.html
Maserati Ghibli S Q4,115497,PLN,Prywatne,Maserati,Ghibli,S Q4,2015,78 000 km,2 979 cm3,Benzyna,410 KM,Sedan,Automatyczna,4,5,Czarny,Używane,Tak,4x4 (stały),15 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/maserati-ghibli-zadbany-serwisowany-swiezo-wymienione-wszystkie-plyny-i-filtry-ID6Eygxc.html
Maserati Quattroporte S,79000,PLN,Prywatne,Maserati,Quattroporte,S,2010,83 000 km,4 691 cm3,Benzyna,430 KM,Sedan,Automatyczna,4,5,Czarny,Używane,Tak,Na tylne koła,23 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/maserati-quattroporte-maserati-quattroporte-s-4-7-v8-430km-lift-2010-momo-drewno-alcantara-ID6G9veP.html
Maserati Levante Diesel,145500,PLN,Prywatne,Maserati,Levante,Diesel,2016,219 120 km,2 987 cm3,Diesel,275 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/maserati-levante-maserati-levante-auto-serwisowane-bezwypadkowe-145500-vat-ID6EFhmh.html
