Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Mazda 6,82999,PLN,Prywatne,Mazda,6,,2018,159 000 km,2 488 cm3,Benzyna,194 KM,Sedan,Automatyczna,4,5,Szary,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/mazda-6-2-5-benzyna-194km-ID6G2gUm.html
Mazda CX-7 2.3T Energy,25500,PLN,Prywatne,Mazda,CX-7,2.3T Energy,2008,100 048 km,2 261 cm3,Benzyna,260 KM,SUV,Manualna,5,5,Szary,Używane,Tak,4x4 (stały),13 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/mazda-cx-7-mazda-cx7-2008-niski-przebieg-100-tys-ID6GgX6T.html
Mazda CX-5 2.2 D Skypassion,72000,PLN,Prywatne,Mazda,CX-5,2.2 D Skypassion,2015,119 500 km,2 191 cm3,Diesel,175 KM,SUV,Automatyczna,5,5,Inny kolor,Używane,Tak,4x4 (dołączany automatycznie),"6,70 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mazda-cx-5-mazda-cx-5-2-2d-automat-zadbana-bezwypadkowa-4x4-awd-ID6GcPxA.html
Mazda CX-7,22900,PLN,Prywatne,Mazda,CX-7,,2008,195 000 km,2 261 cm3,Benzyna,244 KM,SUV,Automatyczna,5,,Szary,Używane,Tak,4x4 (dołączany automatycznie),13 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/mazda-cx-7-mazda-cx-7-benzyna-ID6FVo2p.html
Mazda CX-3,74900,PLN,Firma,Mazda,CX-3,,2017,47 565 km,1 998 cm3,Benzyna,120 KM,SUV,Manualna,5,5,Niebieski,Używane,,Na przednie koła,7 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/mazda-cx-3-2-0-benzyna-120km-1wl-z-niemiec-47tkm-bogata-jak-z-fabryki-ID6GoGK6.html
Mazda CX-9,34800,PLN,Prywatne,Mazda,CX-9,,2008,204 271 km,3 720 cm3,Benzyna+LPG,277 KM,SUV,Automatyczna,5,7,Czarny,Używane,Tak,Na przednie koła,18 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/mazda-cx-9-mazda-cx-9-3-7-v6-2008r-ID6GdsmJ.html
Mazda MX-30 Prime Line,129900,PLN,Firma,Mazda,MX-30,Prime Line,2022,9 297 km,,Elektryczny,145 KM,SUV,Automatyczna,5,5,Szary,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mazda-mx-30-vat23-fullledapplecarplayandroidautogwarancja-producenta-ID6G7izo.html
Mazda 6 2.0 CD Exclusive,15400,PLN,Prywatne,Mazda,6,2.0 CD Exclusive,2009,248 000 km,1 998 cm3,Diesel,140 KM,Kombi,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mazda-6-mazda-2-0-cd-exclusive-ID6G0iFz.html
Mazda MX-5 1.6,35000,PLN,Prywatne,Mazda,MX-5,1.6,1997,152 000 km,1 598 cm3,Benzyna,90 KM,Kabriolet,Manualna,2,,Zielony,Używane,Tak,Na tylne koła,,,,,https://www.otomoto.pl/osobowe/oferta/mazda-mx-5-mx-5-miata-kabriolet-bdb-stan-sprowadzona-ID6Gp37j.html
Mazda 6 1.8 Comfort,15440,PLN,Prywatne,Mazda,6,1.8 Comfort,2008,212 218 km,1 798 cm3,Benzyna,120 KM,Sedan,Manualna,4,5,Czarny,Używane,Tak,Na przednie koła,9 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mazda-6-mazda-6-ii-1-8-comfort-ID6G9qpi.html
Mazda 3 2.0 Skyenergy,54900,PLN,Prywatne,Mazda,3,2.0 Skyenergy,2015,148 100 km,1 998 cm3,Benzyna,120 KM,Sedan,Automatyczna,4,5,Bordowy,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mazda-3-polski-salon-automat-bardzo-ladny-stan-ID6GbBQh.html
Mazda CX-3,43999,PLN,Prywatne,Mazda,CX-3,,2015,187 000 km,1 499 cm3,Diesel,105 KM,SUV,Manualna,5,,Czarny,Używane,Tak,,,,Tak,,https://www.otomoto.pl/osobowe/oferta/mazda-cx-3-exclusive-stylowa-z-pazurem-czarna-perla-navi-podgrz-fot-asystent-lini-ID6GpPWv.html
Mazda CX-30 2.0 mHEV Hikari 2WD,99900,PLN,Prywatne,Mazda,CX-30,2.0 mHEV Hikari 2WD,2019,54 000 km,1 998 cm3,Benzyna,122 KM,SUV,Automatyczna,5,5,Szary,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mazda-cx-30-automat-54-tys-km-salon-polska-bezwypadkowy-gwarancja-do-2025-okazja-ID6GpPSH.html
Mazda CX-3 SKYACTIV-G 120 SKYACTIV-Drive FWD Sports-Line,73900,PLN,Prywatne,Mazda,CX-3,SKYACTIV-G 120 SKYACTIV-Drive FWD Sports-Line,2019,60 700 km,1 998 cm3,Benzyna,120 KM,SUV,Automatyczna,5,,Inny kolor,Używane,Tak,Na przednie koła,"7,30 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/mazda-cx-3-benzyna-maly-przebieg-full-led-automat-ID6Gp34K.html
Mazda 6 2.0 SKYACTIV-G Sports-Line,45800,PLN,Prywatne,Mazda,6,2.0 SKYACTIV-G Sports-Line,2013,183 600 km,1 998 cm3,Benzyna,165 KM,Sedan,Manualna,4,,Czarny,Używane,Tak,Na przednie koła,"7,60 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/mazda-6-2-0-benzyna-skyactiv-g-165km-sedan-bezwypadkowy-stan-bdb-ID6Gl9fp.html
Mazda CX-3 SKYACTIV-G 120 FWD Exclusive-Line,59900,PLN,Prywatne,Mazda,CX-3,SKYACTIV-G 120 FWD Exclusive-Line,2016,58 870 km,1 998 cm3,Benzyna,120 KM,SUV,Manualna,5,5,Błękitny,Używane,Tak,Na przednie koła,"7,40 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/mazda-cx-3-polecam-bardzo-ladne-auto-ID6GaKra.html
Mazda 3,15500,PLN,Prywatne,Mazda,3,,2007,180 000 km,1 999 cm3,Benzyna,149 KM,Kompakt,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,10 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mazda-3-mazda-3-2007-180-000-km-ID6GpxHG.html
Mazda 6 Sport 2.0 MZR DISI Exclusive-Line Edition 40 Jahre,31999,PLN,Prywatne,Mazda,6,Sport 2.0 MZR DISI Exclusive-Line Edition 40 Jahre,2011,115 650 km,1 999 cm3,Benzyna,155 KM,Sedan,Manualna,5,5,Niebieski,Używane,Tak,Na przednie koła,9 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/mazda-6-mazda-6-2-0-115oootys-km-czujniki-parkowania-parkowania-piekny-kolor-ID6GeMHS.html
Mazda 2 1.3 MZR Edition,21999,PLN,Prywatne,Mazda,2,1.3 MZR Edition,2011,149 680 km,1 349 cm3,Benzyna,75 KM,Kompakt,Manualna,5,4,Czerwony,Używane,Tak,Na przednie koła,"6,20 l/100km",,Tak,,https://www.otomoto.pl/osobowe/oferta/mazda-2-mazda-2-1-3-piekny-kolor-czerwon-perla-grzane-fotele-klima-org-lakier-ID6GpPAZ.html
Mazda 5 2.0 Active,26900,PLN,Prywatne,Mazda,5,2.0 Active,2010,180 000 km,1 999 cm3,Benzyna,145 KM,Minivan,Manualna,5,7,Błękitny,Używane,Tak,Na przednie koła,"10,60 l/100km",,Tak,,https://www.otomoto.pl/osobowe/oferta/mazda-5-xenon-klimatron-sprowadzony-oplacony-ID6FYuuW.html
