Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
MG HS 1.5 T-GDI Exclusive,119550,PLN,Firma,MG,HS,1.5 T-GDI Exclusive,2023,1 km,1 490 cm3,Benzyna,162 KM,SUV,Manualna,5,5,Czarny,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/mg-hs-1-5-t-gdi-exclusive-162km-ID6Gmgdx.html
MG HS 1.5 T-GDI Excite DCT,117450,PLN,Firma,MG,HS,1.5 T-GDI Excite DCT,2023,1 km,1 490 cm3,Benzyna,162 KM,SUV,Automatyczna,5,5,Srebrny,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/mg-hs-od-reki-1-5-tgi-excite-at-162km-podgrzewane-przednie-fotele-ID6GlCqj.html
MG HS 1.5 T-GDI Exclusive DCT,125750,PLN,Prywatne,MG,HS,1.5 T-GDI Exclusive DCT,2024,3 km,1 490 cm3,Benzyna,162 KM,SUV,Automatyczna,5,5,Srebrny,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mg-hs-nowy-nie-rejestrowany-2024-mg-hs-1-5-t-gdi-exclusive-dct-automat-ID6Gpy5Y.html
MG 4,144150,PLN,Firma,MG,4,,2023,1 km,,Elektryczny,204 KM,Kompakt,Automatyczna,5,5,Czarny,Nowe,,Na tylne koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/mg-4-od-reki-64kwh-204km-comfort-ID6Go5F7.html
MG 4,152850,PLN,Firma,MG,4,,2024,9 km,,Elektryczny,204 KM,Auta miejskie,Automatyczna,5,5,Czerwony,Nowe,Tak,Na tylne koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/mg-4-mg-4-auto-od-reki-elektryk-gwarancja-7-lat-luxury-64-kwh-ID6GpwT3.html
MG MGF,12000,PLN,Prywatne,MG,MGF,,1997,134 000 km,1 796 cm3,Benzyna,120 KM,Kabriolet,Manualna,2,2,Czerwony,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mg-mgf-mgf-do-sprzedania-ID6GpmVY.html
MG ZS 1.5 VTi-Tech Excite,82050,PLN,Firma,MG,ZS,1.5 VTi-Tech Excite,2023,1 km,1 498 cm3,Benzyna,106 KM,SUV,Manualna,5,5,Czerwony,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/mg-zs-od-reki-1-5-vti-tech-excite-106km-ID6GlCRM.html
MG Midget,30000,PLN,Prywatne,MG,Midget,,1975,50 000 km,1 500 cm3,Benzyna,100 KM,Kabriolet,Manualna,2,,Zielony,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/mg-midget-mg-midget-cabrio-ID6Gp6da.html
MG Midget,39000,PLN,Prywatne,MG,Midget,,1977,45 200 km,1 492 cm3,Benzyna,68 KM,Kabriolet,Manualna,2,,Złoty,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/mg-midget-mg-midget-1977-ID6GanxC.html
MG ZS 1.5 VTi-Tech Exclusive,88450,PLN,Firma,MG,ZS,1.5 VTi-Tech Exclusive,2023,10 km,1 498 cm3,Benzyna,106 KM,Kompakt,Manualna,5,,Srebrny,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/mg-zs-mg-zs-exclusive-1-5-106km-od-reki-7-lat-gwarancji-150-000km-ID6Gdefu.html
