Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Microcar M.GO,25500,PLN,Prywatne,Microcar,M.GO,,2012,21 000 km,440 cm3,Diesel,5 KM,Auta małe,Automatyczna,2,,Czarny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/microcar-m-go-dci-led-alu-airbag-l6e-bez-prawka-b-am-transport-ID6GosJl.html
Microcar Inny,8000,PLN,Prywatne,Microcar,Inny,,2005,37 720 km,505 cm3,Diesel,4 KM,Auta miejskie,Automatyczna,3,2,Niebieski,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/microcar-jdm-titane-ID6GoZZy.html
Microcar Ligier,14900,PLN,Prywatne,Microcar,Ligier,,2022,14 400 km,478 cm3,Diesel,8 KM,Auta małe,Automatyczna,2,,Czerwony,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/microcar-ligier-ligier-js50-ID6GpCju.html
Microcar DUE,34600,PLN,Prywatne,Microcar,DUE,,2019,24 000 km,498 cm3,Diesel,8 KM,Auta małe,Automatyczna,2,2,Biały,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/microcar-due-ledy-alufelgi-piekny-am-l6e-bez-prawka-b-transport-ID6Gk1Mu.html
Microcar MC,13000,PLN,Prywatne,Microcar,MC,,2005,107 000 km,505 cm3,Benzyna,20 KM,Auta miejskie,Automatyczna,3,4,Błękitny,Używane,Tak,Na przednie koła,,Tak,Tak,Tak,https://www.otomoto.pl/osobowe/oferta/microcar-mc-microcar-mc1-l7e-ID6GiYbZ.html
Microcar M.GO,20000,PLN,Prywatne,Microcar,M.GO,,2011,67 000 km,440 cm3,Diesel,5 KM,Auta małe,Automatyczna,3,2,Błękitny,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/microcar-m-go-piekny-zadbany-microcar-ID6Gp8bG.html
Microcar M.GO,19500,PLN,Prywatne,Microcar,M.GO,,2012,71 000 km,490 cm3,Diesel,5 KM,Auta małe,Automatyczna,3,2,Niebieski,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/microcar-m-go-microcar-bez-prawka-b-od-14-lat-czterokolowiec-lekki-l6e-ID6GosBy.html
Microcar MC,13900,PLN,Prywatne,Microcar,MC,,2008,68 746 km,523 cm3,Diesel,5 KM,Auta małe,Automatyczna,3,2,Srebrny,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/microcar-mc-ID6Gicbv.html
Microcar Ligier,14900,PLN,Prywatne,Microcar,Ligier,,2006,6 025 km,505 cm3,Diesel,5 KM,Auta małe,Automatyczna,3,2,Błękitny,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/microcar-ligier-microcar-przebieg-tylko-6tys-km-ligier-ID6Gm5MZ.html
Microcar Inny,11900,PLN,Prywatne,Microcar,Inny,,2009,49 000 km,523 cm3,Diesel,5 KM,Auta miejskie,Automatyczna,3,2,Fioletowy,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/microcar-chatenet-ch26-kategoria-l6e-stanbardzodobry-niski-przebieg-49tys-ID6GhN3F.html
Microcar M.GO,16900,PLN,Prywatne,Microcar,M.GO,,2017,20 000 km,478 cm3,Diesel,8 KM,Auta miejskie,Automatyczna,3,,Biały,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/microcar-m-go-ID6GptPx.html
Microcar Inny,22000,PLN,Prywatne,Microcar,Inny,,2003,136 000 km,799 cm3,Diesel,20 KM,Kabriolet,Automatyczna,2,,Czarny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/microcar-smart-kat-b1-ID6Gn9ZB.html
Microcar DUE,31500,PLN,Prywatne,Microcar,DUE,,2022,866 km,478 cm3,Diesel,8 KM,Auta małe,Automatyczna,3,2,Biały,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/microcar-due-przebieg-866km-jak-nowy-ID6GoypU.html
Microcar Inny,48950,PLN,Prywatne,Microcar,Inny,,2018,28 800 km,,Elektryczny,21 KM,Auta małe,Automatyczna,3,2,Niebieski,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/microcar-zhidou-d2s-l7e-kat-b1-gt-sport-aixam-ID6G1Riz.html
Microcar M.GO,39900,PLN,Firma,Microcar,M.GO,,2020,4 486 km,480 cm3,Diesel,8 KM,Auta małe,Automatyczna,3,2,Brązowy,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/microcar-m-go-gwarancja-transport-ID6GmKCU.html
Microcar M.GO,42700,PLN,Firma,Microcar,M.GO,,2021,17 094 km,480 cm3,Diesel,8 KM,Auta małe,Automatyczna,3,2,Niebieski,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/microcar-m-go-highland-gwarancja-transport-dci-ID6GmKB8.html
Microcar M.GO,40900,PLN,Firma,Microcar,M.GO,,2023,9 300 km,498 cm3,Diesel,5 KM,Auta małe,Automatyczna,3,2,Czarny,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/microcar-m-go-gwarancja-transport-ID6GmK6z.html
