Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
MINI Cooper Standard,22222,PLN,Prywatne,MINI,Cooper,Standard,2007,140 690 km,1 598 cm3,Benzyna,120 KM,Auta małe,Manualna,3,4,Zielony,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mini-cooper-doinwestowane-bez-wkladu-ID6FXu60.html
MINI Countryman Cooper S,159900,PLN,Firma,MINI,Countryman,Cooper S,2023,20 000 km,1 998 cm3,Benzyna,178 KM,SUV,Automatyczna,5,5,Czerwony,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mini-countryman-cooper-s-178-km-demo-23-od-reki-kamera-cofania-pakiet-serwis-ID6Gchdk.html
MINI Inny,176500,PLN,Firma,MINI,Inny,,2023,5 km,1 998 cm3,Benzyna,178 KM,Kabriolet,Automatyczna,3,4,Czarny,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/mini-cabrio-cooper-s-dostepny-od-reki-ID6FWWlk.html
MINI Cooper,67500,PLN,Prywatne,MINI,Cooper,,2016,54 500 km,1 598 cm3,Benzyna,120 KM,Sedan,Manualna,3,4,Czarny,Używane,Tak,Na przednie koła,"6,90 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-cabrio-ID6Gp3d0.html
MINI Cooper S,50000,PLN,Prywatne,MINI,Cooper S,,2015,70 000 km,1 598 cm3,Benzyna,184 KM,Kabriolet,Manualna,2,2,Niebieski,Używane,Tak,Na przednie koła,"7,50 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-rzadki-egzemplarz-70-tys-przebiegu-ID6G1anW.html
MINI Paceman Cooper S,45900,PLN,Prywatne,MINI,Paceman,Cooper S,2013,146 700 km,1 598 cm3,Benzyna,184 KM,SUV,Manualna,3,4,Biały,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mini-paceman-john-cooper-works-harman-kardon-ID6Gp3du.html
MINI Countryman Cooper ALL4 Classic Trim,153990,PLN,Firma,MINI,Countryman,Cooper ALL4 Classic Trim,2023,10 km,1 499 cm3,Benzyna,136 KM,SUV,Automatyczna,5,5,Biały,Używane,,4x4 (stały),,,,,https://www.otomoto.pl/osobowe/oferta/mini-countryman-cooper-all4-136km-dostepny-od-reki-ID6GfZW9.html
MINI Countryman Cooper,134900,PLN,Firma,MINI,Countryman,Cooper,2023,8 864 km,1 499 cm3,Benzyna,136 KM,SUV,Automatyczna,5,5,Szary,Używane,,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mini-countryman-mini-countryman-cooper-przedluzona-gwarancja-do-3-lat-ID6GcT2S.html
MINI ONE Standard,15499,PLN,Prywatne,MINI,ONE,Standard,2008,193 000 km,1 397 cm3,Benzyna,95 KM,Auta małe,Manualna,3,,Żółty,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mini-one-cooper-sliczny-czysciutki-nowe-opony-ID6Gk4uy.html
MINI Countryman Cooper ALL4,155900,PLN,Firma,MINI,Countryman,Cooper ALL4,2023,9 000 km,1 499 cm3,Benzyna,136 KM,SUV,Automatyczna,5,5,Srebrny,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/mini-countryman-od-reki-4x4-panorama-ID6Gn05l.html
