Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Mitsubishi Lancer Evo IX,145000,PLN,Prywatne,Mitsubishi,Lancer,Evo IX,2006,148 000 km,1 997 cm3,Benzyna,280 KM,Kompakt,Manualna,4,5,Srebrny,Używane,Tak,4x4 (stały),13 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/mitsubishi-lancer-mitsubishi-lancer-evolution-ix-9-mr-lhd-org-przebieg-ID6Gp3fp.html
Mitsubishi Lancer 1.6 Invite,25000,PLN,Prywatne,Mitsubishi,Lancer,1.6 Invite,2011,170 000 km,1 590 cm3,Benzyna,117 KM,Kompakt,Manualna,5,5,Bordowy,Używane,Tak,Na przednie koła,7 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/mitsubishi-lancer-piekne-salon-pl-drugi-wlasciciel-okazja-ID6GoMIE.html
Mitsubishi Lancer,29000,PLN,Prywatne,Mitsubishi,Lancer,,2008,175 000 km,1 798 cm3,Benzyna,143 KM,Kompakt,Manualna,5,5,Srebrny,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/mitsubishi-lancer-mitsubishi-lancer-1-8-ID6GpQvn.html
Mitsubishi ASX 1.8 DID Instyle 4WD AS&G,32900,PLN,Prywatne,Mitsubishi,ASX,1.8 DID Instyle 4WD AS&G,2011,213 000 km,1 798 cm3,Diesel,150 KM,SUV,Manualna,5,,Granatowy,Używane,Tak,4x4 (stały),7 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/mitsubishi-asx-po-duzym-serwisie-zadzwon-ID6GpQwB.html
Mitsubishi Pajero 3.5 V6 GDI (lea),29000,PLN,Prywatne,Mitsubishi,Pajero,3.5 V6 GDI (lea),2002,108 000 km,3 497 cm3,Benzyna,202 KM,SUV,Automatyczna,5,5,Srebrny,Używane,Tak,4x4 (dołączany ręcznie),20 l/100km,Tak,,Tak,https://www.otomoto.pl/osobowe/oferta/mitsubishi-pajero-pajero-off-road-super-stan-niski-przebieg-ID6Gp3bf.html
Mitsubishi ASX 1.6 Intense AS&G,39900,PLN,Firma,Mitsubishi,ASX,1.6 Intense AS&G,2011,116 000 km,1 590 cm3,Benzyna,117 KM,SUV,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mitsubishi-asx-1-6i-nawigacja-zobacz-jaki-sliczny-ostrowek1-ID6GoJ4F.html
Mitsubishi ASX 1.6 Invite,66900,PLN,Prywatne,Mitsubishi,ASX,1.6 Invite,2019,91 000 km,1 590 cm3,Benzyna+LPG,117 KM,SUV,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mitsubishi-asx-mitsubishi-asx-1-6-invite-lpg-ID6GhSsp.html
Mitsubishi Space Star 1.2 Invite SDA CVT,73900,PLN,Firma,Mitsubishi,Space Star,1.2 Invite SDA CVT,2023,1 km,1 193 cm3,Benzyna,71 KM,Auta małe,Automatyczna,5,5,Czerwony,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/mitsubishi-space-star-1-2-invite-sda-cvt-od-reki-ID6GpDdZ.html
Mitsubishi Outlander 2.0 Instyle SDA 4WD CVT,109550,PLN,Prywatne,Mitsubishi,Outlander,2.0 Instyle SDA 4WD CVT,2017,54 000 km,1 998 cm3,Benzyna,150 KM,SUV,Automatyczna,5,7,Czarny,Używane,Tak,4x4 (dołączany ręcznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mitsubishi-outlander-zadbany-malo-uzywany-garazowany-niski-przebieg-aso-ID6GetEW.html
Mitsubishi L200 2.4 d DC Black Edition EU6,110000,PLN,Prywatne,Mitsubishi,L200,2.4 d DC Black Edition EU6,2015,110 000 km,2 442 cm3,Diesel,181 KM,SUV,Automatyczna,4,5,Zielony,Używane,Tak,4x4 (dołączany automatycznie),9 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/mitsubishi-l200-samochod-mitsubishi-l200-2015-ID6GpOq8.html
Mitsubishi Outlander,34900,PLN,Prywatne,Mitsubishi,Outlander,,2010,149 000 km,1 968 cm3,Diesel,140 KM,SUV,Manualna,5,5,Srebrny,Używane,Tak,4x4 (dołączany ręcznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/mitsubishi-outlander-mitsubishi-outlander-2-0-4x4-awd-niski-przebieg-hak-kamera-cofania-ID6Gp2JB.html
Mitsubishi ASX,53900,PLN,Firma,Mitsubishi,ASX,,2017,148 366 km,1 590 cm3,Benzyna,117 KM,SUV,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,"7,40 l/100km",,Tak,,https://www.otomoto.pl/osobowe/oferta/mitsubishi-asx-diamant-edit-top-stan-keyfree-led-xenon-kamera-tempo-grz-fot-serwisaso-ID6GnekC.html
Mitsubishi Pajero,49500,PLN,Prywatne,Mitsubishi,Pajero,,2008,320 000 km,3 200 cm3,Diesel,170 KM,SUV,Automatyczna,5,7,Złoty,Używane,Tak,4x4 (dołączany ręcznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mitsubishi-pajero-pajero-polski-salon-bezwypadkowy-ID6GoxCS.html
Mitsubishi Colt 1.1 Inform Cleartec,10900,PLN,Prywatne,Mitsubishi,Colt,1.1 Inform Cleartec,2008,161 292 km,1 124 cm3,Benzyna,75 KM,Kompakt,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/mitsubishi-colt-5-drzwi-klima-zapraszam-ID6G9ErY.html
Mitsubishi Eclipse Cross 1.5 T GPF Intense CVT,81990,PLN,Prywatne,Mitsubishi,Eclipse Cross,1.5 T GPF Intense CVT,2018,101 000 km,1 499 cm3,Benzyna,163 KM,SUV,Automatyczna,5,5,Szary,Używane,Tak,Na przednie koła,7 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/mitsubishi-eclipse-cross-mitsubishi-eclipse-cross-zadbany-salon-polska-gotowy-do-jazdy-fv-ID6GcPjO.html
Mitsubishi Outlander,75000,PLN,Prywatne,Mitsubishi,Outlander,,2019,56 200 km,1 998 cm3,Benzyna,149 KM,SUV,Automatyczna,5,5,Inny kolor,Używane,Tak,4x4 (dołączany ręcznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mitsubishi-outlander-wlasciciel-stan-bardzo-dobry-ID6FRWga.html
Mitsubishi ASX 1.8 DID Instyle NAVI 4WD AS&G,34999,PLN,Prywatne,Mitsubishi,ASX,1.8 DID Instyle NAVI 4WD AS&G,2011,218 131 km,1 798 cm3,Diesel,150 KM,Auta miejskie,Manualna,5,5,Biały,Używane,Tak,4x4 (dołączany ręcznie),6 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/mitsubishi-asx-mitsubishi-asx-1-8-diesel-150-km-4-4-skora-xenon-panorama-kamera-ID6GpNml.html
Mitsubishi Outlander 2.0 Intense 2WD,36999,PLN,Prywatne,Mitsubishi,Outlander,2.0 Intense 2WD,2012,204 000 km,1 998 cm3,Benzyna,147 KM,SUV,Manualna,5,5,Beżowy,Używane,Tak,Na przednie koła,10 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mitsubishi-outlander-mitsubishi-outlander-2-0-mivec-salon-polska-zabezpieczone-podwozie-ID6GjsYU.html
Mitsubishi ASX 1.6 2WD Invite,50000,PLN,Prywatne,Mitsubishi,ASX,1.6 2WD Invite,2016,109 000 km,1 590 cm3,Benzyna,117 KM,SUV,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,"7,40 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/mitsubishi-asx-1-6-benzyna-fabryczny-lakier-niski-przebieg-ID6Gp22y.html
