Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Nissan Qashqai 1.6 DCi 4x4 N-Connecta,62800,PLN,Prywatne,Nissan,Qashqai,1.6 DCi 4x4 N-Connecta,2016,117 000 km,1 598 cm3,Diesel,130 KM,SUV,Manualna,5,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),5 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/nissan-qashqai-4x4-1-6-ID6FOFVT.html
Nissan Juke 1.5 dCi Tekna,32000,PLN,Prywatne,Nissan,Juke,1.5 dCi Tekna,2010,180 000 km,1 461 cm3,Diesel,110 KM,SUV,Manualna,5,,Bordowy,Używane,Tak,Na przednie koła,4 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/nissan-juke-full-opcja-kamery-czujniki-ID6FJVpB.html
Nissan Tiida 1.6 Tekna,17900,PLN,Firma,Nissan,Tiida,1.6 Tekna,2010,181 627 km,1 598 cm3,Benzyna,110 KM,Kompakt,Manualna,5,5,Szary,Używane,Tak,,8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/nissan-tiida-super-stan-klimatronik-2-komplety-alu-zarejestrowany-ID6Gp3eo.html
Nissan Micra 1.2 Tekna,21500,PLN,Firma,Nissan,Micra,1.2 Tekna,2016,199 000 km,1 198 cm3,Benzyna,80 KM,Auta miejskie,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/nissan-micra-klimatyzacja-bezwypadkowy-alu-2016-super-stan-ID6GoVEG.html
Nissan Juke,51900,PLN,Prywatne,Nissan,Juke,,2017,86 000 km,1 197 cm3,Benzyna,115 KM,Auta miejskie,Manualna,5,5,Czerwony,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/nissan-juke-nissan-juke-dig-t-mt-n-connecta-salon-polska-i-wlasciciel-ID6Gp2Jj.html
Nissan Juke,54800,PLN,Prywatne,Nissan,Juke,,2018,96 500 km,1 598 cm3,Benzyna,117 KM,Kompakt,Automatyczna,4,5,Biały,Używane,Tak,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/nissan-juke-key-less-go-nawigacja-kamera-360-asystent-pasa-martwe-pole-alcantara-ID6Gp3bk.html
Nissan X-Trail 1.5 VC-T e-POWER N-Connecta 2WD,166400,PLN,Firma,Nissan,X-Trail,1.5 VC-T e-POWER N-Connecta 2WD,2022,10 km,1 497 cm3,Benzyna,158 KM,SUV,Automatyczna,5,5,Pomarańczowy,Nowe,,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/nissan-x-trail-hybryda-podgrzewane-przednie-i-tylne-fotele-ID6GgFqn.html
Nissan Leaf 40kWh N-Connecta,119900,PLN,Firma,Nissan,Leaf,40kWh N-Connecta,2023,5 km,,Elektryczny,150 KM,Kompakt,Automatyczna,5,5,Biały,Nowe,,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/nissan-leaf-nissan-leaf-n-connecta-pakiet-led-dotacja-ID6Gkorl.html
Nissan Almera II 2.2 dCi Acenta,4000,PLN,Prywatne,Nissan,Almera,II 2.2 dCi Acenta,2001,266 000 km,2 184 cm3,Diesel,112 KM,SUV,Manualna,5,5,Srebrny,Używane,Tak,Na przednie koła,8 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/nissan-almera-sprzedam-nissan-almera-tino-2001-ID6Gp38H.html
Nissan Qashqai 1.5 dCi Acenta,47800,PLN,Prywatne,Nissan,Qashqai,1.5 dCi Acenta,2014,150 960 km,1 461 cm3,Diesel,110 KM,SUV,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,4 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/nissan-qashqai-150tys-km-zadbany-serwis-ID6Gei9G.html
