Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Polonez 1.6,25000,PLN,Prywatne,Polonez,1.6,,1997,189 373 km,1 598 cm3,Benzyna,88 KM,Kompakt,Manualna,4,5,Zielony,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-1-6-pierwszy-wlasciciel-auto-po-renowacji-garazowany-ID6GiVQF.html
Polonez Caro,9700,PLN,Prywatne,Polonez,Caro,,1993,29 800 km,1 600 cm3,Benzyna,76 KM,Sedan,Manualna,5,5,Srebrny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-polonez-caro-1-6-gle-ID6GpBAE.html
Polonez 1.5,55000,PLN,Prywatne,Polonez,1.5,,1981,70 000 km,1 481 cm3,Benzyna,82 KM,Kombi,Manualna,5,5,Pomarańczowy,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-1-5-ID6Gpxlq.html
Polonez 1.5,33000,PLN,Prywatne,Polonez,1.5,,1984,63 679 km,1 481 cm3,Benzyna,82 KM,Sedan,Manualna,4,5,Pomarańczowy,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-1-5-1500-borewicz-kryzys-piekne-wnetrze-oryginalny-stan-ID6Gpw8o.html
Polonez Caro,17900,PLN,Prywatne,Polonez,Caro,,1997,72 370 km,1 598 cm3,Benzyna,76 KM,Sedan,Manualna,5,5,Zielony,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-polonez-caro-plus-w-bardzo-dobrym-stanie-ID6Gp8eK.html
Polonez Inny,25000,PLN,Prywatne,Polonez,Inny,,1987,15 429 km,1 598 cm3,Benzyna,86 KM,Sedan,Manualna,5,5,Inny kolor,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-polonez-1-6-sle-ID6Gp7wi.html
Polonez 1.6,13999,PLN,Prywatne,Polonez,1.6,,1993,72 700 km,1 598 cm3,Benzyna,87 KM,Kompakt,Manualna,5,,Zielony,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-1-6-polonez-1-6-gle-stan-kolekcjonerski-ID6GjDEV.html
Polonez Caro,2999,PLN,Prywatne,Polonez,Caro,,1995,236 000 km,1 481 cm3,Benzyna+LPG,87 KM,Sedan,Manualna,5,5,Inny kolor,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-polonez-caro-sprzedam-ID6Gn3Hu.html
Polonez 1.5,3800,PLN,Prywatne,Polonez,1.5,,1992,46 200 km,1 500 cm3,Benzyna,54 KM,Auta miejskie,Manualna,5,,Czerwony,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-1-5-zdrowy-zarejestrowany-garazowany-ID6GpNDz.html
Polonez Caro,19900,PLN,Prywatne,Polonez,Caro,,1994,93 000 km,1 598 cm3,Benzyna,77 KM,Kompakt,Manualna,5,5,Srebrny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-30-latek-w-idealnym-stanie-ID6GmaVO.html
Polonez Atu,7000,PLN,Prywatne,Polonez,Atu,,1998,48 000 km,1 598 cm3,Benzyna,55 KM,Sedan,Manualna,4,5,Czerwony,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-atu-polonez-atu-plus-ID6Gn0cY.html
Polonez Caro,13000,PLN,Prywatne,Polonez,Caro,,1997,36 887 km,1 598 cm3,Benzyna,77 KM,Sedan,Manualna,5,5,Czerwony,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-pierwszy-wlasciciel-niski-przebieg-37-tys-km-ID6GpLti.html
Polonez 1.5,30500,PLN,Prywatne,Polonez,1.5,,1986,1 234 km,1 481 cm3,Benzyna,75 KM,Kompakt,Manualna,5,5,Czerwony,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-1-5-polonez-borewicz-z-1986-r-1-5-ID6Gnb2S.html
Polonez 1.5,14900,PLN,Prywatne,Polonez,1.5,,1981,103 000 km,1 481 cm3,Benzyna,75 KM,Auta miejskie,Manualna,5,5,Zielony,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-1-5-polonez-borewicz-1981-ID6GoxCj.html
Polonez Caro,13500,PLN,Prywatne,Polonez,Caro,,2000,105 000 km,1 598 cm3,Benzyna,86 KM,Kompakt,Manualna,5,5,Srebrny,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-ID6FkVLi.html
Polonez Atu,3499,PLN,Prywatne,Polonez,Atu,,2000,166 000 km,1 598 cm3,Benzyna+LPG,77 KM,Sedan,Manualna,4,5,Bordowy,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-atu-polonez-atu-plus-1-6-lpg-hak-r-2000-ID6GmLaP.html
Polonez Caro,12000,PLN,Prywatne,Polonez,Caro,,1994,48 053 km,1 598 cm3,Benzyna,79 KM,Kompakt,Manualna,5,5,Zielony,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-polonez-caro-1-6-gle-auto-garazowane-super-stan-jak-na-30-latka-ID6GoX4S.html
Polonez Atu,13900,PLN,Prywatne,Polonez,Atu,,1997,79 634 km,1 600 cm3,Benzyna,78 KM,Sedan,Manualna,4,5,Beżowy,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-atu-polonez-atu-stan-bardzo-dobry-ID6GotRa.html
Polonez 1.5,29333,PLN,Prywatne,Polonez,1.5,,1989,59 196 km,1 481 cm3,Benzyna,75 KM,Kompakt,Manualna,5,5,Biały,Używane,,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-1-5-polonez-1-5-sle-ID6Go7Q1.html
Polonez Caro,8700,PLN,Prywatne,Polonez,Caro,,1996,145 050 km,1 598 cm3,Benzyna+LPG,77 KM,Kompakt,Manualna,5,,Inny kolor,Używane,Tak,,,Tak,,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-polonez-caro-ID6G3ylj.html
Polonez Caro,18490,PLN,Firma,Polonez,Caro,,1997,54 525 km,1 598 cm3,Benzyna,78 KM,Kompakt,Manualna,5,5,Beżowy,Używane,,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-polonez-caro-plus-ID6GmDi4.html
Polonez Atu,17000,PLN,Prywatne,Polonez,Atu,,1997,135 246 km,1 398 cm3,Benzyna,74 KM,Sedan,Manualna,5,5,Zielony,Używane,Tak,Na tylne koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/polonez-atu-ID6GoWN9.html
Polonez 1.5,79900,PLN,Prywatne,Polonez,1.5,,1986,83 625 km,1 481 cm3,Benzyna,76 KM,Kompakt,Manualna,5,5,Biały,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-1-5-tzw-borewicz-stan-100-oryginal-1-wlasciciel-rachunek-zakupu-ID6Go3ZL.html
Polonez 1.5,35500,PLN,Prywatne,Polonez,1.5,,1989,45 392 km,1 481 cm3,Benzyna,75 KM,Sedan,Manualna,5,5,Biały,Używane,Tak,Na tylne koła,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-1-5-dla-kolekcjonera-ID6FYxjt.html
Polonez Caro,15000,PLN,Prywatne,Polonez,Caro,,1995,48 000 km,1 598 cm3,Benzyna,75 KM,Sedan,Manualna,5,5,Beżowy,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-1-6gli-wersja-export-lakier-oryginal-wspomaganie-alu-idealny-ID6GkWyy.html
Polonez Caro,7900,PLN,Prywatne,Polonez,Caro,,1996,96 200 km,1 598 cm3,Benzyna,87 KM,Kompakt,Manualna,5,5,Inny kolor,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-przebieg-96-200-km-jeden-wlasciciel-ID6GnXHL.html
Polonez Caro,15000,PLN,Prywatne,Polonez,Caro,,1995,54 738 km,1 598 cm3,Benzyna,87 KM,Kombi,Manualna,5,5,Zielony,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-ID6GgvXv.html
Polonez 1.5,35700,PLN,Prywatne,Polonez,1.5,,1991,63 500 km,1 481 cm3,Benzyna,75 KM,Sedan,Manualna,5,,Czerwony,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-1-5-fso-polonez-1-5-oryginalny-stan-ID6GlRVF.html
Polonez Caro,24999,PLN,Firma,Polonez,Caro,,1994,82 000 km,1 598 cm3,Benzyna,87 KM,Sedan,Manualna,4,5,Czerwony,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-jeden-wlasciciel-czarne-tablice-ksiazka-serwisowa-super-stan-klasy-ID6GlRbc.html
Polonez Caro,35000,PLN,Prywatne,Polonez,Caro,,1999,48 225 km,1 598 cm3,Benzyna,77 KM,Coupe,Manualna,5,5,Zielony,Używane,Tak,,,Tak,,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-polonez-caro-plus-fso1-6-gli-stan-bardzo-dobry-ID6GpivZ.html
Polonez 1.5,28500,PLN,Prywatne,Polonez,1.5,,1989,33 428 km,1 592 cm3,Benzyna,75 KM,Kompakt,Manualna,5,,Czerwony,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-1-5-perelka-pierwszy-wlasciciel-niski-przebieg-czarne-tablice-ID6GoO1A.html
Polonez Caro,9900,PLN,Firma,Polonez,Caro,,1997,72 238 km,1 598 cm3,Benzyna+LPG,77 KM,Kompakt,Manualna,5,5,Biały,Używane,Tak,Na tylne koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-fso-polonez-caro-1-6-polski-salon-ID6GoQPk.html
Polonez Caro,6499,PLN,Prywatne,Polonez,Caro,,1998,152 109 km,1 598 cm3,Benzyna+LPG,76 KM,Sedan,Manualna,5,5,Srebrny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-polonez-caro-1-6-1998r-benz-lpg-ID6Gmjq3.html
Polonez Caro,8000,PLN,Prywatne,Polonez,Caro,,1998,135 000 km,1 598 cm3,Benzyna,77 KM,Kompakt,Manualna,5,5,Bordowy,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-polonez-caro-plus-1-6-gsi-w-bardzo-dobrym-stanie-ID6Gp9KI.html
Polonez Atu,19900,PLN,Prywatne,Polonez,Atu,,1998,87 000 km,1 598 cm3,Benzyna,76 KM,Sedan,Manualna,4,5,Beżowy,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-atu-polonez-atu-plus-1-6gli-ID6FWdKY.html
Polonez Caro,65000,PLN,Prywatne,Polonez,Caro,,1991,10 577 km,1 481 cm3,Benzyna,82 KM,Sedan,Manualna,4,,Szary,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-fabryczny-polonez-ID6GlAfR.html
Polonez Caro,18000,PLN,Prywatne,Polonez,Caro,,1993,97 171 km,1 598 cm3,Benzyna,77 KM,Coupe,Manualna,5,5,Biały,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-ID6GhhWv.html
Polonez 1.5,21000,PLN,Prywatne,Polonez,1.5,,1980,12 345 km,1 500 cm3,Benzyna+LPG,80 KM,Kompakt,Manualna,5,4,Biały,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-1-5-polonez-borewicz-1980-ID6G5QiY.html
Polonez Caro,6000,PLN,Prywatne,Polonez,Caro,,1995,59 000 km,1 905 cm3,Diesel,69 KM,Kompakt,Manualna,5,,Szary,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-fso-polonez-caro-1-9-gld-ID6G9TzK.html
Polonez 1.6,9900,PLN,Prywatne,Polonez,1.6,,1999,155 000 km,1 598 cm3,Benzyna,1 KM,Auta miejskie,Manualna,4,5,Inny kolor,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/polonez-1-6-stan-bdb-sprawny-gotowy-do-jazdy-9900-ID6Gp2Sc.html
Polonez 1.5,33000,PLN,Prywatne,Polonez,1.5,,1987,71 000 km,1 481 cm3,Benzyna,82 KM,Coupe,Manualna,5,5,Zielony,Używane,Tak,Na tylne koła,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-1-5-polonez-borewicz-07-zglos-sie-replika-ID6GctHn.html
Polonez Caro,12500,PLN,Prywatne,Polonez,Caro,,1994,73 800 km,1 598 cm3,Benzyna,87 KM,Kompakt,Manualna,5,,Inny kolor,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-polonez-caro-1-6-ID6GlSe2.html
Polonez Atu,21900,PLN,Prywatne,Polonez,Atu,,1997,139 000 km,1 598 cm3,Benzyna,76 KM,Sedan,Manualna,4,,Zielony,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-atu-polonez-ID6GlI9Y.html
Polonez Caro,12000,PLN,Prywatne,Polonez,Caro,,1994,121 800 km,1 598 cm3,Benzyna,76 KM,Kompakt,Manualna,5,5,Bordowy,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-caro-ID6GoVEe.html
Polonez Atu,7999,PLN,Prywatne,Polonez,Atu,,1996,198 130 km,1 598 cm3,Benzyna+LPG,84 KM,Sedan,Manualna,5,5,Zielony,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/polonez-atu-polonez-atu-1996-ID6GoVAv.html
Polonez 1.6,8500,PLN,Prywatne,Polonez,1.6,,1997,384 132 km,1 598 cm3,Benzyna+LPG,76 KM,Kombi,Manualna,5,2,Bordowy,Używane,,Na tylne koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/polonez-1-6-polonez-cargo-lpg-ID6GeB5K.html
