Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Porsche 718 Cayman GPF T PDK,429900,PLN,Firma,Porsche,718 Cayman,GPF T PDK,2023,13 550 km,1 988 cm3,Benzyna,300 KM,Coupe,Automatyczna,2,2,Żółty,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/porsche-718-cayman-cesja-leasingu-i-salon-pl-i-bezwypadkowy-i-serwis-aso-i-gwarancja-ID6Gpwgv.html
Porsche Cayenne GTS,230000,PLN,Firma,Porsche,Cayenne,GTS,2015,240 000 km,3 604 cm3,Benzyna,440 KM,SUV,Automatyczna,5,5,Inny kolor,Używane,Tak,4x4 (stały),13 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/porsche-cayenne-gts-lifting-i-salon-pl-i-gwarancja-i-cesja-leasingu-40x-3-tys-pln-ID6GkBEI.html
Porsche Boxster S,129900,PLN,Prywatne,Porsche,Boxster,S,2006,149 000 km,3 179 cm3,Benzyna,280 KM,Kabriolet,Manualna,2,2,Czarny,Używane,Tak,Na tylne koła,15 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/porsche-boxster-280km-pakiet-sport-chrono-deska-skora-bezwypadek-pelna-serwis-ID6Geyv1.html
Porsche Macan S,139900,PLN,Prywatne,Porsche,Macan,S,2014,115 000 km,2 997 cm3,Benzyna,340 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,4x4 (stały),11 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/porsche-macan-porsche-macan-s-ID6GpQNu.html
Porsche Panamera,495000,PLN,Firma,Porsche,Panamera,,2021,110 000 km,2 894 cm3,Hybryda,440 KM,Kompakt,Automatyczna,5,5,Czarny,Używane,,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/porsche-panamera-salon-polska-ID6Gn4Lk.html
Porsche Cayenne,92999,PLN,Prywatne,Porsche,Cayenne,,2010,271 000 km,2 995 cm3,Benzyna,333 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),,Tak,,,https://www.otomoto.pl/osobowe/oferta/porsche-cayenne-porsche-cayenne-s-hybrid-tiptronic-s-stan-bardzo-dobry-ID6GpQm9.html
Porsche Macan Standard,315300,PLN,Firma,Porsche,Macan,Standard,2024,1 km,1 984 cm3,Benzyna,265 KM,SUV,Automatyczna,5,5,Czarny,Nowe,,4x4 (stały),,,Tak,,https://www.otomoto.pl/osobowe/oferta/porsche-macan-2-0-265km-ID6GphEh.html
Porsche 911 GT3,1039999,PLN,Prywatne,Porsche,911,GT3,2021,21 000 km,3 996 cm3,Benzyna,510 KM,Coupe,Automatyczna,2,,Czarny,Używane,Tak,Na tylne koła,17 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/porsche-911-pierwszy-wlasciciel-salon-polska-911-gt3-fvat-23-ID6GpPBg.html
Porsche Cayenne,40777,PLN,Firma,Porsche,Cayenne,,2004,138 000 km,3 189 cm3,Benzyna+LPG,250 KM,SUV,Automatyczna,5,5,Szary,Używane,Tak,4x4 (dołączany automatycznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/porsche-cayenne-3-2-v6-250km-i-wlasciciel-klimatronik-stan-perfekcyjny-inst-gaz-ID6GpPfv.html
Porsche Cayenne S Tiptronic S,35900,PLN,Prywatne,Porsche,Cayenne,S Tiptronic S,2017,94 000 km,3 604 cm3,Benzyna,420 KM,SUV,Automatyczna,5,2,Szary,Używane,Tak,4x4 (stały),13 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/porsche-cayenne-porsche-cayenne-lift-s-3-6-biturbo-420-koni-silnik-pali-ID6G14rN.html
Porsche Macan S,169000,PLN,Prywatne,Porsche,Macan,S,2018,103 000 km,2 997 cm3,Benzyna,340 KM,SUV,Automatyczna,5,5,Granatowy,Używane,Tak,4x4 (stały),11 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/porsche-macan-macan-s-ID6Gp2P1.html
Porsche Macan,324900,PLN,Firma,Porsche,Macan,,2023,15 895 km,1 984 cm3,Benzyna,265 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/porsche-macan-ID6GdRHy.html
