Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
RAM 1500,75000,PLN,Firma,RAM,1500,,2013,227 000 km,5 654 cm3,Benzyna,401 KM,SUV,Automatyczna,4,,Niebieski,Używane,,4x4 (stały),,,,,https://www.otomoto.pl/osobowe/oferta/ram-1500-sport-5-7-4x4-lcd-automat-podgrzewana-kierownica-elektryczne-pedaly-ID6G4JJo.html
RAM 2500,249000,PLN,Prywatne,RAM,2500,,2021,111 000 km,6 398 cm3,Benzyna,410 KM,SUV,Automatyczna,4,5,Czerwony,Używane,Tak,4x4 (dołączany ręcznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/ram-2500-ram-2500-6-4-hemi-laramie-night-edition-led-carplay-alkantara-2021-ID6FGh5b.html
RAM 1500 5.7 Crew Cab Bighorn,229900,PLN,Prywatne,RAM,1500,5.7 Crew Cab Bighorn,2020,8 000 km,5 654 cm3,Benzyna,399 KM,SUV,Automatyczna,4,5,Szary,Używane,Tak,4x4 (dołączany automatycznie),21 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/ram-1500-big-horn-crew-cab-night-edition-przebieg-8tys-km-gwarancja-ID6GppZO.html
RAM 1500 5.7 Crew Cab Longbed Laramie Black,249900,PLN,Firma,RAM,1500,5.7 Crew Cab Longbed Laramie Black,2020,67 000 km,5 654 cm3,Benzyna,399 KM,SUV,Automatyczna,4,5,Biały,Używane,,4x4 (dołączany automatycznie),18 l/100km,Tak,,Tak,https://www.otomoto.pl/osobowe/oferta/ram-1500-2021-ram-1500-laramie-longbed-get-low-22-cale-ID6Gf9fh.html
RAM Inny,550000,PLN,Prywatne,RAM,Inny,,2021,21 000 km,6 200 cm3,Benzyna,702 KM,SUV,Automatyczna,4,,Czarny,Używane,Tak,4x4 (stały),18 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/ram-trx-6-2-l-702km-auto-doinwestowane-120tys-zl-patrz-opis-ID6FP2XS.html
RAM 2500,195000,PLN,Prywatne,RAM,2500,,2018,114 000 km,6 417 cm3,Benzyna+LPG,410 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),,Tak,,,https://www.otomoto.pl/osobowe/oferta/ram-2500-megacab-hd-4x4-6-4l-410km-hemi-skory-na-haku-5-5t-kat-c-ID6GpHnT.html
RAM 1500,299000,PLN,Prywatne,RAM,1500,,2021,43 000 km,5 654 cm3,Benzyna+LPG,401 KM,SUV,Automatyczna,4,5,Biały,Używane,Tak,Na tylne koła,21 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ram-1500-ram-1500-limited-night-edition-4x2-tylny-naped-instalacja-brc-ID6Gpwbr.html
RAM 1500 5.7 Crew Cab Limited,519900,PLN,Firma,RAM,1500,5.7 Crew Cab Limited,2022,26 km,5 654 cm3,Benzyna,399 KM,SUV,Automatyczna,4,5,Niebieski,Nowe,Tak,4x4 (stały),18 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/ram-1500-limited-v8-hemi-401-km-gwarancja-fabrycznie-nowy-ID6G4SFn.html
RAM 1500 Crew Cab Shortbed Limited,224900,PLN,Prywatne,RAM,1500,Crew Cab Shortbed Limited,2019,53 400 km,5 654 cm3,Benzyna+LPG,401 KM,SUV,Automatyczna,4,5,Biały,Używane,Tak,4x4 (dołączany automatycznie),16 l/100km,Tak,,Tak,https://www.otomoto.pl/osobowe/oferta/ram-1500-dodge-ram-1500-limited-4x4-v8-5-7-hemi-etorque-lpg-ID6ELHjo.html
RAM 1500 Crew Cab Limited,267000,PLN,Prywatne,RAM,1500,Crew Cab Limited,2019,74 860 km,5 654 cm3,Benzyna,401 KM,SUV,Automatyczna,4,,Bordowy,Używane,Tak,4x4 (dołączany ręcznie),"18,10 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/ram-1500-limited-ID6FVd66.html
