Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Renault Clio,72800,PLN,Firma,Renault,Clio,,2024,10 km,999 cm3,Benzyna,90 KM,Auta miejskie,Manualna,5,5,Pomarańczowy,Nowe,,Na przednie koła,5 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/renault-clio-evolution-tce-90-dostepny-od-reki-ID6Gpv2V.html
Renault Megane 1.6 16V Expression,19999,PLN,Prywatne,Renault,Megane,1.6 16V Expression,2009,185 500 km,1 598 cm3,Benzyna,110 KM,Kompakt,Manualna,3,5,Czarny,Używane,Tak,Na przednie koła,9 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/renault-megane-1-wlasciciel-wazne-oplaty-nowe-opony-klimatyzacja-tempomat-ID6ET06Y.html
Renault Grand Espace 2.0 dCi FAP Celsium,39999,PLN,Prywatne,Renault,Grand Espace,2.0 dCi FAP Celsium,2014,226 640 km,1 995 cm3,Diesel,150 KM,Minivan,Manualna,5,7,Beżowy,Używane,Tak,Na przednie koła,"9,10 l/100km",,Tak,,https://www.otomoto.pl/osobowe/oferta/renault-grand-espace-renault-grand-espace-2-0-ostatni-lift-ladny-polecam-ID6GpMST.html
Renault Captur,18900,PLN,Prywatne,Renault,Captur,,2015,65 000 km,898 cm3,Benzyna,90 KM,Kompakt,Manualna,5,5,Czarny,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/renault-captur-turbo-benzyna-65-tys-przebiegu-ID6GpwR0.html
Renault Megane 1.3 TCe FAP Intens,101900,PLN,Firma,Renault,Megane,1.3 TCe FAP Intens,2024,10 km,1 332 cm3,Benzyna,140 KM,Sedan,Manualna,5,5,Bordowy,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/renault-megane-intens-tce-dostepny-od-reki-rabat-12-000-ID6GpwGv.html
Renault Megane 1.2 Energy TCe Limited,43900,PLN,Prywatne,Renault,Megane,1.2 Energy TCe Limited,2016,99 700 km,1 197 cm3,Benzyna,100 KM,Kompakt,Manualna,5,5,Niebieski,Używane,Tak,Na przednie koła,6 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/renault-megane-niski-przebieg-ID6GdMJC.html
Renault Kadjar 1.3 TCe FAP Zen,89900,PLN,Firma,Renault,Kadjar,1.3 TCe FAP Zen,2021,10 515 km,1 332 cm3,Benzyna,140 KM,SUV,Manualna,5,5,Srebrny,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/renault-kadjar-1-3-tce-140-km-aso-salon-pl-niski-przebieg-ID6Glngo.html
Renault Megane 1.3 TCe FAP Limited,39900,PLN,Firma,Renault,Megane,1.3 TCe FAP Limited,2019,189 933 km,1 332 cm3,Benzyna,115 KM,Kombi,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/renault-megane-1-3-benzyna-salon-polska-serwis-aso-faktura-vat-23-ID6GoJXG.html
Renault Laguna 2.0 16V Dynamique,23900,PLN,Prywatne,Renault,Laguna,2.0 16V Dynamique,2009,186 000 km,1 997 cm3,Benzyna,140 KM,Kombi,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,"10,70 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/renault-laguna-2-0-16v-140ps-navi-convers-climatronic-parctronic-serwis-alu-ID6GpQQQ.html
Renault Megane Grandtour dCi 160 FAP GT,25500,PLN,Prywatne,Renault,Megane,Grandtour dCi 160 FAP GT,2010,243 000 km,1 995 cm3,Diesel,160 KM,Kombi,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,Tak,https://www.otomoto.pl/osobowe/oferta/renault-megane-renault-megane-3-2-0dci-180hp-ID6G4vdk.html
Renault Austral,202900,PLN,Firma,Renault,Austral,,2024,10 km,1 199 cm3,Hybryda,200 KM,SUV,Automatyczna,5,,Czarny,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/renault-austral-iconic-esprit-alpine-e-tech-full-hybrid-200-nowy-od-reki-ID6GklVh.html
Renault Kadjar 1.2 Energy TCe Intens,56900,PLN,Prywatne,Renault,Kadjar,1.2 Energy TCe Intens,2017,63 000 km,1 197 cm3,Benzyna,130 KM,SUV,Manualna,5,5,Szary,Używane,,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/renault-kadjar-klimatronic-kamera-cofania-fullled-ID6GoVKV.html
Renault Captur 1.3 TCe Intens EDC,87900,PLN,Prywatne,Renault,Captur,1.3 TCe Intens EDC,2021,19 550 km,1 332 cm3,Benzyna,155 KM,SUV,Automatyczna,5,5,Niebieski,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/renault-captur-renault-captur-1-3-tce-hybrid-150-km-automat-stan-salonowy-rok-2022-ID6Fworm.html
Renault Captur 1.3 TCe mHEV Techno EDC,106900,PLN,Firma,Renault,Captur,1.3 TCe mHEV Techno EDC,2023,1 km,1 332 cm3,Benzyna,140 KM,SUV,Automatyczna,5,5,Biały,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/renault-captur-techno-1-3-tce-140km-edc-fotele-przednie-podgrzewane-ID6Go8fN.html
Renault Twingo 1.2 16V Eco Night&Day,13999,PLN,Firma,Renault,Twingo,1.2 16V Eco Night&Day,2014,155 000 km,1 149 cm3,Benzyna,75 KM,Auta miejskie,Manualna,3,4,Biały,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/renault-twingo-klimatyzacja-led-alu-niski-przebieg-doinwestowany-ID6Gp9sd.html
Renault Clio 1.2 16V 75 Grandtour Expression,15900,PLN,Prywatne,Renault,Clio,1.2 16V 75 Grandtour Expression,2011,136 066 km,1 149 cm3,Benzyna,75 KM,Auta miejskie,Manualna,5,5,Beżowy,Używane,Tak,Na przednie koła,"7,60 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/renault-clio-serwisowany-w-aso-klima-nowy-rozrzad-kola-lato-zima-ID6GpqdQ.html
Renault Clio,17900,PLN,Prywatne,Renault,Clio,,2011,165 000 km,1 149 cm3,Benzyna,75 KM,Auta miejskie,Manualna,5,5,Srebrny,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/renault-clio-renault-clio-3-nieuszkodzone-bez-wkladu-finansowego-ID6Gla6o.html
Renault Megane 1.5 dCi Dynamique,20999,PLN,Prywatne,Renault,Megane,1.5 dCi Dynamique,2012,186 000 km,1 461 cm3,Diesel,110 KM,Kombi,Manualna,5,5,Beżowy,Używane,Tak,Na przednie koła,5 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/renault-megane-renault-megane-iii-2013r-1-5dci-stan-bardzo-dobry-ID6FOALJ.html
Renault Captur 1.3 TCe mHEV Techno EDC,109000,PLN,Firma,Renault,Captur,1.3 TCe mHEV Techno EDC,2024,10 km,1 332 cm3,Benzyna,140 KM,SUV,Automatyczna,5,5,Czerwony,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/renault-captur-techno-mild-hybrid-140-edc-rabat-8-200-pln-ID6GfOq5.html
Renault Megane 1.6 16V Generation,11900,PLN,Prywatne,Renault,Megane,1.6 16V Generation,2009,164 750 km,1 598 cm3,Benzyna,100 KM,Kompakt,Manualna,5,,Czarny,Używane,Tak,Na przednie koła,9 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/renault-megane-1-6-lpg-164tys-km-salon-polska-po-gradobiciu-i-uszkodzone-drzwi-ID6Gp3ep.html
Renault Megane Grandtour ENERGY TCe 100 EXPERIENCE,39789,PLN,Prywatne,Renault,Megane,Grandtour ENERGY TCe 100 EXPERIENCE,2017,117 459 km,1 197 cm3,Benzyna,100 KM,Kombi,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,"6,70 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/renault-megane-zarejestrowany-w-polsce-klima-ID6Ga5tD.html
Renault Grand Scenic,5150,PLN,Prywatne,Renault,Grand Scenic,,2004,262 000 km,1 870 cm3,Diesel,120 KM,SUV,Manualna,5,7,Czarny,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/renault-grand-scenic-renault-grand-scenic-1-9-dci-diesel-120-km-7-osobowy-ID6Gp35l.html
Renault Zoe R135 Z.E 50 Intens,74990,PLN,Prywatne,Renault,Zoe,R135 Z.E 50 Intens,2020,28 000 km,,Elektryczny,135 KM,Kompakt,Automatyczna,5,5,Szary,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/renault-zoe-52-kwh-navi-alu-full-led-ccs-asystent-serwisowany-gwarancja-fv-ID6FwdoH.html
