Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Saab 9-3,10900,PLN,Prywatne,Saab,9-3,,2005,319 600 km,1 998 cm3,Benzyna,210 KM,Kombi,Automatyczna,5,5,Czarny,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/saab-9-3-saab-vector-2005-kombi-210km-2-0t-automat-ID6Gp2a5.html
Saab 900 900i 20-16,18300,PLN,Prywatne,Saab,900,900i 20-16,1994,183 200 km,1 985 cm3,Benzyna,128 KM,Coupe,Manualna,3,5,Zielony,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/saab-900-1994-saab-900s-coupe-drugi-wlasciciel-stan-idealny-dla-konsera-marki-ID6F2b2n.html
Saab 9-3X,39900,PLN,Prywatne,Saab,9-3X,,2007,174 000 km,2 792 cm3,Benzyna,250 KM,Kabriolet,Automatyczna,2,,Biały,Używane,,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/saab-9-3x-sprzedam-saab-cabrio-2-8-turbo-ID6Gm5ZO.html
Saab 9-3 1.9TiD PF Vector,16700,PLN,Prywatne,Saab,9-3,1.9TiD PF Vector,2009,298 350 km,1 910 cm3,Diesel,120 KM,Kombi,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/saab-9-3-saab-9-3-1-9-tid-vector-pakiet-tx-r-pr-2009-rej-2010-serwis-saab-ID6GpuZQ.html
Saab 900,27800,PLN,Prywatne,Saab,900,,1994,95 000 km,2 498 cm3,Benzyna,170 KM,Sedan,Automatyczna,5,5,Zielony,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/saab-900-zabytkowy-saab-900-1994-rok-ID6GptNl.html
Saab 9-5 2.0TiD SportCombi Linear,38499,PLN,Prywatne,Saab,9-5,2.0TiD SportCombi Linear,2011,250 700 km,1 956 cm3,Diesel,160 KM,Sedan,Automatyczna,5,5,Biały,Używane,Tak,Na przednie koła,"8,90 l/100km",,Tak,,https://www.otomoto.pl/osobowe/oferta/saab-9-5-2-0tid-aut-bialy-kruk-180pshirch-alu-19-mega-zadbany-dunczyk-pryw-ID6G65kn.html
Saab 9-3 2.0T Aero,9999,PLN,Prywatne,Saab,9-3,2.0T Aero,2004,156 000 km,1 998 cm3,Benzyna,209 KM,Sedan,Manualna,5,5,Czarny,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/saab-9-3-salon-pl-1-wlasciciel-bezwypadkowy-do-naprawy-ID6Gpqf0.html
Saab 9-3,20900,PLN,Prywatne,Saab,9-3,,2008,249 000 km,1 796 cm3,Benzyna,122 KM,Sedan,Manualna,5,5,Inny kolor,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/saab-9-3-1-8-benzyna-alu17skoraklimatronik-ID6Gpo1J.html
Saab 9-3 2.8 V6 TR Turbo X,78000,PLN,Prywatne,Saab,9-3,2.8 V6 TR Turbo X,2008,111 500 km,2 792 cm3,Benzyna,280 KM,Kombi,Manualna,5,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),,Tak,Tak,Tak,https://www.otomoto.pl/osobowe/oferta/saab-9-3-saab-9-3-turbox-sport-combi-manual-ID6Gpnl9.html
Saab 9-3 2.8 Turbo V6 Cabrio Aero,70000,PLN,Prywatne,Saab,9-3,2.8 Turbo V6 Cabrio Aero,2007,102 000 km,2 792 cm3,Benzyna,280 KM,Kabriolet,Automatyczna,2,,Biały,Używane,,Na przednie koła,"17,20 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/saab-9-3-saab-9-3-cabrio-griffin-hirsch-ID6Gkq2k.html
Saab 9-3 Aero 2.0 TS,10000,PLN,Prywatne,Saab,9-3,Aero 2.0 TS,2001,240 700 km,1 985 cm3,Benzyna,205 KM,Coupe,Manualna,3,5,Czarny,Używane,Tak,Na przednie koła,13 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/saab-9-3-aero-2-0-ts-ID6FU5Y4.html
Saab 9-3,16700,PLN,Prywatne,Saab,9-3,,2005,287 000 km,1 998 cm3,Benzyna,175 KM,Sedan,Automatyczna,5,5,Czarny,Używane,,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/saab-9-3-saab-9-3-ID6GpiTt.html
Saab 9-3 2.0LPT,19900,PLN,Prywatne,Saab,9-3,2.0LPT,2001,211 161 km,1 985 cm3,Benzyna,150 KM,Kabriolet,Manualna,2,4,Czarny,Używane,Tak,Na przednie koła,12 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/saab-9-3-1-wlasciciel-od-nowosci-bezwypadek-caly-w-oryginalnym-lakierze-b204-ID6GjPV1.html
Saab 9-3 1.8t Linear,6000,PLN,Prywatne,Saab,9-3,1.8t Linear,2003,348 043 km,1 998 cm3,Benzyna,150 KM,Sedan,Manualna,4,5,Granatowy,Używane,Tak,Na przednie koła,10 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/saab-9-3-saab-9-3-sport-sedan-1-8t-ID6GmQuW.html
Saab 9-3 1.9 TiD Sport Kombi DPF Vector,17900,PLN,Firma,Saab,9-3,1.9 TiD Sport Kombi DPF Vector,2008,299 800 km,1 910 cm3,Diesel,150 KM,Kombi,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,Tak,https://www.otomoto.pl/osobowe/oferta/saab-9-3-1-9tid-skora-bose-nowy-dwumas-nowy-rozrzad-zarejestrowany-ID6Geb1N.html
Saab 9-5 Kombi 2.0t Arc,5900,PLN,Prywatne,Saab,9-5,Kombi 2.0t Arc,2006,266 000 km,1 985 cm3,Benzyna+LPG,150 KM,Kombi,Manualna,5,5,Czarny,Używane,Tak,,12 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/saab-9-5-2-0-turbo-gaz-lpg-kima-2006-ID6G0bGx.html
Saab 9-5 Kombi SE 2.3 LPT,7000,PLN,Prywatne,Saab,9-5,Kombi SE 2.3 LPT,2001,267 000 km,2 290 cm3,Benzyna+LPG,170 KM,Kombi,Manualna,5,5,Srebrny,Używane,Tak,Na przednie koła,13 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/saab-9-5-saab-95-kombi-2-3-lpg-220-km-ID6Gpa2F.html
Saab 9-3,18500,PLN,Prywatne,Saab,9-3,,2000,317 050 km,1 985 cm3,Benzyna,154 KM,Kompakt,Manualna,5,5,Granatowy,Używane,Tak,Na przednie koła,14 l/100km,Tak,Tak,Tak,https://www.otomoto.pl/osobowe/oferta/saab-9-3-saab-9-3-254km-340nm-ID6GdPEZ.html
Saab 9-3X,9999,PLN,Prywatne,Saab,9-3X,,2006,315 000 km,1 910 cm3,Diesel,149 KM,Kombi,Manualna,5,5,Szary,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/saab-9-3x-godny-uwagi-saab-ID6Gp9zL.html
Saab 9-3 1.9TiD PF Linear,14900,PLN,Prywatne,Saab,9-3,1.9TiD PF Linear,2009,275 000 km,1 910 cm3,Diesel,120 KM,Sedan,Manualna,5,5,Beżowy,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/saab-9-3-saab-9-3-ID6GeRKw.html
Saab 9-3 2.0T Aero XWD,36900,PLN,Prywatne,Saab,9-3,2.0T Aero XWD,2009,257 000 km,1 998 cm3,Benzyna+LPG,210 KM,Sedan,Manualna,5,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),11 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/saab-9-3-saab-9-3-2-0t-aero-xwd-ID6GfgZe.html
Saab 9-5,16000,PLN,Prywatne,Saab,9-5,,2008,268 791 km,1 910 cm3,Diesel,150 KM,Sedan,Manualna,5,5,Niebieski,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/saab-9-5-saab-9-5-150km-ID6Gp6vL.html
Saab 9-5,38500,PLN,Prywatne,Saab,9-5,,2004,353 000 km,2 290 cm3,Benzyna,250 KM,Kombi,Automatyczna,5,5,Czarny,Używane,Tak,Na przednie koła,"14,70 l/100km",Tak,Tak,Tak,https://www.otomoto.pl/osobowe/oferta/saab-9-5-saab-9-5-aero-hirsch-2004-sportkombi-ID6Gp3BQ.html
Saab 9-3 1.8t Vector,4800,PLN,Prywatne,Saab,9-3,1.8t Vector,2005,293 123 km,1 998 cm3,Benzyna,150 KM,Sedan,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,10 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/saab-9-3-saab-9-3-sport-vector-turbo-alu-17-skory-hak-ID6G7FP1.html
Saab 9-5,11700,PLN,Firma,Saab,9-5,,1998,220 000 km,1 985 cm3,Benzyna,150 KM,Sedan,Automatyczna,5,5,Zielony,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/saab-9-5-ID6GaJ6e.html
Saab 9-5 2.8 Turbo Aero XWD,29000,PLN,Prywatne,Saab,9-5,2.8 Turbo Aero XWD,2011,93 700 km,2 792 cm3,Benzyna,300 KM,Sedan,Automatyczna,4,,Granatowy,Używane,Tak,4x4 (dołączany automatycznie),16 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/saab-9-5-2-8-turbo-300km-ID6GheJ7.html
Saab 9-3X,34499,PLN,Prywatne,Saab,9-3X,,2009,295 504 km,1 998 cm3,Benzyna+LPG,210 KM,Kombi,Automatyczna,5,5,Biały,Używane,Tak,4x4 (dołączany automatycznie),,Tak,Tak,Tak,https://www.otomoto.pl/osobowe/oferta/saab-9-3x-saab-9-3x-2009-b-lpg-240km-hirsch-4x4-zadbany-oc-przeglad-ID6GhRao.html
Saab 900,34900,PLN,Firma,Saab,900,,1992,140 000 km,1 985 cm3,Benzyna,145 KM,Kompakt,Manualna,5,5,Złoty,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/saab-900-s-turbo-16valve-szwajcar-ID6Gp3fL.html
Saab 9-5,9900,PLN,Prywatne,Saab,9-5,,2007,385 000 km,2 290 cm3,Benzyna,260 KM,Kombi,Automatyczna,5,5,Niebieski,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/saab-9-5-2-3-benz-260km-automat-ID6Gotnj.html
