Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Seat Ibiza 1.4 16V Copa,11900,PLN,Prywatne,Seat,Ibiza,1.4 16V Copa,2007,217 000 km,1 390 cm3,Benzyna,85 KM,Kompakt,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,8 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/seat-ibiza-1-4mpi-oryginal-przebieg-klima-super-stan-2-kpl-kol-z-niemiec-ID6GpR6j.html
Seat Ibiza 1.4 16V Style,17999,PLN,Prywatne,Seat,Ibiza,1.4 16V Style,2008,194 635 km,1 390 cm3,Benzyna,86 KM,Kompakt,Manualna,5,,Czarny,Używane,Tak,Na przednie koła,8 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/seat-ibiza-sprowadzona-mega-wyposazona-bardzo-zadbana-ID6GpPeT.html
Seat Leon,16900,PLN,Prywatne,Seat,Leon,,2009,240 000 km,1 896 cm3,Diesel,105 KM,Kompakt,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/seat-leon-1-9-tdi-poliftingowe-bdb-stan-ID6GpR61.html
Seat Ibiza SC 2.0 TDI FR,23000,PLN,Prywatne,Seat,Ibiza,SC 2.0 TDI FR,2011,199 999 km,1 968 cm3,Diesel,143 KM,Auta miejskie,Manualna,3,5,Biały,Używane,Tak,Na przednie koła,5 l/100km,,Tak,Tak,https://www.otomoto.pl/osobowe/oferta/seat-ibiza-ibiza-fr-2-0-tdi-143km-ID6GpQXH.html
Seat Ibiza,17950,PLN,Prywatne,Seat,Ibiza,,2008,199 500 km,1 390 cm3,Benzyna,86 KM,Auta miejskie,Manualna,5,5,Szary,Używane,,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/seat-ibiza-1-4-mpi-86km-bogata-wersja-alufelgi-ID6GpHAH.html
Seat Arona 1.0 TSI Full LED S&S DSG,84800,PLN,Firma,Seat,Arona,1.0 TSI Full LED S&S DSG,2022,32 000 km,999 cm3,Benzyna,110 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/seat-arona-jak-nowy-fabryczny-lakierna-gwarancji-bogate-wyposazenie-fv23-ID6G9D3C.html
Seat Ateca 2.0 TDI 4Drive XCELLENCE,65700,PLN,Prywatne,Seat,Ateca,2.0 TDI 4Drive XCELLENCE,2016,183 700 km,1 968 cm3,Diesel,150 KM,SUV,Manualna,5,5,Biały,Używane,Tak,4x4 (dołączany automatycznie),"5,90 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/seat-ateca-seat-ateca-ID6Ghq5F.html
Seat Leon 1.2 TSI Start&Stop Style,39700,PLN,Prywatne,Seat,Leon,1.2 TSI Start&Stop Style,2015,210 000 km,1 197 cm3,Benzyna,110 KM,Kombi,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,"6,10 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/seat-leon-limited-edition-style-tfsi-6-biegowy-klimatronik-serwisowany-w-aso-ID6Gp3br.html
Seat Ibiza,16999,PLN,Prywatne,Seat,Ibiza,,2010,200 000 km,1 199 cm3,Diesel,75 KM,Kombi,Manualna,5,5,Biały,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/seat-ibiza-1-2tdi-2010r-kombi-ID6GkVI9.html
Seat Leon 1.9 TDI Stylance,13000,PLN,Prywatne,Seat,Leon,1.9 TDI Stylance,2006,180 800 km,1 896 cm3,Diesel,105 KM,Kompakt,Manualna,5,5,Czerwony,Używane,Tak,Na przednie koła,6 l/100km,Tak,,Tak,https://www.otomoto.pl/osobowe/oferta/seat-leon-seat-leon-2-salon-polska-ID6GpQat.html
