Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Skoda Octavia 1.9 TDI Ambiente,7800,PLN,Prywatne,Skoda,Octavia,1.9 TDI Ambiente,2002,337 000 km,1 896 cm3,Diesel,90 KM,Kompakt,Manualna,5,5,Srebrny,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/skoda-octavia-1-9-tdi-90-km-klima-nowy-rozrzad-nowe-opony-zarejestrowany-ID6GoAmz.html
Skoda Fabia 1.0 Ambition,28499,PLN,Prywatne,Skoda,Fabia,1.0 Ambition,2019,238 321 km,999 cm3,Benzyna,75 KM,Kombi,Manualna,5,5,Biały,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/skoda-fabia-bezwypadkowy-vat-23-pelna-historia-serwisowa-tempomat-parktronic-x2-ID6Gmh0y.html
Skoda Octavia 2.0 TDI Ambition DSG,142620,PLN,Firma,Skoda,Octavia,2.0 TDI Ambition DSG,2024,1 km,1 968 cm3,Diesel,115 KM,Kombi,Automatyczna,5,5,Szary,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/skoda-octavia-od-reki-ambition-2-0-tdi-115km-dsg-pakiet-selection-sprawdz-ID6GkpBq.html
Skoda Superb 2.0 TDI 4x4 L&K DSG,89900,PLN,Firma,Skoda,Superb,2.0 TDI 4x4 L&K DSG,2019,222 000 km,1 968 cm3,Diesel,190 KM,Kombi,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),"5,30 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/skoda-superb-2-0tdi-190ps-4x4-l-k-lift-virtual-canton-wentylacja-pamiec-led-fv23-ID6Gd6PB.html
Skoda Octavia 2.0 TDI (Green tec) DSG RS,62500,PLN,Prywatne,Skoda,Octavia,2.0 TDI (Green tec) DSG RS,2017,223 000 km,1 968 cm3,Diesel,184 KM,Kombi,Automatyczna,5,5,Czarny,Używane,Tak,Na przednie koła,"5,60 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/skoda-octavia-rs-stan-idealny-ID6FLq2H.html
Skoda Octavia 2.0 TDI Edition,40590,PLN,Prywatne,Skoda,Octavia,2.0 TDI Edition,2016,290 000 km,1 968 cm3,Diesel,150 KM,Kombi,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,5 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/skoda-octavia-skoda-octawia-iii-2-0-tdi-150km-full-ID6Glkol.html
Skoda Superb 1.8 TSI Style,75900,PLN,Prywatne,Skoda,Superb,1.8 TSI Style,2017,150 871 km,1 798 cm3,Benzyna,180 KM,Sedan,Manualna,5,5,Zielony,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/skoda-superb-jeden-uzytkownik-stan-bardzo-dobry-tuz-po-przegladzie-rejestracyjnym-ID6Gooz2.html
Skoda Yeti 2.0 TDI Ambition Green tec,39900,PLN,Prywatne,Skoda,Yeti,2.0 TDI Ambition Green tec,2014,256 000 km,1 968 cm3,Diesel,140 KM,SUV,Manualna,5,,Biały,Używane,Tak,Na przednie koła,"6,10 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/skoda-yeti-sprowadzony-zarejestrowany-i-wlasciciel-ID6FOX00.html
Skoda Octavia 1.6 TDI Ambition,49900,PLN,Prywatne,Skoda,Octavia,1.6 TDI Ambition,2019,195 000 km,1 598 cm3,Diesel,115 KM,Kombi,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,4 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/skoda-octavia-bardzo-zadbana-czarna-perla-android-auto-salon-polska-ID6Gp3nG.html
Skoda Kodiaq 2.0 TDI 4x4 L&K DSG,109900,PLN,Firma,Skoda,Kodiaq,2.0 TDI 4x4 L&K DSG,2020,190 000 km,1 968 cm3,Diesel,200 KM,SUV,Automatyczna,5,5,Niebieski,Używane,Tak,4x4 (dołączany automatycznie),9 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/skoda-kodiaq-2-0tdi-200ps-l-k-4x4-4xkamery-virtual-wentylacja-dcc-canton-led-fv23-ID6Ge9fa.html
Skoda Octavia 1.9 TDI Elegance,18900,PLN,Prywatne,Skoda,Octavia,1.9 TDI Elegance,2009,216 000 km,1 896 cm3,Diesel,105 KM,Kombi,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,6 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/skoda-octavia-1-9tdi-105km-bxe-bez-dpf-sprowadzona-ID6Gp1xt.html
Skoda Superb 2.0 TDI DSG Premium Edition,79900,PLN,Prywatne,Skoda,Superb,2.0 TDI DSG Premium Edition,2020,146 000 km,1 968 cm3,Diesel,150 KM,Sedan,Automatyczna,5,5,Czarny,Używane,Tak,Na przednie koła,"4,90 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/skoda-superb-lift-automatik-bogata-zadbana-udokumentowana-historia-ID6Gp3ma.html
