Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Smart Fortwo & passion,6666,PLN,Prywatne,Smart,Fortwo,& passion,2000,180 000 km,599 cm3,Benzyna,55 KM,Kabriolet,Automatyczna,2,2,Czerwony,Używane,Tak,Na tylne koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-automat-zarejestrowany-ubezpieczony-ID6G0N6k.html
Smart Fortwo electric drive passion,39900,PLN,Firma,Smart,Fortwo,electric drive passion,2017,59 990 km,,Elektryczny,82 KM,Auta miejskie,Automatyczna,3,2,Biały,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-bezwypadkowy-serwis-aso-ID6GaX5D.html
Smart Fortwo,5999,PLN,Prywatne,Smart,Fortwo,,2002,131 000 km,599 cm3,Benzyna,45 KM,Kabriolet,Automatyczna,2,2,Srebrny,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-smart-for-two-cabrio-idealny-do-miasta-ID6GpcsZ.html
Smart Fortwo & passion,9900,PLN,Prywatne,Smart,Fortwo,& passion,2004,109 500 km,698 cm3,Benzyna,61 KM,Kabriolet,Automatyczna,2,2,Srebrny,Używane,Tak,Na tylne koła,6 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-klimatyzacja-109tys-przebiegu-ID6GpJcR.html
Smart Forfour passion,6500,PLN,Prywatne,Smart,Forfour,passion,2004,223 000 km,1 499 cm3,Benzyna,109 KM,Kompakt,Manualna,5,4,Srebrny,Używane,Tak,Na przednie koła,7 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/smart-forfour-smart-forfour-passion-ID6Gp12G.html
Smart Fortwo & passion,9900,PLN,Prywatne,Smart,Fortwo,& passion,2003,77 910 km,599 cm3,Benzyna,55 KM,Kabriolet,Automatyczna,2,2,Beżowy,Używane,Tak,Na tylne koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-2003r-benzyna-cabrio-automat-ID6Gp0RE.html
Smart Fortwo,11500,PLN,Prywatne,Smart,Fortwo,,2000,148 362 km,599 cm3,Benzyna,54 KM,Coupe,Automatyczna,3,2,Granatowy,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-smart-fortwo-coupe-softouch-gwarancja-ID6Gp0PV.html
Smart Fortwo,30627,PLN,Prywatne,Smart,Fortwo,,2015,96 000 km,999 cm3,Benzyna,71 KM,Auta małe,Manualna,3,2,Biały,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-smart-fortwo-coupe-ID6GdLUP.html
Smart Forfour pulse,5000,PLN,Prywatne,Smart,Forfour,pulse,2004,195 000 km,1 124 cm3,Benzyna,75 KM,Kompakt,Manualna,5,4,Czarny,Używane,Tak,Na przednie koła,6 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/smart-forfour-smart-forfour-1-1-benzyna-195-tys-km-2004r-klima-4l-na100km-ekonomiczy-ID6GpDw1.html
Smart Fortwo & passion cdi,8500,PLN,Prywatne,Smart,Fortwo,& passion cdi,2009,174 230 km,799 cm3,Diesel,45 KM,Auta małe,Automatyczna,2,2,Czarny,Używane,Tak,Na tylne koła,4 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-zadbany-ekonomiczny-diesel-zarejestrowany-polecam-slask-ID6GpFPN.html
Smart Fortwo perfect twinamic,18000,PLN,Prywatne,Smart,Fortwo,perfect twinamic,2010,69 000 km,999 cm3,Benzyna,71 KM,Auta miejskie,Automatyczna,3,2,Czarny,Używane,Tak,Na tylne koła,4 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-ID6GpBXp.html
Smart Fortwo & passion mhd,14500,PLN,Prywatne,Smart,Fortwo,& passion mhd,2007,67 000 km,999 cm3,Benzyna,71 KM,Auta małe,Automatyczna,2,2,Srebrny,Używane,Tak,Na tylne koła,4 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-smart-fortwo-999cm3-benzyna-71km-automat-klima-ID6GpzuR.html
Smart Fortwo,5500,PLN,Prywatne,Smart,Fortwo,,1999,197 160 km,599 cm3,Benzyna,54 KM,Auta małe,Automatyczna,2,2,Czarny,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-smart-fortwo-zwinny-miejski-zadbany-niskie-spalanie-ID6Gpth5.html
Smart Fortwo Standard,26500,PLN,Prywatne,Smart,Fortwo,Standard,2015,103 500 km,999 cm3,Benzyna,61 KM,Auta małe,Manualna,3,2,Biały,Używane,Tak,Na tylne koła,5 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-1-061ps103-000kma-cledtempomatbluetoothoplacony-ID6FqCrJ.html
Smart Fortwo,47900,PLN,Firma,Smart,Fortwo,,2018,19 800 km,,Elektryczny,82 KM,Auta miejskie,Automatyczna,2,2,Biały,Używane,Tak,Na tylne koła,6 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-smart-eq-brabus-elektryk-klima-navi-skora-kamera-ledy-ID6G9EOC.html
Smart Fortwo electric drive,27900,PLN,Prywatne,Smart,Fortwo,electric drive,2014,63 500 km,,Elektryczny,82 KM,Auta miejskie,Automatyczna,3,,Biały,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-smart-fortwo-elektric-drive-17-6-kwa-2014r-przebieg-63500-km-ID6G2i9c.html
Smart Fortwo,5799,PLN,Prywatne,Smart,Fortwo,,1999,175 000 km,599 cm3,Benzyna,54 KM,Auta małe,Automatyczna,2,2,Czarny,Używane,Tak,,,Tak,,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-smart-fortwo-automat-klimatyzacja-ID6GlrHl.html
Smart Fortwo,21850,PLN,Prywatne,Smart,Fortwo,,2014,95 000 km,999 cm3,Benzyna,61 KM,Auta małe,Automatyczna,3,2,Biały,Używane,Tak,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-salon-pl-bdb-stan-start-stop-badanie-i-oc-na-rok-ID6Gp9Ee.html
Smart Fortwo & passion,12900,PLN,Prywatne,Smart,Fortwo,& passion,2004,110 000 km,698 cm3,Benzyna,61 KM,Auta małe,Automatyczna,2,2,Srebrny,Używane,Tak,Na tylne koła,6 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-700turbo-61km-automat-klima-el-szyby-alufelgi-radio-pioneer-z-niemiec-ID6Gg7jq.html
Smart Fortwo electric drive pulse,79950,PLN,Prywatne,Smart,Fortwo,electric drive pulse,2023,8 400 km,,Elektryczny,82 KM,Kabriolet,Automatyczna,3,2,Granatowy,Używane,Tak,Na tylne koła,,,,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-cabrio-stan-idealny-bogate-wyposazenie-led-jbl-apple-car-play-ID6Gp4jl.html
Smart Fortwo electric drive,50900,PLN,Firma,Smart,Fortwo,electric drive,2020,15 700 km,,Elektryczny,82 KM,Auta miejskie,Automatyczna,3,2,Biały,Używane,,Na tylne koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-lift-bezwypadkowy-oplacony-serwisowany-w-aso-ID6Gk7xv.html
Smart Fortwo,16500,PLN,Prywatne,Smart,Fortwo,,2010,272 584 km,999 cm3,Benzyna,102 KM,Auta małe,Automatyczna,2,,Pomarańczowy,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-smart-fortwo-102km-ID6Gn61V.html
Smart Forfour,3700,PLN,Firma,Smart,Forfour,,2003,97 878 km,698 cm3,Benzyna,50 KM,Coupe,Automatyczna,2,2,Czarny,Używane,Tak,Na tylne koła,,,,,https://www.otomoto.pl/osobowe/oferta/smart-forfour-bemowo-0-7-benzyna-2003-rok-97-tys-km-komis-tysiak-ID6GkyXf.html
Smart Fortwo passion twinamic,15490,PLN,Prywatne,Smart,Fortwo,passion twinamic,2009,192 000 km,999 cm3,Benzyna,71 KM,Auta miejskie,Automatyczna,3,2,Biały,Używane,Tak,Na tylne koła,4 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-smart-fortwo-ii-coupe-ID6Gig4r.html
Smart Forfour pulse,4990,PLN,Firma,Smart,Forfour,pulse,2004,176 000 km,1 332 cm3,Benzyna,95 KM,Kompakt,Manualna,5,,Srebrny,Używane,,,7 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/smart-forfour-cena-dnia-ID6Gn5Si.html
Smart Fortwo,15900,PLN,Firma,Smart,Fortwo,,2009,190 000 km,999 cm3,Benzyna,71 KM,Auta małe,Automatyczna,3,2,Szary,Używane,,Na tylne koła,,,,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-ID6FZZAu.html
Smart Fortwo & passion mhd,16900,PLN,Prywatne,Smart,Fortwo,& passion mhd,2010,86 200 km,999 cm3,Benzyna,71 KM,Auta miejskie,Automatyczna,2,2,Czarny,Używane,Tak,Na tylne koła,4 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-ii-passion-mhd-maly-ale-wariat-ID6GndOG.html
Smart Forfour pulse cdi,4500,PLN,Prywatne,Smart,Forfour,pulse cdi,2005,222 444 km,1 500 cm3,Diesel,95 KM,Kompakt,Manualna,5,5,Biały,Używane,,Na przednie koła,5 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/smart-forfour-smart-for-fur-klima-ID6FZHEY.html
Smart Fortwo & passion mhd,28900,PLN,Prywatne,Smart,Fortwo,& passion mhd,2013,115 320 km,999 cm3,Benzyna,71 KM,Auta miejskie,Automatyczna,2,2,Srebrny,Używane,Tak,Na tylne koła,4 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-smart-fortwo-mhd-71km-ID6GotKE.html
Smart Fortwo coupe passion,30900,PLN,Firma,Smart,Fortwo,coupe passion,2016,97 000 km,999 cm3,Benzyna,71 KM,Auta miejskie,Manualna,2,2,Biały,Używane,Tak,Na tylne koła,"5,90 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-ladny-ekonomiczny-klima-ID6GgpBB.html
Smart Fortwo electric drive pulse,34999,PLN,Firma,Smart,Fortwo,electric drive pulse,2020,42 000 km,,Elektryczny,82 KM,Auta małe,Automatyczna,3,2,Srebrny,Używane,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/smart-fortwo-2020r-elektryk-panorama-skora-grzane-fotele-europa-23-ID6GpQVN.html
