Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
SsangYong Torres 1.5 T-GDI Adventure,146360,PLN,Firma,SsangYong,Torres,1.5 T-GDI Adventure,2023,5 km,1 497 cm3,Benzyna,163 KM,SUV,Automatyczna,5,5,Czarny,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/ssangyong-torres-adventure-2wd-at-jasna-skora-okazja-rabat-az-22440-zl-i-lpg-za-0-zl-ID6GpQ1U.html
SsangYong Korando,39500,PLN,Prywatne,SsangYong,Korando,,2015,127 584 km,1 998 cm3,Diesel,150 KM,SUV,Manualna,5,5,Czarny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/ssangyong-korando-stan-idealny-ID6Gp34o.html
SsangYong Tivoli 1.5 T-GDI Adventure,104990,PLN,Firma,SsangYong,Tivoli,1.5 T-GDI Adventure,2023,5 km,1 497 cm3,Benzyna,163 KM,SUV,Automatyczna,5,5,Szary,Używane,,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/ssangyong-tivoli-adventure-at-4x2-rabat-5000-okazja-ID6GoFvf.html
SsangYong Korando 1.5 T-GDI Quartz 2WD,70000,PLN,Prywatne,SsangYong,Korando,1.5 T-GDI Quartz 2WD,2019,109 000 km,1 497 cm3,Benzyna,163 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ssangyong-korando-ssangyong-korando-wersja-quartz-2019-pierwszy-wlasciciel-salon-okazja-ID6G6Sf2.html
SsangYong Actyon,17500,PLN,Prywatne,SsangYong,Actyon,,2008,95 500 km,1 998 cm3,Diesel,141 KM,SUV,Automatyczna,4,5,Czarny,Używane,Tak,4x4 (dołączany ręcznie),,,,,https://www.otomoto.pl/osobowe/oferta/ssangyong-actyon-sprzedam-pickap-ssangyong-super-stan-maly-przebieg-ID6GppBj.html
SsangYong Musso Grand 2.2 e-XDi Quartz 4WD,176500,PLN,Firma,SsangYong,Musso,Grand 2.2 e-XDi Quartz 4WD,2023,1 km,2 157 cm3,Diesel,202 KM,SUV,Automatyczna,4,5,Czarny,Nowe,,4x4 (dołączany ręcznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/ssangyong-musso-grand-automat-z-napedem-4x4-z-reduktorem-wyprzedaz-ID6FXPA5.html
SsangYong REXTON,257900,PLN,Firma,SsangYong,REXTON,,2023,5 700 km,2 157 cm3,Diesel,202 KM,SUV,Automatyczna,5,5,Czarny,Używane,,4x4 (dołączany ręcznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ssangyong-rexton-202km-naped-4x4-z-reduktorem-wersja-black-edition-demonstracyjny-ID6GllE0.html
SsangYong Musso Grand 2.2 Quartz 4WD,59999,PLN,Prywatne,SsangYong,Musso,Grand 2.2 Quartz 4WD,2022,67 241 km,2 157 cm3,Diesel,181 KM,SUV,Automatyczna,4,5,Szary,Używane,Tak,4x4 (dołączany automatycznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/ssangyong-musso-grand-181km-klimatronic-navigacja-automat-4x4-5osobowy-ID6GpHEb.html
SsangYong Korando,86999,PLN,Prywatne,SsangYong,Korando,,2020,31 200 km,1 597 cm3,Diesel,136 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/ssangyong-korando-sliczne-automat-bogata-opcja-zarejestrowany-ID6GjBnQ.html
SsangYong Musso,179990,PLN,Firma,SsangYong,Musso,,2023,1 km,1 999 cm3,Diesel,202 KM,SUV,Automatyczna,4,5,Inny kolor,Nowe,,4x4 (dołączany ręcznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/ssangyong-musso-polift-skory-wentylowane-podgrzewane-blokada-mostu-ID6Gkvzu.html
SsangYong REXTON 2.2 D Adventure 4WD,255000,PLN,Firma,SsangYong,REXTON,2.2 D Adventure 4WD,2024,1 km,2 157 cm3,Diesel,202 KM,SUV,Automatyczna,5,5,Biały,Nowe,,4x4 (dołączany ręcznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/ssangyong-rexton-rok-2024-202km-naped-4x4-wersja-adventure-fabrycznie-nowy-ID6GosEC.html
SsangYong Torres,145410,PLN,Firma,SsangYong,Torres,,2023,2 km,1 497 cm3,Benzyna,163 KM,SUV,Automatyczna,5,5,Czerwony,Nowe,,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/ssangyong-torres-automat-5lat-gwarancji-rabat-22-390zl-lpg-gratis-ID6G4Mbu.html
SsangYong Korando 1.5 T-GDI Sapphire 4WD,152000,PLN,Firma,SsangYong,Korando,1.5 T-GDI Sapphire 4WD,2024,1 km,1 497 cm3,Benzyna,163 KM,SUV,Automatyczna,5,5,Srebrny,Nowe,,4x4 (dołączany automatycznie),,,Tak,,https://www.otomoto.pl/osobowe/oferta/ssangyong-korando-naped-4x4-automat-rp-2024-najbogatsza-wersja-rabat-11-890-pln-ID6Gmo4x.html
