Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Subaru Outback,17900,PLN,Prywatne,Subaru,Outback,,2008,196 000 km,1 998 cm3,Diesel,150 KM,Kombi,Manualna,5,5,Inny kolor,Używane,Tak,4x4 (stały),,,Tak,,https://www.otomoto.pl/osobowe/oferta/subaru-outback-subaru-outback-2-0d-4x4-salon-polska-ii-wlasciciel-bezwypadkowy-ID6GgTLQ.html
Subaru Forester 2.0 XT Turbo,17000,PLN,Prywatne,Subaru,Forester,2.0 XT Turbo,2002,344 000 km,1 994 cm3,Benzyna+LPG,177 KM,SUV,Manualna,5,5,Czarny,Używane,Tak,4x4 (stały),13 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/subaru-forester-subaru-forester-2-0-xt-ID6Gp3rA.html
Subaru Forester 2.0 X,11900,PLN,Prywatne,Subaru,Forester,2.0 X,2002,332 089 km,1 994 cm3,Benzyna,125 KM,SUV,Manualna,5,5,Zielony,Używane,Tak,4x4 (dołączany automatycznie),11 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/subaru-forester-subaru-forester-sg-ii-generacja-2-0-benzyna-125hp-ID6GfAeT.html
Subaru WRX STI 2.5 STTOP,168000,PLN,Prywatne,Subaru,WRX,STI 2.5 STTOP,2016,30 000 km,2 457 cm3,Benzyna,300 KM,Sedan,Manualna,4,5,Czarny,Używane,Tak,4x4 (stały),14 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/subaru-wrx-subaru-wrx-sti-2-5-ets-ID6Gkias.html
Subaru Outback 2.5i Platinum (EyeSight) Lineartronic,184800,PLN,Firma,Subaru,Outback,2.5i Platinum (EyeSight) Lineartronic,2022,37 800 km,2 498 cm3,Benzyna,169 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,4x4 (stały),9 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/subaru-outback-subaru-outback-2-5i-platnium-ID6GjMnj.html
Subaru Forester 2.0D XC 000 Euro5,32800,PLN,Firma,Subaru,Forester,2.0D XC 000 Euro5,2010,199 700 km,1 998 cm3,Diesel,147 KM,SUV,Manualna,5,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),7 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/subaru-forester-forester-2-0d-gwarancja-ID6GjxKz.html
Subaru Forester,130000,PLN,Prywatne,Subaru,Forester,,2020,29 156 km,1 995 cm3,Benzyna,150 KM,SUV,Automatyczna,5,5,Szary,Używane,Tak,4x4 (stały),7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/subaru-forester-subaru-forester-salon-polska-od-pierwszego-wlasciciela-stan-idealny-ID6GpQuE.html
Subaru Legacy SW 2.5i AT,21000,PLN,Prywatne,Subaru,Legacy,SW 2.5i AT,2005,150 602 km,2 457 cm3,Benzyna,164 KM,Kombi,Automatyczna,5,5,Zielony,Używane,Tak,4x4 (stały),12 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/subaru-legacy-zadbany-jasne-wnetrze-bezwypadkowy-ID6Gp2Mh.html
Subaru Legacy Kombi 2.0i Lineartronic Active,35999,PLN,Prywatne,Subaru,Legacy,Kombi 2.0i Lineartronic Active,2013,263 000 km,1 995 cm3,Benzyna,150 KM,Kombi,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),"9,50 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/subaru-legacy-4x4-z-cvt-na-gwarancji-ID6Gp1H1.html
Subaru Legacy Kombi 2.0R GX,22000,PLN,Prywatne,Subaru,Legacy,Kombi 2.0R GX,2007,309 000 km,1 994 cm3,Benzyna+LPG,165 KM,Kombi,Automatyczna,5,5,Inny kolor,Używane,Tak,4x4 (dołączany automatycznie),12 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/subaru-legacy-ID6GpPMx.html
