Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Suzuki Jimny 1.5 Pro,123390,PLN,Firma,Suzuki,Jimny,1.5 Pro,2024,5 km,1 462 cm3,Benzyna,102 KM,SUV,Manualna,3,,Szary,Nowe,,4x4 (dołączany ręcznie),7 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/suzuki-jimny-pro-1-5-vvt-5mt-4wd-medium-gray-doposazenie-o-wartosci-10-000zl-ID6G67kA.html
Suzuki Vitara 1.4 Boosterjet XLED 2WD,66900,PLN,Firma,Suzuki,Vitara,1.4 Boosterjet XLED 2WD,2017,167 000 km,1 373 cm3,Benzyna,140 KM,SUV,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/suzuki-vitara-bezwypadkowosc-pewny-przebieg-ID6GoZDq.html
Suzuki Grand Vitara 2.0 Tdi,16500,PLN,Prywatne,Suzuki,Grand Vitara,2.0 Tdi,2002,405 000 km,1 997 cm3,Diesel,109 KM,SUV,Manualna,5,5,Bordowy,Używane,Tak,4x4 (dołączany automatycznie),10 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/suzuki-grand-vitara-02r-2-0td-super-stan-klima-grzane-fotele-elektryka-zero-rdzy-ID6Gp3sw.html
Suzuki Vitara 1.6 Premium 2WD,61900,PLN,Firma,Suzuki,Vitara,1.6 Premium 2WD,2018,120 000 km,1 586 cm3,Benzyna,120 KM,SUV,Manualna,5,5,Czarny,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/suzuki-vitara-navi-kamera-climatronic-podgrz-fotele-ledy-alu-17-ID6GpkoR.html
Suzuki Vitara 1.0 Boosterjet Premium 4WD,69900,PLN,Prywatne,Suzuki,Vitara,1.0 Boosterjet Premium 4WD,2019,62 000 km,998 cm3,Benzyna,111 KM,SUV,Manualna,5,,Szary,Używane,Tak,4x4 (dołączany ręcznie),"7,20 l/100km",,,,https://www.otomoto.pl/osobowe/oferta/suzuki-vitara-climatronic-4x4-nawigacja-kamera-pdc-ID6FL3Il.html
Suzuki SX4,69900,PLN,Prywatne,Suzuki,SX4,,2018,30 950 km,1 373 cm3,Benzyna,140 KM,SUV,Manualna,5,5,Szary,Używane,Tak,4x4 (dołączany ręcznie),,,,,https://www.otomoto.pl/osobowe/oferta/suzuki-sx4-2019-rok-benzyna-4x4-climatronic-radar-czujniki-pdc-ID6Gp3ro.html
Suzuki Vitara 1.6 Comfort 2WD,67000,PLN,Prywatne,Suzuki,Vitara,1.6 Comfort 2WD,2017,111 461 km,1 586 cm3,Benzyna,120 KM,SUV,Manualna,5,5,Beżowy,Używane,Tak,Na przednie koła,6 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/suzuki-vitara-pierwszy-wlasciciel-kupiony-w-salonie-suzuki-w-warszawie-ID6Gp3lU.html
Suzuki Swift 1.6 Sport,12900,PLN,Prywatne,Suzuki,Swift,1.6 Sport,2008,189 000 km,1 586 cm3,Benzyna,125 KM,Auta małe,Manualna,3,4,Czarny,Używane,Tak,Na przednie koła,9 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/suzuki-swift-suzuki-swift-1-6-sport-2008-ID6Gp35F.html
Suzuki Swift 1.4 SHVS Sport,88900,PLN,Firma,Suzuki,Swift,1.4 SHVS Sport,2022,37 033 km,1 373 cm3,Benzyna,129 KM,Kompakt,Manualna,5,5,Żółty,Używane,Tak,Na przednie koła,,,,,https://www.otomoto.pl/osobowe/oferta/suzuki-swift-sport-1wl-bezwypadkowy-aso-kamera-gps-ID6GiKTI.html
Suzuki Swift 1.2 Comfort,17999,PLN,Prywatne,Suzuki,Swift,1.2 Comfort,2011,195 000 km,1 242 cm3,Benzyna+LPG,94 KM,Kompakt,Manualna,5,4,Niebieski,Używane,Tak,Na przednie koła,6 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/suzuki-swift-salon-polska-klima-lpg-alu-super-stan-16-pln-100-km-2012-r-ID6GpOBH.html
