Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Tesla Model 3 Langstreckenbatterie Allradantrieb Dual Motor,169000,PLN,Prywatne,Tesla,Model 3,Langstreckenbatterie Allradantrieb Dual Motor,2022,34 000 km,,Elektryczny,476 KM,Sedan,Automatyczna,4,5,Czerwony,Używane,Tak,,,Tak,,,https://www.otomoto.pl/osobowe/oferta/tesla-model-3-tesla-3-lr-usa-pelny-autopilot-plus-bost-ID6FNpCs.html
Tesla Model 3 Long Range AWD,263490,PLN,Firma,Tesla,Model 3,Long Range AWD,2024,1 km,,Elektryczny,372 KM,Sedan,Automatyczna,4,5,Czerwony,Nowe,,4x4 (stały),,,Tak,,https://www.otomoto.pl/osobowe/oferta/tesla-model-3-long-range-awd-od-reki-ID6GmB12.html
Tesla Model X Standard Reichweite,200000,PLN,Prywatne,Tesla,Model X,Standard Reichweite,2018,82 100 km,,Elektryczny,333 KM,SUV,Automatyczna,5,5,Czerwony,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/tesla-model-x-tesla-model-x-75d-2018-82k-km-autopilot-2-5-premium-ID6GpQ1K.html
Tesla Y Model Performance Dual Motor AWD,179900,PLN,Prywatne,Tesla,Y,Model Performance Dual Motor AWD,2021,40 800 km,,Elektryczny,534 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,4x4 (stały),,Tak,,,https://www.otomoto.pl/osobowe/oferta/tesla-y-tesla-y-dual-motor-performance-ID6Gl90e.html
Tesla Model X Performance,319000,PLN,Prywatne,Tesla,Model X,Performance,2020,80 963 km,,Elektryczny,772 KM,SUV,Automatyczna,5,5,Inny kolor,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/tesla-model-x-salon-niemcy-800-koni-wersja-europejska-zamiana-ID6GpPaY.html
Tesla Y RWD,204990,PLN,Firma,Tesla,Y,RWD,2023,1 km,,Elektryczny,347 KM,Sedan,Automatyczna,5,5,Czarny,Nowe,,Na tylne koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/tesla-y-rwd-346-km-elektryczny-ID6GnM5J.html
Tesla Model X Performance,318000,PLN,Prywatne,Tesla,Model X,Performance,2020,110 000 km,,Elektryczny,772 KM,SUV,Automatyczna,5,6,Niebieski,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/tesla-model-x-tesla-model-x-pierwszy-wlasciciel-3s-do-100km-h-zadbana-ID6G63vD.html
Tesla Y Model RWD,150000,PLN,Prywatne,Tesla,Y,Model RWD,2023,25 000 km,,Elektryczny,299 KM,SUV,Automatyczna,5,,Biały,Używane,,,,,,,https://www.otomoto.pl/osobowe/oferta/tesla-y-supercharger-oryginalny-lakier-ID6GhLUQ.html
Tesla Model S 75,129000,PLN,Prywatne,Tesla,Model S,75,2016,101 000 km,,Elektryczny,320 KM,Sedan,Automatyczna,5,5,Beżowy,Używane,,4x4 (stały),,Tak,,,https://www.otomoto.pl/osobowe/oferta/tesla-model-s-ID6Fc3cK.html
Tesla Y Model Long Range Dual Motor AWD,198000,PLN,Prywatne,Tesla,Y,Model Long Range Dual Motor AWD,2021,70 500 km,,Elektryczny,514 KM,SUV,Automatyczna,5,7,Biały,Używane,Tak,4x4 (stały),,Tak,,,https://www.otomoto.pl/osobowe/oferta/tesla-y-pelna-wersja-7-osobowa-z-autopilotem-ID6GpM0S.html
