Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Toyota C-HR,109900,PLN,Firma,Toyota,C-HR,,2020,83 238 km,1 987 cm3,Hybryda,184 KM,SUV,Automatyczna,5,5,Czerwony,Używane,Tak,Na przednie koła,,,Tak,,https://www.otomoto.pl/osobowe/oferta/toyota-c-hr-2-0-hybrid-selection-serwis-aso-gwarancja-ID6Gmhfm.html
Toyota RAV4 Hybrid Premium 4x4,96900,PLN,Prywatne,Toyota,RAV4,Hybrid Premium 4x4,2016,175 000 km,2 494 cm3,Benzyna,155 KM,SUV,Automatyczna,5,5,Beżowy,Używane,Tak,4x4 (dołączany automatycznie),5 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/toyota-rav4-salon-polska-stan-bdb-bezwypadkowy-4x4-ID6GpQFa.html
Toyota Prius 1.8 Hybrid Comfort,80000,PLN,Prywatne,Toyota,Prius,1.8 Hybrid Comfort,2017,79 600 km,1 798 cm3,Benzyna,98 KM,Kompakt,Automatyczna,5,5,Szary,Używane,Tak,Na przednie koła,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/toyota-prius-toyota-prius-1-8-hybrid-ID6GpOt2.html
Toyota RAV4,149900,PLN,Firma,Toyota,RAV4,,2021,64 865 km,2 487 cm3,Hybryda,222 KM,SUV,Automatyczna,5,5,Niebieski,Używane,Tak,4x4 (dołączany automatycznie),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/toyota-rav4-2-5-hybrid-comfort-style-4x4-serwis-aso-gwarancja-ID6G90KW.html
Toyota Prius (Hybrid) Executive,42000,PLN,Prywatne,Toyota,Prius,(Hybrid) Executive,2012,250 000 km,1 798 cm3,Hybryda,99 KM,Sedan,Automatyczna,5,5,Srebrny,Używane,,,4 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/toyota-prius-toyota-prius-prywatne-auto-lpg-ID6G7JuI.html
Toyota RAV4 2.0 D-4D 4x2 Start-Stop Executive,64900,PLN,Prywatne,Toyota,RAV4,2.0 D-4D 4x2 Start-Stop Executive,2018,219 000 km,1 995 cm3,Diesel,143 KM,SUV,Manualna,5,5,Inny kolor,Używane,Tak,Na przednie koła,5 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/toyota-rav4-aktywny-tempomat-elektryczny-bagaznik-hak-radar-ID6FMBpu.html
Toyota Yaris 1.4 D-4D,28000,PLN,Prywatne,Toyota,Yaris,1.4 D-4D,2014,190 513 km,1 364 cm3,Diesel,90 KM,Auta miejskie,Manualna,5,5,Srebrny,Używane,Tak,Na przednie koła,"4,20 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/toyota-yaris-toyota-yaris-stan-bardzo-dobry-ID6Gp3qf.html
Toyota Avensis 1.8 VVT-i Sol,9500,PLN,Prywatne,Toyota,Avensis,1.8 VVT-i Sol,2004,343 000 km,1 794 cm3,Benzyna+LPG,129 KM,Sedan,Manualna,5,5,Srebrny,Używane,Tak,Na przednie koła,9 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/toyota-avensis-zadbana-1-8-vvti-lpg-ID6Gp3po.html
Toyota RAV4,144900,PLN,Firma,Toyota,RAV4,,2019,127 627 km,2 487 cm3,Hybryda,218 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,Na przednie koła,,Tak,,,https://www.otomoto.pl/osobowe/oferta/toyota-rav4-rav4-selection-4x2-salon-pl-vat-marza-serwis-aso-el-klapa-ID6G2J0a.html
Toyota Yaris GR 1.6 Dynamic,175000,PLN,Prywatne,Toyota,Yaris,GR 1.6 Dynamic,2022,1 600 km,1 618 cm3,Benzyna,261 KM,Auta małe,Manualna,3,4,Czerwony,Używane,Tak,4x4 (stały),,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/toyota-yaris-gr-yaris-1-6-dynamic-sport-4x4-261km-1-rejestracja-2023-ID6FRpEa.html
