Offer Title,Price,Currency,Offered By,Brand,Model,Version,Year,Mileage,Engine Capacity,Fuel Type,Power,Body Type,Transmission,Number of Doors,Number of Seats,Color,Condition,Registration Number,Drive,City Fuel Consumption,Registered in Poland,Accident Free,Tuning,Car Link
Volvo XC 60 D4 Geartronic Momentum Pro,120909,PLN,Prywatne,Volvo,XC 60,D4 Geartronic Momentum Pro,2020,118 000 km,1 969 cm3,Diesel,190 KM,SUV,Automatyczna,5,5,Biały,Używane,Tak,Na przednie koła,"5,60 l/100km",Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/volvo-xc-60-fv-23-kamera-keyless-ID6GneEq.html
Volvo V60 T3 Drive-E Kinetic,56400,PLN,Prywatne,Volvo,V60,T3 Drive-E Kinetic,2015,199 050 km,1 498 cm3,Benzyna,152 KM,Kombi,Automatyczna,5,5,Czarny,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/volvo-v60-volvo-v60-t3-drive-e-kinetic-polski-salon-automat-bezwypadkowy-ID6GoLhQ.html
Volvo XC 90 D3 FWD Momentum,43500,PLN,Prywatne,Volvo,XC 90,D3 FWD Momentum,2010,279 000 km,2 400 cm3,Diesel,163 KM,SUV,Automatyczna,5,7,Szary,Używane,Tak,4x4 (stały),11 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/volvo-xc-90-volvo-xc-90-7-osobowy-stan-bardzo-dobry-ID6GkBO1.html
Volvo XC 40 T5 AWD Inscription,124900,PLN,Prywatne,Volvo,XC 40,T5 AWD Inscription,2018,35 500 km,1 969 cm3,Benzyna,247 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (stały),8 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/volvo-xc-40-volvo-xc40-t5-inscription-awd-ID6Ggsre.html
Volvo V60 D4 Drive-E Kinetic,48000,PLN,Prywatne,Volvo,V60,D4 Drive-E Kinetic,2014,173 000 km,1 969 cm3,Diesel,181 KM,Kombi,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,4 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/volvo-v60-volvo-v60-2-0-d-2014-salon-polska-ID6GhPYC.html
Volvo XC 90,109000,PLN,Prywatne,Volvo,XC 90,,2015,245 000 km,1 969 cm3,Diesel,224 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,4x4 (dołączany automatycznie),7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/volvo-xc-90-ID6Gpz9T.html
Volvo XC 60,54900,PLN,Prywatne,Volvo,XC 60,,2009,165 000 km,2 400 cm3,Diesel,205 KM,SUV,Automatyczna,5,5,Czarny,Używane,Tak,,,,,,https://www.otomoto.pl/osobowe/oferta/volvo-xc-60-bezawaryjne-volvo-xc60-bogate-wyposazenie-2009-niski-przebieg-ID6GpQZ9.html
Volvo C30 1.6 Kinetic,10900,PLN,Prywatne,Volvo,C30,1.6 Kinetic,2008,340 000 km,1 596 cm3,Benzyna,100 KM,Auta małe,Manualna,3,4,Czarny,Używane,Tak,Na przednie koła,9 l/100km,Tak,,,https://www.otomoto.pl/osobowe/oferta/volvo-c30-volvo-c30-1-6-sprowadzony-ID6Gneww.html
Volvo XC 40,160000,PLN,Prywatne,Volvo,XC 40,,2022,26 000 km,1 969 cm3,Benzyna,197 KM,SUV,Automatyczna,5,5,Szary,Używane,Tak,,,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/volvo-xc-40-volvo-xc-40-b4-ID6GpRnL.html
Volvo S40 D2 DRIVe Kinetic Start-Stop,23600,PLN,Prywatne,Volvo,S40,D2 DRIVe Kinetic Start-Stop,2012,232 000 km,1 560 cm3,Diesel,115 KM,Sedan,Manualna,4,4,Inny kolor,Używane,Tak,Na przednie koła,6 l/100km,,,,https://www.otomoto.pl/osobowe/oferta/volvo-s40-115km-blis-ID6Gp3oG.html
Volvo V40 1.9D Sport,4400,PLN,Prywatne,Volvo,V40,1.9D Sport,2001,308 000 km,1 870 cm3,Diesel,115 KM,Kombi,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,7 l/100km,Tak,Tak,,https://www.otomoto.pl/osobowe/oferta/volvo-v40-kupilem-nowe-auto-te-sprzedaje-ID6GpRcI.html
Volvo V60 D4 Geartronic Momentum,62900,PLN,Prywatne,Volvo,V60,D4 Geartronic Momentum,2016,133 500 km,1 969 cm3,Diesel,190 KM,Kombi,Automatyczna,5,5,Inny kolor,Używane,Tak,Na przednie koła,"5,30 l/100km",Tak,,,https://www.otomoto.pl/osobowe/oferta/volvo-v60-volvo-v60-2-0-d4-190hp-drive-at8-133500km-nowy-rozrzad-egr-ID6Fsg45.html
Volvo XC 60 D3 Inscription,119800,PLN,Firma,Volvo,XC 60,D3 Inscription,2019,97 000 km,1 969 cm3,Diesel,150 KM,SUV,Manualna,5,5,Szary,Używane,Tak,Na przednie koła,5 l/100km,,Tak,,https://www.otomoto.pl/osobowe/oferta/volvo-xc-60-oliwkowe-inscription-97-ooo-km-grzana-kanapa-blis-pamiec-foteli-ID6GotG5.html
